,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,P Nissanka,Naseem Shah,BKG Mendis,0,1,1,1,120,0,1,0,1,wides,0,,,1,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
1,P Nissanka,Naseem Shah,BKG Mendis,0,0,0,1,120,0,2,0,2,-,0,,,1,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
2,P Nissanka,Naseem Shah,BKG Mendis,1,0,1,2,119,1,3,0,3,-,0,,,1,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
3,BKG Mendis,Naseem Shah,P Nissanka,0,0,0,2,119,0,1,1,4,-,bowled,BKG Mendis,,1,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
4,DM de Silva,Naseem Shah,P Nissanka,0,0,0,2,119,0,1,1,5,-,0,,,1,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
5,DM de Silva,Naseem Shah,P Nissanka,0,0,0,2,119,0,2,1,6,-,0,,,1,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
6,DM de Silva,Naseem Shah,P Nissanka,2,0,2,4,117,2,3,1,7,-,0,,,1,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
7,P Nissanka,Mohammad Hasnain,DM de Silva,0,0,0,4,117,1,4,1,1,-,0,,,2,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
8,P Nissanka,Mohammad Hasnain,DM de Silva,1,0,1,5,116,2,5,1,2,-,0,,,2,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
9,DM de Silva,Mohammad Hasnain,P Nissanka,4,0,4,9,112,6,4,1,3,-,0,,,2,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
10,DM de Silva,Mohammad Hasnain,P Nissanka,0,0,0,9,112,6,5,1,4,-,0,,,2,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
11,DM de Silva,Mohammad Hasnain,P Nissanka,0,1,1,10,111,6,6,1,5,wides,0,,,2,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
12,DM de Silva,Mohammad Hasnain,P Nissanka,4,0,4,14,107,10,7,1,6,-,0,,,2,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
13,DM de Silva,Mohammad Hasnain,P Nissanka,2,0,2,16,105,12,8,1,7,-,0,,,2,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
14,P Nissanka,Naseem Shah,DM de Silva,0,0,0,16,105,2,6,1,1,-,0,,,3,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
15,P Nissanka,Naseem Shah,DM de Silva,0,0,0,16,105,2,7,1,2,-,0,,,3,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
16,P Nissanka,Naseem Shah,DM de Silva,4,0,4,20,101,6,8,1,3,-,0,,,3,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
17,P Nissanka,Naseem Shah,DM de Silva,1,0,1,21,100,7,9,1,4,-,0,,,3,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
18,DM de Silva,Naseem Shah,P Nissanka,1,0,1,22,99,13,9,1,5,-,0,,,3,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
19,P Nissanka,Naseem Shah,DM de Silva,1,0,1,23,98,8,10,1,6,-,0,,,3,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
20,P Nissanka,Haris Rauf,DM de Silva,0,0,0,23,98,8,11,1,1,-,0,,,4,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
21,P Nissanka,Haris Rauf,DM de Silva,0,0,0,23,98,8,12,2,2,-,caught,P Nissanka,Babar Azam,4,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
22,DM de Silva,Haris Rauf,MD Gunathilaka,0,0,0,23,98,13,10,2,3,-,0,,,4,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
23,DM de Silva,Haris Rauf,MD Gunathilaka,0,0,0,23,98,13,11,2,4,-,0,,,4,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
24,DM de Silva,Haris Rauf,MD Gunathilaka,4,0,4,27,94,17,12,2,5,-,0,,,4,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
25,DM de Silva,Haris Rauf,MD Gunathilaka,1,0,1,28,93,18,13,2,6,-,0,,,4,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
26,DM de Silva,Mohammad Hasnain,MD Gunathilaka,1,0,1,29,92,19,14,2,1,-,0,,,5,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
27,MD Gunathilaka,Mohammad Hasnain,DM de Silva,0,1,1,30,91,0,1,2,2,legbyes,0,,,5,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
28,DM de Silva,Mohammad Hasnain,MD Gunathilaka,4,0,4,34,87,23,15,2,3,-,0,,,5,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
29,DM de Silva,Mohammad Hasnain,MD Gunathilaka,1,0,1,35,86,24,16,2,4,-,0,,,5,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
30,MD Gunathilaka,Mohammad Hasnain,DM de Silva,0,0,0,35,86,0,2,2,5,-,0,,,5,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
31,MD Gunathilaka,Mohammad Hasnain,DM de Silva,1,0,1,36,85,1,3,2,6,-,0,,,5,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
32,MD Gunathilaka,Haris Rauf,DM de Silva,0,0,0,36,85,1,4,3,1,-,bowled,MD Gunathilaka,,6,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
33,PBB Rajapaksa,Haris Rauf,DM de Silva,4,0,4,40,81,4,1,3,2,-,0,,,6,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
34,PBB Rajapaksa,Haris Rauf,DM de Silva,0,0,0,40,81,4,2,3,3,-,0,,,6,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
35,PBB Rajapaksa,Haris Rauf,DM de Silva,0,0,0,40,81,4,3,3,4,-,0,,,6,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
36,PBB Rajapaksa,Haris Rauf,DM de Silva,0,0,0,40,81,4,4,3,5,-,0,,,6,"{'by': 'Pakistan', 'umpire': 'Masudur Rahman', 'batter': 'PBB Rajapaksa', 'decision': 'struck down', 'umpires_call': True}",field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
37,PBB Rajapaksa,Haris Rauf,DM de Silva,2,0,2,42,79,6,5,3,6,-,0,,,6,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
38,DM de Silva,Shadab Khan,PBB Rajapaksa,1,0,1,43,78,25,17,3,1,-,0,,,7,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
39,PBB Rajapaksa,Shadab Khan,DM de Silva,1,0,1,44,77,7,6,3,2,-,0,,,7,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
40,DM de Silva,Shadab Khan,PBB Rajapaksa,1,0,1,45,76,26,18,3,3,-,0,,,7,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
41,PBB Rajapaksa,Shadab Khan,DM de Silva,1,0,1,46,75,8,7,3,4,-,0,,,7,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
42,DM de Silva,Shadab Khan,PBB Rajapaksa,0,0,0,46,75,26,19,3,5,-,0,,,7,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
43,DM de Silva,Shadab Khan,PBB Rajapaksa,1,0,1,47,74,27,20,3,6,-,0,,,7,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
44,DM de Silva,Iftikhar Ahmed,PBB Rajapaksa,1,0,1,48,73,28,21,3,1,-,0,,,8,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
45,PBB Rajapaksa,Iftikhar Ahmed,DM de Silva,4,0,4,52,69,12,8,3,2,-,0,,,8,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
46,PBB Rajapaksa,Iftikhar Ahmed,DM de Silva,1,0,1,53,68,13,9,3,3,-,0,,,8,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
47,DM de Silva,Iftikhar Ahmed,PBB Rajapaksa,0,0,0,53,68,28,22,4,4,-,caught and bowled,DM de Silva,,8,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
48,MD Shanaka,Iftikhar Ahmed,PBB Rajapaksa,1,0,1,54,67,1,1,4,5,-,0,,,8,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
49,PBB Rajapaksa,Iftikhar Ahmed,MD Shanaka,1,0,1,55,66,14,10,4,6,-,0,,,8,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
50,PBB Rajapaksa,Shadab Khan,MD Shanaka,1,0,1,56,65,15,11,4,1,-,0,,,9,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
51,MD Shanaka,Shadab Khan,PBB Rajapaksa,1,0,1,57,64,2,2,4,2,-,0,,,9,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
52,PBB Rajapaksa,Shadab Khan,MD Shanaka,0,0,0,57,64,15,12,4,3,-,0,,,9,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
53,PBB Rajapaksa,Shadab Khan,MD Shanaka,1,0,1,58,63,16,13,4,4,-,0,,,9,,field,Pakistan,1,Dubai International Cricket Stadium,2022,09,Sri Lanka_Pakistan_2022-09-11,Sri Lanka,Sri Lanka,Pakistan,170
