,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,EJG Morgan,Shahid Afridi,JC Buttler,0,0,0,0,0,1,1,1,0,0,bat,England,4,Sharjah Cricket Stadium,2015-11-30,tie,England,England
1,EJG Morgan,Shahid Afridi,JC Buttler,1,0,1,1,1,2,2,1,0,0,bat,England,4,Sharjah Cricket Stadium,2015-11-30,tie,England,England
2,JC Buttler,Shahid Afridi,EJG Morgan,0,0,0,1,0,1,3,1,0,0,bat,England,4,Sharjah Cricket Stadium,2015-11-30,tie,England,England
3,JC Buttler,Shahid Afridi,EJG Morgan,1,0,1,2,1,2,4,1,0,0,bat,England,4,Sharjah Cricket Stadium,2015-11-30,tie,England,England
4,EJG Morgan,Shahid Afridi,JC Buttler,2,0,2,4,3,3,5,1,0,0,bat,England,4,Sharjah Cricket Stadium,2015-11-30,tie,England,England
