,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,review,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,P Nissanka,B Kumar,K Mishara,0,0,0,0,0,1,1,bowled,P Nissanka,,1,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
1,J Liyanage,B Kumar,K Mishara,1,0,1,1,1,1,2,0,,,1,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
2,K Mishara,B Kumar,J Liyanage,4,0,4,5,4,1,3,0,,,1,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
3,K Mishara,B Kumar,J Liyanage,1,0,1,6,5,2,4,0,,,1,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
4,J Liyanage,B Kumar,K Mishara,0,0,0,6,1,2,5,0,,,1,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
5,J Liyanage,B Kumar,K Mishara,0,0,0,6,1,3,6,0,,,1,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
6,K Mishara,JJ Bumrah,J Liyanage,0,0,0,6,5,3,1,0,,,2,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
7,K Mishara,JJ Bumrah,J Liyanage,4,0,4,10,9,4,2,0,,,2,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
8,K Mishara,JJ Bumrah,J Liyanage,0,0,0,10,9,5,3,0,,,2,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
9,K Mishara,JJ Bumrah,J Liyanage,0,0,0,10,9,6,4,0,,,2,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
