,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,Imrul Kayes,SW Tait,Mohammad Ashraful,0,0,0,0,141,0,1,0,1,-,0,,,1,bat,Australia,2,"Kensington Oval, Bridgetown",2010,05,Australia_Bangladesh_2010-05-05,Australia,Bangladesh,Australia
1,Imrul Kayes,SW Tait,Mohammad Ashraful,0,0,0,0,141,0,2,0,2,-,0,,,1,bat,Australia,2,"Kensington Oval, Bridgetown",2010,05,Australia_Bangladesh_2010-05-05,Australia,Bangladesh,Australia
2,Imrul Kayes,SW Tait,Mohammad Ashraful,0,4,4,4,137,0,3,0,3,legbyes,0,,,1,bat,Australia,2,"Kensington Oval, Bridgetown",2010,05,Australia_Bangladesh_2010-05-05,Australia,Bangladesh,Australia
3,Imrul Kayes,SW Tait,Mohammad Ashraful,0,0,0,4,137,0,4,0,4,-,0,,,1,bat,Australia,2,"Kensington Oval, Bridgetown",2010,05,Australia_Bangladesh_2010-05-05,Australia,Bangladesh,Australia
4,Imrul Kayes,SW Tait,Mohammad Ashraful,0,0,0,4,137,0,5,0,5,-,0,,,1,bat,Australia,2,"Kensington Oval, Bridgetown",2010,05,Australia_Bangladesh_2010-05-05,Australia,Bangladesh,Australia
5,Imrul Kayes,SW Tait,Mohammad Ashraful,0,0,0,4,137,0,6,1,6,-,caught,Imrul Kayes,DJ Hussey,1,bat,Australia,2,"Kensington Oval, Bridgetown",2010,05,Australia_Bangladesh_2010-05-05,Australia,Bangladesh,Australia
6,Mohammad Ashraful,DP Nannes,Aftab Ahmed,0,0,0,4,137,0,1,1,1,-,0,,,2,bat,Australia,2,"Kensington Oval, Bridgetown",2010,05,Australia_Bangladesh_2010-05-05,Australia,Bangladesh,Australia
7,Mohammad Ashraful,DP Nannes,Aftab Ahmed,0,0,0,4,137,0,2,1,2,-,0,,,2,bat,Australia,2,"Kensington Oval, Bridgetown",2010,05,Australia_Bangladesh_2010-05-05,Australia,Bangladesh,Australia
8,Mohammad Ashraful,DP Nannes,Aftab Ahmed,0,0,0,4,137,0,3,2,3,-,caught,Mohammad Ashraful,SW Tait,2,bat,Australia,2,"Kensington Oval, Bridgetown",2010,05,Australia_Bangladesh_2010-05-05,Australia,Bangladesh,Australia
9,Shakib Al Hasan,DP Nannes,Aftab Ahmed,2,0,2,6,135,2,1,2,4,-,0,,,2,bat,Australia,2,"Kensington Oval, Bridgetown",2010,05,Australia_Bangladesh_2010-05-05,Australia,Bangladesh,Australia
