,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extras,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,WTS Porterfield,SR Watson,PR Stirling,0,0,0,0,0,1,1,caught,WTS Porterfield,MA Starc,1,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
1,PR Stirling,SR Watson,EC Joyce,0,0,0,0,0,1,2,0,,,1,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
2,PR Stirling,SR Watson,EC Joyce,0,0,0,0,0,2,3,0,,,1,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
3,PR Stirling,SR Watson,EC Joyce,0,0,0,0,0,3,4,0,,,1,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
4,PR Stirling,SR Watson,EC Joyce,0,0,0,0,0,4,5,0,,,1,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
5,PR Stirling,SR Watson,EC Joyce,4,0,4,4,4,5,6,0,,,1,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
6,EC Joyce,MA Starc,PR Stirling,1,0,1,5,1,1,1,0,,,2,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
7,PR Stirling,MA Starc,EC Joyce,0,0,0,5,4,6,2,0,,,2,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
8,PR Stirling,MA Starc,EC Joyce,0,0,0,5,4,7,3,0,,,2,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
9,PR Stirling,MA Starc,EC Joyce,1,0,1,6,5,8,4,0,,,2,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
10,EC Joyce,MA Starc,PR Stirling,0,0,0,6,1,2,5,0,,,2,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
11,EC Joyce,MA Starc,PR Stirling,0,0,0,6,1,3,6,0,,,2,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
12,PR Stirling,PJ Cummins,EC Joyce,1,0,1,7,6,9,1,0,,,3,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
13,EC Joyce,PJ Cummins,PR Stirling,4,0,4,11,5,4,2,0,,,3,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
14,EC Joyce,PJ Cummins,PR Stirling,1,0,1,12,6,5,3,0,,,3,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
15,PR Stirling,PJ Cummins,EC Joyce,1,0,1,13,7,10,4,0,,,3,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
16,EC Joyce,PJ Cummins,PR Stirling,0,0,0,13,6,6,5,0,,,3,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
17,EC Joyce,PJ Cummins,PR Stirling,0,0,0,13,6,7,6,0,,,3,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
18,PR Stirling,MA Starc,EC Joyce,0,1,1,14,7,11,1,0,,,4,{'legbyes': 1},legbyes,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
19,EC Joyce,MA Starc,PR Stirling,1,0,1,15,7,8,2,0,,,4,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
20,PR Stirling,MA Starc,EC Joyce,0,0,0,15,7,12,3,caught,PR Stirling,SR Watson,4,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
21,EC Joyce,MA Starc,NJ O'Brien,1,0,1,16,8,9,4,0,,,4,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
22,NJ O'Brien,MA Starc,EC Joyce,0,0,0,16,0,1,5,0,,,4,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
23,NJ O'Brien,MA Starc,EC Joyce,0,0,0,16,0,2,6,0,,,4,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
24,EC Joyce,PJ Cummins,NJ O'Brien,0,0,0,16,8,10,1,0,,,5,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
25,EC Joyce,PJ Cummins,NJ O'Brien,4,0,4,20,12,11,2,0,,,5,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
26,EC Joyce,PJ Cummins,NJ O'Brien,0,0,0,20,12,12,3,0,,,5,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
27,EC Joyce,PJ Cummins,NJ O'Brien,4,0,4,24,16,13,4,0,,,5,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
28,EC Joyce,PJ Cummins,NJ O'Brien,0,0,0,24,16,14,5,0,,,5,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
29,EC Joyce,PJ Cummins,NJ O'Brien,0,0,0,24,16,15,6,0,,,5,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
30,NJ O'Brien,GJ Maxwell,EC Joyce,0,0,0,24,0,3,1,0,,,6,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
31,NJ O'Brien,GJ Maxwell,EC Joyce,1,0,1,25,1,4,2,0,,,6,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
32,EC Joyce,GJ Maxwell,NJ O'Brien,0,0,0,25,16,16,3,0,,,6,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
33,EC Joyce,GJ Maxwell,NJ O'Brien,0,0,0,25,16,17,4,0,,,6,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
34,EC Joyce,GJ Maxwell,NJ O'Brien,0,0,0,25,16,18,5,caught,EC Joyce,DA Warner,6,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
35,GC Wilson,GJ Maxwell,NJ O'Brien,4,0,4,29,4,1,6,0,,,6,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
36,NJ O'Brien,DT Christian,GC Wilson,0,0,0,29,1,5,1,0,,,7,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
37,NJ O'Brien,DT Christian,GC Wilson,2,0,2,31,3,6,2,0,,,7,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
38,NJ O'Brien,DT Christian,GC Wilson,1,0,1,32,4,7,3,0,,,7,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
39,GC Wilson,DT Christian,NJ O'Brien,0,0,0,32,4,2,4,0,,,7,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
40,GC Wilson,DT Christian,NJ O'Brien,1,0,1,33,5,3,5,0,,,7,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
41,NJ O'Brien,DT Christian,GC Wilson,0,0,0,33,4,8,6,0,,,7,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
42,GC Wilson,GB Hogg,NJ O'Brien,0,0,0,33,5,4,1,0,,,8,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
43,GC Wilson,GB Hogg,NJ O'Brien,0,0,0,33,5,5,2,lbw,GC Wilson,,8,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
44,KJ O'Brien,GB Hogg,NJ O'Brien,0,0,0,33,0,1,3,0,,,8,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
45,KJ O'Brien,GB Hogg,NJ O'Brien,1,0,1,34,1,2,4,0,,,8,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
46,NJ O'Brien,GB Hogg,KJ O'Brien,2,0,2,36,6,9,5,0,,,8,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
47,NJ O'Brien,GB Hogg,KJ O'Brien,0,0,0,36,6,10,6,0,,,8,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
48,KJ O'Brien,SR Watson,NJ O'Brien,1,0,1,37,2,3,1,0,,,9,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
49,NJ O'Brien,SR Watson,KJ O'Brien,1,0,1,38,7,11,2,0,,,9,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
50,KJ O'Brien,SR Watson,NJ O'Brien,0,0,0,38,2,4,3,0,,,9,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
51,KJ O'Brien,SR Watson,NJ O'Brien,2,0,2,40,4,5,4,0,,,9,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
52,KJ O'Brien,SR Watson,NJ O'Brien,1,0,1,41,5,6,5,0,,,9,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
53,NJ O'Brien,SR Watson,KJ O'Brien,0,0,0,41,7,12,6,0,,,9,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
54,KJ O'Brien,GB Hogg,NJ O'Brien,2,0,2,43,7,7,1,0,,,10,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
55,KJ O'Brien,GB Hogg,NJ O'Brien,0,0,0,43,7,8,2,0,,,10,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
56,KJ O'Brien,GB Hogg,NJ O'Brien,0,0,0,43,7,9,3,0,,,10,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
57,KJ O'Brien,GB Hogg,NJ O'Brien,1,0,1,44,8,10,4,0,,,10,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
58,NJ O'Brien,GB Hogg,KJ O'Brien,2,0,2,46,9,13,5,0,,,10,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
59,NJ O'Brien,GB Hogg,KJ O'Brien,0,0,0,46,9,14,6,0,,,10,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
60,KJ O'Brien,GJ Maxwell,NJ O'Brien,1,0,1,47,9,11,1,0,,,11,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
61,NJ O'Brien,GJ Maxwell,KJ O'Brien,0,0,0,47,9,15,2,0,,,11,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
62,NJ O'Brien,GJ Maxwell,KJ O'Brien,1,0,1,48,10,16,3,0,,,11,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
63,KJ O'Brien,GJ Maxwell,NJ O'Brien,1,0,1,49,10,12,4,0,,,11,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
64,NJ O'Brien,GJ Maxwell,KJ O'Brien,4,0,4,53,14,17,5,0,,,11,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
65,NJ O'Brien,GJ Maxwell,KJ O'Brien,0,0,0,53,14,18,6,0,,,11,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
66,KJ O'Brien,GB Hogg,NJ O'Brien,0,0,0,53,10,13,1,0,,,12,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
67,KJ O'Brien,GB Hogg,NJ O'Brien,0,0,0,53,10,14,2,0,,,12,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
68,KJ O'Brien,GB Hogg,NJ O'Brien,4,0,4,57,14,15,3,0,,,12,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
69,KJ O'Brien,GB Hogg,NJ O'Brien,4,0,4,61,18,16,4,0,,,12,,-,bat,Ireland,1,R Premadasa Stadium,2012-09-19,Ireland,Australia
