,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,Rahmanullah Gurbaz,Mohammad Saifuddin,Hazratullah,0,0,0,0,197,0,1,1,1,bowled,Rahmanullah Gurbaz,,1,-,bat,Afghanistan,1,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Afghanistan_2019-09-15,Afghanistan,Afghanistan,Bangladesh,164
1,Najeeb Tarakai,Mohammad Saifuddin,Hazratullah,2,0,2,2,195,2,1,1,2,0,,,1,-,bat,Afghanistan,1,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Afghanistan_2019-09-15,Afghanistan,Afghanistan,Bangladesh,164
2,Najeeb Tarakai,Mohammad Saifuddin,Hazratullah,1,0,1,3,194,3,2,1,3,0,,,1,-,bat,Afghanistan,1,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Afghanistan_2019-09-15,Afghanistan,Afghanistan,Bangladesh,164
3,Hazratullah,Mohammad Saifuddin,Najeeb Tarakai,1,0,1,4,193,1,1,1,4,0,,,1,-,bat,Afghanistan,1,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Afghanistan_2019-09-15,Afghanistan,Afghanistan,Bangladesh,164
4,Najeeb Tarakai,Mohammad Saifuddin,Hazratullah,0,0,0,4,193,3,3,1,5,0,,,1,-,bat,Afghanistan,1,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Afghanistan_2019-09-15,Afghanistan,Afghanistan,Bangladesh,164
5,Najeeb Tarakai,Mohammad Saifuddin,Hazratullah,1,0,1,5,192,4,4,1,6,0,,,1,-,bat,Afghanistan,1,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Afghanistan_2019-09-15,Afghanistan,Afghanistan,Bangladesh,164
6,Najeeb Tarakai,Shakib Al Hasan,Hazratullah,0,4,4,9,188,4,5,1,1,0,,,2,byes,bat,Afghanistan,1,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Afghanistan_2019-09-15,Afghanistan,Afghanistan,Bangladesh,164
7,Najeeb Tarakai,Shakib Al Hasan,Hazratullah,0,0,0,9,188,4,6,1,2,0,,,2,-,bat,Afghanistan,1,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Afghanistan_2019-09-15,Afghanistan,Afghanistan,Bangladesh,164
8,Najeeb Tarakai,Shakib Al Hasan,Hazratullah,0,1,1,10,187,4,7,1,3,0,,,2,legbyes,bat,Afghanistan,1,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Afghanistan_2019-09-15,Afghanistan,Afghanistan,Bangladesh,164
9,Hazratullah,Shakib Al Hasan,Najeeb Tarakai,0,0,0,10,187,1,2,2,4,caught,Hazratullah,Liton Das,2,-,bat,Afghanistan,1,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Afghanistan_2019-09-15,Afghanistan,Afghanistan,Bangladesh,164
10,Najeeb Tarakai,Shakib Al Hasan,Asghar Stanikzai,0,0,0,10,187,4,8,2,5,0,,,2,-,bat,Afghanistan,1,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Afghanistan_2019-09-15,Afghanistan,Afghanistan,Bangladesh,164
11,Najeeb Tarakai,Shakib Al Hasan,Asghar Stanikzai,0,0,0,10,187,4,9,2,6,0,,,2,-,bat,Afghanistan,1,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Afghanistan_2019-09-15,Afghanistan,Afghanistan,Bangladesh,164
12,Asghar Stanikzai,Mohammad Saifuddin,Najeeb Tarakai,0,1,1,11,186,0,1,2,1,0,,,3,legbyes,bat,Afghanistan,1,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Afghanistan_2019-09-15,Afghanistan,Afghanistan,Bangladesh,164
13,Najeeb Tarakai,Mohammad Saifuddin,Asghar Stanikzai,1,0,1,12,185,5,10,2,2,0,,,3,-,bat,Afghanistan,1,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Afghanistan_2019-09-15,Afghanistan,Afghanistan,Bangladesh,164
14,Asghar Stanikzai,Mohammad Saifuddin,Najeeb Tarakai,1,0,1,13,184,1,2,2,3,0,,,3,-,bat,Afghanistan,1,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Afghanistan_2019-09-15,Afghanistan,Afghanistan,Bangladesh,164
15,Najeeb Tarakai,Mohammad Saifuddin,Asghar Stanikzai,0,0,0,13,184,5,11,2,4,0,,,3,-,bat,Afghanistan,1,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Afghanistan_2019-09-15,Afghanistan,Afghanistan,Bangladesh,164
16,Najeeb Tarakai,Mohammad Saifuddin,Asghar Stanikzai,6,0,6,19,178,11,12,2,5,0,,,3,-,bat,Afghanistan,1,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Afghanistan_2019-09-15,Afghanistan,Afghanistan,Bangladesh,164
17,Najeeb Tarakai,Mohammad Saifuddin,Asghar Stanikzai,0,0,0,19,178,11,13,3,6,caught,Najeeb Tarakai,Sabbir Rahman,3,-,bat,Afghanistan,1,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Afghanistan_2019-09-15,Afghanistan,Afghanistan,Bangladesh,164
18,Asghar Stanikzai,Shakib Al Hasan,Najibullah Zadran,0,0,0,19,178,1,3,3,1,0,,,4,-,bat,Afghanistan,1,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Afghanistan_2019-09-15,Afghanistan,Afghanistan,Bangladesh,164
19,Asghar Stanikzai,Shakib Al Hasan,Najibullah Zadran,4,0,4,23,174,5,4,3,2,0,,,4,-,bat,Afghanistan,1,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Afghanistan_2019-09-15,Afghanistan,Afghanistan,Bangladesh,164
20,Asghar Stanikzai,Shakib Al Hasan,Najibullah Zadran,0,0,0,23,174,5,5,3,3,0,,,4,-,bat,Afghanistan,1,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Afghanistan_2019-09-15,Afghanistan,Afghanistan,Bangladesh,164
21,Asghar Stanikzai,Shakib Al Hasan,Najibullah Zadran,0,0,0,23,174,5,6,3,4,0,,,4,-,bat,Afghanistan,1,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Afghanistan_2019-09-15,Afghanistan,Afghanistan,Bangladesh,164
22,Asghar Stanikzai,Shakib Al Hasan,Najibullah Zadran,0,0,0,23,174,5,7,3,5,0,,,4,-,bat,Afghanistan,1,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Afghanistan_2019-09-15,Afghanistan,Afghanistan,Bangladesh,164
23,Asghar Stanikzai,Shakib Al Hasan,Najibullah Zadran,0,4,4,27,170,5,8,3,6,0,,,4,byes,bat,Afghanistan,1,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Afghanistan_2019-09-15,Afghanistan,Afghanistan,Bangladesh,164
24,Najibullah Zadran,Mustafizur Rahman,Asghar Stanikzai,0,0,0,27,170,0,1,3,1,0,,,5,-,bat,Afghanistan,1,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Afghanistan_2019-09-15,Afghanistan,Afghanistan,Bangladesh,164
25,Najibullah Zadran,Mustafizur Rahman,Asghar Stanikzai,1,0,1,28,169,1,2,3,2,0,,,5,-,bat,Afghanistan,1,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Afghanistan_2019-09-15,Afghanistan,Afghanistan,Bangladesh,164
26,Asghar Stanikzai,Mustafizur Rahman,Najibullah Zadran,0,0,0,28,169,5,9,3,3,0,,,5,-,bat,Afghanistan,1,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Afghanistan_2019-09-15,Afghanistan,Afghanistan,Bangladesh,164
27,Asghar Stanikzai,Mustafizur Rahman,Najibullah Zadran,0,0,0,28,169,5,10,3,4,0,,,5,-,bat,Afghanistan,1,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Afghanistan_2019-09-15,Afghanistan,Afghanistan,Bangladesh,164
28,Asghar Stanikzai,Mustafizur Rahman,Najibullah Zadran,4,0,4,32,165,9,11,3,5,0,,,5,-,bat,Afghanistan,1,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Afghanistan_2019-09-15,Afghanistan,Afghanistan,Bangladesh,164
29,Asghar Stanikzai,Mustafizur Rahman,Najibullah Zadran,0,2,2,34,163,9,12,3,6,0,,,5,wides,bat,Afghanistan,1,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Afghanistan_2019-09-15,Afghanistan,Afghanistan,Bangladesh,164
30,Najibullah Zadran,Mustafizur Rahman,Asghar Stanikzai,0,0,0,34,163,1,3,3,7,0,,,5,-,bat,Afghanistan,1,"Shere Bangla National Stadium, Mirpur",2019,09,Bangladesh_Afghanistan_2019-09-15,Afghanistan,Afghanistan,Bangladesh,164
