,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,WIA Fernando,BC Fortuin,LD Chandimal,0,0,0,0,163,0,1,0,1,1,-,0,,,,bat,South Africa,2,"R Premadasa Stadium, Colombo",2021,09,South Africa_Sri Lanka_2021-09-10,South Africa,Sri Lanka,South Africa
1,WIA Fernando,BC Fortuin,LD Chandimal,1,0,1,1,162,1,2,0,2,1,-,0,,,,bat,South Africa,2,"R Premadasa Stadium, Colombo",2021,09,South Africa_Sri Lanka_2021-09-10,South Africa,Sri Lanka,South Africa
2,LD Chandimal,BC Fortuin,WIA Fernando,0,0,0,1,162,0,1,0,3,1,-,0,,,,bat,South Africa,2,"R Premadasa Stadium, Colombo",2021,09,South Africa_Sri Lanka_2021-09-10,South Africa,Sri Lanka,South Africa
3,LD Chandimal,BC Fortuin,WIA Fernando,0,0,0,1,162,0,2,0,4,1,-,0,,,,bat,South Africa,2,"R Premadasa Stadium, Colombo",2021,09,South Africa_Sri Lanka_2021-09-10,South Africa,Sri Lanka,South Africa
4,LD Chandimal,BC Fortuin,WIA Fernando,1,0,1,2,161,1,3,0,5,1,-,0,,,,bat,South Africa,2,"R Premadasa Stadium, Colombo",2021,09,South Africa_Sri Lanka_2021-09-10,South Africa,Sri Lanka,South Africa
5,WIA Fernando,BC Fortuin,LD Chandimal,0,0,0,2,161,1,3,0,6,1,-,0,,,,bat,South Africa,2,"R Premadasa Stadium, Colombo",2021,09,South Africa_Sri Lanka_2021-09-10,South Africa,Sri Lanka,South Africa
6,LD Chandimal,A Nortje,WIA Fernando,1,0,1,3,160,2,4,0,1,2,-,0,,,,bat,South Africa,2,"R Premadasa Stadium, Colombo",2021,09,South Africa_Sri Lanka_2021-09-10,South Africa,Sri Lanka,South Africa
7,WIA Fernando,A Nortje,LD Chandimal,1,0,1,4,159,2,4,0,2,2,-,0,,,,bat,South Africa,2,"R Premadasa Stadium, Colombo",2021,09,South Africa_Sri Lanka_2021-09-10,South Africa,Sri Lanka,South Africa
8,LD Chandimal,A Nortje,WIA Fernando,0,0,0,4,159,2,5,0,3,2,-,0,,,,bat,South Africa,2,"R Premadasa Stadium, Colombo",2021,09,South Africa_Sri Lanka_2021-09-10,South Africa,Sri Lanka,South Africa
9,LD Chandimal,A Nortje,WIA Fernando,0,0,0,4,159,2,6,0,4,2,-,0,,,,bat,South Africa,2,"R Premadasa Stadium, Colombo",2021,09,South Africa_Sri Lanka_2021-09-10,South Africa,Sri Lanka,South Africa
