,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,PD Salt,AJ Hosein,JC Buttler,0,0,0,0,190,0,1,0,1,1,-,,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2023,12,England_West Indies_2023-12-12,West Indies,England,West Indies,171
1,PD Salt,AJ Hosein,JC Buttler,4,0,4,4,186,4,2,0,2,1,-,,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2023,12,England_West Indies_2023-12-12,West Indies,England,West Indies,171
2,PD Salt,AJ Hosein,JC Buttler,4,0,4,8,182,8,3,0,3,1,-,,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2023,12,England_West Indies_2023-12-12,West Indies,England,West Indies,171
3,PD Salt,AJ Hosein,JC Buttler,0,0,0,8,182,8,4,0,4,1,-,,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2023,12,England_West Indies_2023-12-12,West Indies,England,West Indies,171
4,PD Salt,AJ Hosein,JC Buttler,4,0,4,12,178,12,5,0,5,1,-,,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2023,12,England_West Indies_2023-12-12,West Indies,England,West Indies,171
5,PD Salt,AJ Hosein,JC Buttler,1,0,1,13,177,13,6,0,6,1,-,,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2023,12,England_West Indies_2023-12-12,West Indies,England,West Indies,171
6,PD Salt,JO Holder,JC Buttler,1,0,1,14,176,14,7,0,1,2,-,,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2023,12,England_West Indies_2023-12-12,West Indies,England,West Indies,171
7,JC Buttler,JO Holder,PD Salt,0,0,0,14,176,0,1,0,2,2,-,,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2023,12,England_West Indies_2023-12-12,West Indies,England,West Indies,171
8,JC Buttler,JO Holder,PD Salt,0,1,1,15,175,0,2,0,3,2,wides,,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2023,12,England_West Indies_2023-12-12,West Indies,England,West Indies,171
9,JC Buttler,JO Holder,PD Salt,1,0,1,16,174,1,3,0,4,2,-,,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2023,12,England_West Indies_2023-12-12,West Indies,England,West Indies,171
10,PD Salt,JO Holder,JC Buttler,0,1,1,17,173,14,8,0,5,2,wides,,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2023,12,England_West Indies_2023-12-12,West Indies,England,West Indies,171
11,PD Salt,JO Holder,JC Buttler,1,0,1,18,172,15,9,0,6,2,-,,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2023,12,England_West Indies_2023-12-12,West Indies,England,West Indies,171
12,JC Buttler,JO Holder,PD Salt,4,0,4,22,168,5,4,0,7,2,-,,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2023,12,England_West Indies_2023-12-12,West Indies,England,West Indies,171
13,JC Buttler,JO Holder,PD Salt,0,0,0,22,168,5,5,0,8,2,-,,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2023,12,England_West Indies_2023-12-12,West Indies,England,West Indies,171
14,PD Salt,AJ Hosein,JC Buttler,0,0,0,22,168,15,10,0,1,3,-,,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2023,12,England_West Indies_2023-12-12,West Indies,England,West Indies,171
15,PD Salt,AJ Hosein,JC Buttler,2,0,2,24,166,17,11,0,2,3,-,,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2023,12,England_West Indies_2023-12-12,West Indies,England,West Indies,171
16,PD Salt,AJ Hosein,JC Buttler,1,0,1,25,165,18,12,0,3,3,-,,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2023,12,England_West Indies_2023-12-12,West Indies,England,West Indies,171
17,JC Buttler,AJ Hosein,PD Salt,0,0,0,25,165,5,6,0,4,3,-,,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2023,12,England_West Indies_2023-12-12,West Indies,England,West Indies,171
