,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,MJ Guptill,Aamer Yamin,KS Williamson,1,0,1,1,180,1,1,0,1,0,0,,,-,,bat,Pakistan,2,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,New Zealand,Pakistan,False,163
1,KS Williamson,Aamer Yamin,MJ Guptill,0,0,0,1,180,0,1,0,2,0,0,,,-,,bat,Pakistan,2,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,New Zealand,Pakistan,False,163
2,KS Williamson,Aamer Yamin,MJ Guptill,1,0,1,2,179,1,2,0,3,0,0,,,-,,bat,Pakistan,2,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,New Zealand,Pakistan,False,163
3,MJ Guptill,Aamer Yamin,KS Williamson,1,0,1,3,178,2,2,0,4,0,0,,,-,,bat,Pakistan,2,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,New Zealand,Pakistan,False,163
4,KS Williamson,Aamer Yamin,MJ Guptill,1,0,1,4,177,2,3,0,5,0,0,,,-,,bat,Pakistan,2,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,New Zealand,Pakistan,False,163
5,MJ Guptill,Aamer Yamin,KS Williamson,1,0,1,5,176,3,3,0,6,0,0,,,-,,bat,Pakistan,2,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,New Zealand,Pakistan,False,163
6,MJ Guptill,Rumman Raees,KS Williamson,1,0,1,6,175,4,4,0,1,1,0,,,-,,bat,Pakistan,2,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,New Zealand,Pakistan,False,163
7,KS Williamson,Rumman Raees,MJ Guptill,4,0,4,10,171,6,4,0,2,1,0,,,-,,bat,Pakistan,2,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,New Zealand,Pakistan,False,163
8,KS Williamson,Rumman Raees,MJ Guptill,0,0,0,10,171,6,5,0,3,1,0,,,-,,bat,Pakistan,2,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,New Zealand,Pakistan,False,163
9,KS Williamson,Rumman Raees,MJ Guptill,0,0,0,10,171,6,6,0,4,1,0,,,-,,bat,Pakistan,2,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,New Zealand,Pakistan,False,163
