,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,DA Warner,B Kumar,AJ Finch,0,0,0,0,0,1,1,0,,,1,-,field,India,1,JSCA International Stadium Complex,2017-10-07,Australia,India
1,DA Warner,B Kumar,AJ Finch,0,0,0,0,0,2,2,0,,,1,-,field,India,1,JSCA International Stadium Complex,2017-10-07,Australia,India
2,DA Warner,B Kumar,AJ Finch,4,0,4,4,4,3,3,0,,,1,-,field,India,1,JSCA International Stadium Complex,2017-10-07,Australia,India
3,DA Warner,B Kumar,AJ Finch,4,0,4,8,8,4,4,0,,,1,-,field,India,1,JSCA International Stadium Complex,2017-10-07,Australia,India
4,DA Warner,B Kumar,AJ Finch,0,0,0,8,8,5,5,bowled,DA Warner,,1,-,field,India,1,JSCA International Stadium Complex,2017-10-07,Australia,India
5,GJ Maxwell,B Kumar,AJ Finch,0,0,0,8,0,1,6,0,,,1,-,field,India,1,JSCA International Stadium Complex,2017-10-07,Australia,India
6,AJ Finch,JJ Bumrah,GJ Maxwell,0,0,0,8,0,1,1,0,,,2,-,field,India,1,JSCA International Stadium Complex,2017-10-07,Australia,India
7,AJ Finch,JJ Bumrah,GJ Maxwell,0,0,0,8,0,2,2,0,,,2,-,field,India,1,JSCA International Stadium Complex,2017-10-07,Australia,India
8,AJ Finch,JJ Bumrah,GJ Maxwell,4,0,4,12,4,3,3,0,,,2,-,field,India,1,JSCA International Stadium Complex,2017-10-07,Australia,India
9,AJ Finch,JJ Bumrah,GJ Maxwell,1,0,1,13,5,4,4,0,,,2,-,field,India,1,JSCA International Stadium Complex,2017-10-07,Australia,India
10,GJ Maxwell,JJ Bumrah,AJ Finch,1,0,1,14,1,2,5,0,,,2,-,field,India,1,JSCA International Stadium Complex,2017-10-07,Australia,India
11,AJ Finch,JJ Bumrah,GJ Maxwell,1,0,1,15,6,5,6,0,,,2,-,field,India,1,JSCA International Stadium Complex,2017-10-07,Australia,India
12,AJ Finch,HH Pandya,GJ Maxwell,0,0,0,15,6,6,1,0,,,3,-,field,India,1,JSCA International Stadium Complex,2017-10-07,Australia,India
13,AJ Finch,HH Pandya,GJ Maxwell,2,0,2,17,8,7,2,0,,,3,-,field,India,1,JSCA International Stadium Complex,2017-10-07,Australia,India
14,AJ Finch,HH Pandya,GJ Maxwell,0,0,0,17,8,8,3,0,,,3,-,field,India,1,JSCA International Stadium Complex,2017-10-07,Australia,India
15,AJ Finch,HH Pandya,GJ Maxwell,0,0,0,17,8,9,4,0,,,3,-,field,India,1,JSCA International Stadium Complex,2017-10-07,Australia,India
16,AJ Finch,HH Pandya,GJ Maxwell,4,0,4,21,12,10,5,0,,,3,-,field,India,1,JSCA International Stadium Complex,2017-10-07,Australia,India
17,AJ Finch,HH Pandya,GJ Maxwell,4,0,4,25,16,11,6,0,,,3,-,field,India,1,JSCA International Stadium Complex,2017-10-07,Australia,India
18,GJ Maxwell,B Kumar,AJ Finch,0,0,0,25,1,3,1,0,,,4,-,field,India,1,JSCA International Stadium Complex,2017-10-07,Australia,India
19,GJ Maxwell,B Kumar,AJ Finch,1,0,1,26,2,4,2,0,,,4,-,field,India,1,JSCA International Stadium Complex,2017-10-07,Australia,India
20,AJ Finch,B Kumar,GJ Maxwell,1,0,1,27,17,12,3,0,,,4,-,field,India,1,JSCA International Stadium Complex,2017-10-07,Australia,India
21,GJ Maxwell,B Kumar,AJ Finch,0,0,0,27,2,5,4,0,,,4,-,field,India,1,JSCA International Stadium Complex,2017-10-07,Australia,India
22,GJ Maxwell,B Kumar,AJ Finch,0,0,0,27,2,6,5,0,,,4,-,field,India,1,JSCA International Stadium Complex,2017-10-07,Australia,India
23,GJ Maxwell,B Kumar,AJ Finch,1,0,1,28,3,7,6,0,,,4,-,field,India,1,JSCA International Stadium Complex,2017-10-07,Australia,India
24,GJ Maxwell,JJ Bumrah,AJ Finch,0,0,0,28,3,8,1,0,,,5,-,field,India,1,JSCA International Stadium Complex,2017-10-07,Australia,India
25,GJ Maxwell,JJ Bumrah,AJ Finch,1,0,1,29,4,9,2,0,,,5,-,field,India,1,JSCA International Stadium Complex,2017-10-07,Australia,India
26,AJ Finch,JJ Bumrah,GJ Maxwell,1,0,1,30,18,13,3,0,,,5,-,field,India,1,JSCA International Stadium Complex,2017-10-07,Australia,India
27,GJ Maxwell,JJ Bumrah,AJ Finch,0,1,1,31,4,10,4,0,,,5,wides,field,India,1,JSCA International Stadium Complex,2017-10-07,Australia,India
28,GJ Maxwell,JJ Bumrah,AJ Finch,1,0,1,32,5,11,5,0,,,5,-,field,India,1,JSCA International Stadium Complex,2017-10-07,Australia,India
29,AJ Finch,JJ Bumrah,GJ Maxwell,2,0,2,34,20,14,6,0,,,5,-,field,India,1,JSCA International Stadium Complex,2017-10-07,Australia,India
