,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extras,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,Zubaid Akbari,Arshdeep Singh,Mohammad Shahzad,0,0,0,0,0,1,1,1,0,,,,-,field,India,1,Zhejiang University of Technology Cricket Field,2023-10-07,Afghanistan,
1,Zubaid Akbari,Arshdeep Singh,Mohammad Shahzad,0,0,0,0,0,2,2,1,0,,,,-,field,India,1,Zhejiang University of Technology Cricket Field,2023-10-07,Afghanistan,
2,Zubaid Akbari,Arshdeep Singh,Mohammad Shahzad,0,0,0,0,0,3,3,1,0,,,,-,field,India,1,Zhejiang University of Technology Cricket Field,2023-10-07,Afghanistan,
3,Zubaid Akbari,Arshdeep Singh,Mohammad Shahzad,0,0,0,0,0,4,4,1,0,,,,-,field,India,1,Zhejiang University of Technology Cricket Field,2023-10-07,Afghanistan,
4,Zubaid Akbari,Arshdeep Singh,Mohammad Shahzad,1,0,1,1,1,5,5,1,0,,,,-,field,India,1,Zhejiang University of Technology Cricket Field,2023-10-07,Afghanistan,
5,Mohammad Shahzad,Arshdeep Singh,Zubaid Akbari,0,0,0,1,0,1,6,1,0,,,,-,field,India,1,Zhejiang University of Technology Cricket Field,2023-10-07,Afghanistan,
6,Zubaid Akbari,S Dube,Mohammad Shahzad,0,0,0,1,1,6,1,2,0,,,,-,field,India,1,Zhejiang University of Technology Cricket Field,2023-10-07,Afghanistan,
7,Zubaid Akbari,S Dube,Mohammad Shahzad,4,0,4,5,5,7,2,2,0,,,,-,field,India,1,Zhejiang University of Technology Cricket Field,2023-10-07,Afghanistan,
8,Zubaid Akbari,S Dube,Mohammad Shahzad,0,0,0,5,5,8,3,2,caught,Zubaid Akbari,Arshdeep Singh,,-,field,India,1,Zhejiang University of Technology Cricket Field,2023-10-07,Afghanistan,
9,Noor Ali Zadran,S Dube,Mohammad Shahzad,0,0,0,5,0,1,4,2,0,,,,-,field,India,1,Zhejiang University of Technology Cricket Field,2023-10-07,Afghanistan,
10,Noor Ali Zadran,S Dube,Mohammad Shahzad,0,0,0,5,0,2,5,2,0,,,,-,field,India,1,Zhejiang University of Technology Cricket Field,2023-10-07,Afghanistan,
11,Noor Ali Zadran,S Dube,Mohammad Shahzad,0,0,0,5,0,3,6,2,0,,,,-,field,India,1,Zhejiang University of Technology Cricket Field,2023-10-07,Afghanistan,
12,Mohammad Shahzad,Arshdeep Singh,Noor Ali Zadran,0,0,0,5,0,2,1,3,0,,,,-,field,India,1,Zhejiang University of Technology Cricket Field,2023-10-07,Afghanistan,
13,Mohammad Shahzad,Arshdeep Singh,Noor Ali Zadran,0,0,0,5,0,3,2,3,0,,,,-,field,India,1,Zhejiang University of Technology Cricket Field,2023-10-07,Afghanistan,
14,Mohammad Shahzad,Arshdeep Singh,Noor Ali Zadran,0,0,0,5,0,4,3,3,0,,,,-,field,India,1,Zhejiang University of Technology Cricket Field,2023-10-07,Afghanistan,
15,Mohammad Shahzad,Arshdeep Singh,Noor Ali Zadran,4,0,4,9,4,5,4,3,0,,,,-,field,India,1,Zhejiang University of Technology Cricket Field,2023-10-07,Afghanistan,
