,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,FH Allen,MA Starc,WA Young,0,0,0,0,118,0,1,0,1,-,1,0,,,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-25,Australia,New Zealand,Australia,98
1,FH Allen,MA Starc,WA Young,3,0,3,3,115,3,2,0,2,-,1,0,,,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-25,Australia,New Zealand,Australia,98
2,WA Young,MA Starc,FH Allen,0,0,0,3,115,0,1,0,3,-,1,0,,,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-25,Australia,New Zealand,Australia,98
3,WA Young,MA Starc,FH Allen,4,0,4,7,111,4,2,0,4,-,1,0,,,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-25,Australia,New Zealand,Australia,98
4,WA Young,MA Starc,FH Allen,0,1,1,8,110,4,3,0,5,legbyes,1,0,,,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-25,Australia,New Zealand,Australia,98
5,FH Allen,MA Starc,WA Young,0,0,0,8,110,3,3,0,6,-,1,0,,,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-25,Australia,New Zealand,Australia,98
6,WA Young,MW Short,FH Allen,6,0,6,14,104,10,4,0,1,-,2,0,,,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-25,Australia,New Zealand,Australia,98
7,WA Young,MW Short,FH Allen,0,0,0,14,104,10,5,0,2,-,2,0,,,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-25,Australia,New Zealand,Australia,98
8,WA Young,MW Short,FH Allen,4,0,4,18,100,14,6,0,3,-,2,0,,,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-25,Australia,New Zealand,Australia,98
9,WA Young,MW Short,FH Allen,0,1,1,19,99,14,7,0,4,wides,2,0,,,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-25,Australia,New Zealand,Australia,98
10,WA Young,MW Short,FH Allen,0,0,0,19,99,14,8,1,5,-,2,caught,WA Young,A Zampa,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-25,Australia,New Zealand,Australia,98
11,TL Seifert,MW Short,FH Allen,1,0,1,20,98,1,1,1,6,-,2,0,,,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-25,Australia,New Zealand,Australia,98
12,FH Allen,MW Short,TL Seifert,6,0,6,26,92,9,4,1,7,-,2,0,,,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-25,Australia,New Zealand,Australia,98
13,TL Seifert,SH Johnson,FH Allen,0,0,0,26,92,1,2,1,1,-,3,0,,,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-25,Australia,New Zealand,Australia,98
14,TL Seifert,SH Johnson,FH Allen,1,0,1,27,91,2,3,1,2,-,3,0,,,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-25,Australia,New Zealand,Australia,98
