,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,review,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,T Banton,TA Boult,JM Bairstow,4,0,4,4,,4,1,0,1,0,,-,0,,,field,New Zealand,1,McLean Park,2019,11,New Zealand_England_2019-11-08,England,England,New Zealand,True,241
1,T Banton,TA Boult,JM Bairstow,0,0,0,4,,4,2,0,2,0,,-,0,,,field,New Zealand,1,McLean Park,2019,11,New Zealand_England_2019-11-08,England,England,New Zealand,True,241
2,T Banton,TA Boult,JM Bairstow,0,0,0,4,,4,3,0,3,0,,-,0,,,field,New Zealand,1,McLean Park,2019,11,New Zealand_England_2019-11-08,England,England,New Zealand,True,241
3,T Banton,TA Boult,JM Bairstow,0,0,0,4,,4,4,0,4,0,,-,0,,,field,New Zealand,1,McLean Park,2019,11,New Zealand_England_2019-11-08,England,England,New Zealand,True,241
4,T Banton,TA Boult,JM Bairstow,0,0,0,4,,4,5,0,5,0,,-,0,,,field,New Zealand,1,McLean Park,2019,11,New Zealand_England_2019-11-08,England,England,New Zealand,True,241
5,T Banton,TA Boult,JM Bairstow,1,0,1,5,,5,6,0,6,0,,-,0,,,field,New Zealand,1,McLean Park,2019,11,New Zealand_England_2019-11-08,England,England,New Zealand,True,241
6,T Banton,TG Southee,JM Bairstow,2,0,2,7,,7,7,0,1,1,,-,0,,,field,New Zealand,1,McLean Park,2019,11,New Zealand_England_2019-11-08,England,England,New Zealand,True,241
7,T Banton,TG Southee,JM Bairstow,0,0,0,7,,7,8,0,2,1,,-,0,,,field,New Zealand,1,McLean Park,2019,11,New Zealand_England_2019-11-08,England,England,New Zealand,True,241
8,T Banton,TG Southee,JM Bairstow,1,0,1,8,,8,9,0,3,1,,-,0,,,field,New Zealand,1,McLean Park,2019,11,New Zealand_England_2019-11-08,England,England,New Zealand,True,241
9,JM Bairstow,TG Southee,T Banton,2,0,2,10,,2,1,0,4,1,,-,0,,,field,New Zealand,1,McLean Park,2019,11,New Zealand_England_2019-11-08,England,England,New Zealand,True,241
10,JM Bairstow,TG Southee,T Banton,0,0,0,10,,2,2,0,5,1,,-,0,,,field,New Zealand,1,McLean Park,2019,11,New Zealand_England_2019-11-08,England,England,New Zealand,True,241
11,JM Bairstow,TG Southee,T Banton,1,0,1,11,,3,3,0,6,1,,-,0,,,field,New Zealand,1,McLean Park,2019,11,New Zealand_England_2019-11-08,England,England,New Zealand,True,241
