,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,BA King,MM Ali,KR Mayers,0,0,0,0,,0,1,0,1,0,,,0,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
1,BA King,MM Ali,KR Mayers,4,0,4,4,,4,2,0,2,0,,,0,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
2,BA King,MM Ali,KR Mayers,4,0,4,8,,8,3,0,3,0,,,0,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
3,BA King,MM Ali,KR Mayers,0,0,0,8,,8,4,0,4,0,,,0,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
4,BA King,MM Ali,KR Mayers,0,0,0,8,,8,5,1,5,bowled,BA King,,0,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
5,N Pooran,MM Ali,KR Mayers,0,0,0,8,,0,1,1,6,0,,,0,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
6,KR Mayers,RJW Topley,N Pooran,0,0,0,8,,0,1,1,1,0,,,1,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
7,KR Mayers,RJW Topley,N Pooran,0,0,0,8,,0,2,1,2,0,,,1,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
8,KR Mayers,RJW Topley,N Pooran,0,0,0,8,,0,3,2,3,caught,KR Mayers,JC Buttler,1,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
9,SD Hope,RJW Topley,N Pooran,0,0,0,8,,0,1,2,4,0,,,1,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
10,SD Hope,RJW Topley,N Pooran,0,0,0,8,,0,2,2,5,0,,,1,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
11,SD Hope,RJW Topley,N Pooran,2,0,2,10,,2,3,2,6,0,,,1,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
12,N Pooran,MM Ali,SD Hope,1,0,1,11,,1,2,2,1,0,,,2,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
13,SD Hope,MM Ali,N Pooran,6,0,6,17,,8,4,2,2,0,,,2,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
14,SD Hope,MM Ali,N Pooran,4,0,4,21,,12,5,2,3,0,,,2,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
15,SD Hope,MM Ali,N Pooran,0,0,0,21,,12,6,2,4,0,,,2,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
16,SD Hope,MM Ali,N Pooran,0,0,0,21,,12,7,2,5,0,,,2,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
17,SD Hope,MM Ali,N Pooran,1,0,1,22,,13,8,2,6,0,,,2,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
18,SD Hope,RJW Topley,N Pooran,1,0,1,23,,14,9,2,1,0,,,3,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
19,N Pooran,RJW Topley,SD Hope,0,0,0,23,,1,3,2,2,0,,,3,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
20,N Pooran,RJW Topley,SD Hope,1,0,1,24,,2,4,2,3,0,,,3,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
21,SD Hope,RJW Topley,N Pooran,1,0,1,25,,15,10,2,4,0,,,3,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
22,N Pooran,RJW Topley,SD Hope,4,0,4,29,,6,5,2,5,0,,,3,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
23,N Pooran,RJW Topley,SD Hope,0,0,0,29,,6,6,2,6,0,,,3,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
24,SD Hope,AAP Atkinson,N Pooran,6,0,6,35,,21,11,2,1,0,,,4,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
25,SD Hope,AAP Atkinson,N Pooran,1,0,1,36,,22,12,2,2,0,,,4,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
26,N Pooran,AAP Atkinson,SD Hope,4,0,4,40,,10,7,2,3,0,,,4,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
27,N Pooran,AAP Atkinson,SD Hope,6,0,6,46,,16,8,2,4,0,,,4,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
28,N Pooran,AAP Atkinson,SD Hope,0,0,0,46,,16,9,2,5,0,,,4,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
29,N Pooran,AAP Atkinson,SD Hope,1,0,1,47,,17,10,2,6,0,,,4,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
30,N Pooran,RJW Topley,SD Hope,1,0,1,48,,18,11,2,1,0,,,5,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
31,SD Hope,RJW Topley,N Pooran,0,0,0,48,,22,13,2,2,0,,,5,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
32,SD Hope,RJW Topley,N Pooran,0,0,0,48,,22,14,2,3,0,,,5,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
33,SD Hope,RJW Topley,N Pooran,1,0,1,49,,23,15,2,4,0,,,5,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
34,N Pooran,RJW Topley,SD Hope,1,0,1,50,,19,12,2,5,0,,,5,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
35,SD Hope,RJW Topley,N Pooran,2,0,2,52,,25,16,2,6,0,,,5,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
36,N Pooran,LS Livingstone,SD Hope,0,0,0,52,,19,13,2,1,0,,,6,-,,field,England,1,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,West Indies,England,False,222
