,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,JN Malan,Mohammad Nawaz (3),RR Hendricks,,0,0,0,0,169,0,1,0,1,0,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
1,JN Malan,Mohammad Nawaz (3),RR Hendricks,,0,0,0,0,169,0,2,0,2,0,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
2,JN Malan,Mohammad Nawaz (3),RR Hendricks,,0,0,0,0,169,0,3,0,3,0,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
3,JN Malan,Mohammad Nawaz (3),RR Hendricks,,4,0,4,4,165,4,4,0,4,0,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
4,JN Malan,Mohammad Nawaz (3),RR Hendricks,"{'by': 'Pakistan', 'umpire': 'Aleem Dar', 'batter': 'JN Malan', 'decision': 'struck down'}",1,0,1,5,164,5,5,0,5,0,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
5,RR Hendricks,Mohammad Nawaz (3),JN Malan,,0,0,0,5,164,0,1,0,6,0,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
6,JN Malan,Haris Rauf,RR Hendricks,,0,0,0,5,164,5,6,0,1,1,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
7,JN Malan,Haris Rauf,RR Hendricks,,4,0,4,9,160,9,7,0,2,1,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
8,JN Malan,Haris Rauf,RR Hendricks,,1,0,1,10,159,10,8,0,3,1,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
9,RR Hendricks,Haris Rauf,JN Malan,,0,0,0,10,159,0,2,0,4,1,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
