,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,review,extras,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,T Bavuma,Taskin Ahmed,Q de Kock,0,0,0,0,0,1,1,0,,,1,,,-,bat,South Africa,1,Sydney Cricket Ground,2022-10-27,South Africa,Bangladesh
1,T Bavuma,Taskin Ahmed,Q de Kock,2,0,2,2,2,2,2,0,,,1,,,-,bat,South Africa,1,Sydney Cricket Ground,2022-10-27,South Africa,Bangladesh
2,T Bavuma,Taskin Ahmed,Q de Kock,0,0,0,2,2,3,3,0,,,1,,,-,bat,South Africa,1,Sydney Cricket Ground,2022-10-27,South Africa,Bangladesh
3,T Bavuma,Taskin Ahmed,Q de Kock,0,0,0,2,2,4,4,0,,,1,,,-,bat,South Africa,1,Sydney Cricket Ground,2022-10-27,South Africa,Bangladesh
4,T Bavuma,Taskin Ahmed,Q de Kock,0,0,0,2,2,5,5,0,,,1,,,-,bat,South Africa,1,Sydney Cricket Ground,2022-10-27,South Africa,Bangladesh
5,T Bavuma,Taskin Ahmed,Q de Kock,0,0,0,2,2,6,6,caught,T Bavuma,Nurul Hasan,1,,,-,bat,South Africa,1,Sydney Cricket Ground,2022-10-27,South Africa,Bangladesh
6,Q de Kock,Mehedi Hasan Miraz,RR Rossouw,0,0,0,2,0,1,1,0,,,2,,,-,bat,South Africa,1,Sydney Cricket Ground,2022-10-27,South Africa,Bangladesh
7,Q de Kock,Mehedi Hasan Miraz,RR Rossouw,1,0,1,3,1,2,2,0,,,2,,,-,bat,South Africa,1,Sydney Cricket Ground,2022-10-27,South Africa,Bangladesh
8,RR Rossouw,Mehedi Hasan Miraz,Q de Kock,1,0,1,4,1,1,3,0,,,2,,,-,bat,South Africa,1,Sydney Cricket Ground,2022-10-27,South Africa,Bangladesh
9,Q de Kock,Mehedi Hasan Miraz,RR Rossouw,4,0,4,8,5,3,4,0,,,2,,,-,bat,South Africa,1,Sydney Cricket Ground,2022-10-27,South Africa,Bangladesh
10,Q de Kock,Mehedi Hasan Miraz,RR Rossouw,1,0,1,9,6,4,5,0,,,2,,,-,bat,South Africa,1,Sydney Cricket Ground,2022-10-27,South Africa,Bangladesh
11,RR Rossouw,Mehedi Hasan Miraz,Q de Kock,1,0,1,10,2,2,6,0,,,2,,,-,bat,South Africa,1,Sydney Cricket Ground,2022-10-27,South Africa,Bangladesh
12,RR Rossouw,Taskin Ahmed,Q de Kock,0,0,0,10,2,3,1,0,,,3,"{'by': 'Bangladesh', 'umpire': 'RJ Tucker', 'batter': 'RR Rossouw', 'decision': 'struck down'}",,-,bat,South Africa,1,Sydney Cricket Ground,2022-10-27,South Africa,Bangladesh
13,RR Rossouw,Taskin Ahmed,Q de Kock,0,0,0,10,2,4,2,0,,,3,,,-,bat,South Africa,1,Sydney Cricket Ground,2022-10-27,South Africa,Bangladesh
14,RR Rossouw,Taskin Ahmed,Q de Kock,4,0,4,14,6,5,3,0,,,3,,,-,bat,South Africa,1,Sydney Cricket Ground,2022-10-27,South Africa,Bangladesh
15,RR Rossouw,Taskin Ahmed,Q de Kock,1,0,1,15,7,6,4,0,,,3,,,-,bat,South Africa,1,Sydney Cricket Ground,2022-10-27,South Africa,Bangladesh
