,batter,bowler,non_striker,extras,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,RG Sharma,CAK Rajitha,S Dhawan,,0,0,0,0,0,1,1,-,0,,,1,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
1,RG Sharma,CAK Rajitha,S Dhawan,,0,0,0,0,0,2,2,-,caught,RG Sharma,PVD Chameera,1,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
2,AM Rahane,CAK Rajitha,S Dhawan,,0,0,0,0,0,1,3,-,0,,,1,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
3,AM Rahane,CAK Rajitha,S Dhawan,,0,0,0,0,0,2,4,-,0,,,1,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
4,AM Rahane,CAK Rajitha,S Dhawan,{'wides': 1},0,1,1,1,0,3,5,wides,0,,,1,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
5,AM Rahane,CAK Rajitha,S Dhawan,,4,0,4,5,4,4,6,-,0,,,1,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
6,AM Rahane,CAK Rajitha,S Dhawan,,0,0,0,5,4,5,7,-,caught,AM Rahane,LD Chandimal,1,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
7,S Dhawan,NLTC Perera,SK Raina,,0,0,0,5,0,1,1,-,0,,,2,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
8,S Dhawan,NLTC Perera,SK Raina,,0,0,0,5,0,2,2,-,0,,,2,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
9,S Dhawan,NLTC Perera,SK Raina,,0,0,0,5,0,3,3,-,0,,,2,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
10,S Dhawan,NLTC Perera,SK Raina,,0,0,0,5,0,4,4,-,0,,,2,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
11,S Dhawan,NLTC Perera,SK Raina,,0,0,0,5,0,5,5,-,0,,,2,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
12,S Dhawan,NLTC Perera,SK Raina,,0,0,0,5,0,6,6,-,0,,,2,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
13,SK Raina,CAK Rajitha,S Dhawan,{'wides': 1},0,1,1,6,0,1,1,wides,0,,,3,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
14,SK Raina,CAK Rajitha,S Dhawan,,0,0,0,6,0,2,2,-,0,,,3,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
15,SK Raina,CAK Rajitha,S Dhawan,,0,0,0,6,0,3,3,-,0,,,3,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
16,SK Raina,CAK Rajitha,S Dhawan,,1,0,1,7,1,4,4,-,0,,,3,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
17,S Dhawan,CAK Rajitha,SK Raina,,1,0,1,8,1,7,5,-,0,,,3,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
18,SK Raina,CAK Rajitha,S Dhawan,,2,0,2,10,3,5,6,-,0,,,3,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
19,SK Raina,CAK Rajitha,S Dhawan,,0,0,0,10,3,6,7,-,0,,,3,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
20,S Dhawan,NLTC Perera,SK Raina,,6,0,6,16,7,8,1,-,0,,,4,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
21,S Dhawan,NLTC Perera,SK Raina,,0,0,0,16,7,9,2,-,0,,,4,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
22,S Dhawan,NLTC Perera,SK Raina,{'legbyes': 1},0,1,1,17,7,10,3,legbyes,0,,,4,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
23,SK Raina,NLTC Perera,S Dhawan,{'wides': 1},0,1,1,18,3,7,4,wides,0,,,4,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
24,SK Raina,NLTC Perera,S Dhawan,,0,0,0,18,3,8,5,-,0,,,4,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
25,SK Raina,NLTC Perera,S Dhawan,,1,0,1,19,4,9,6,-,0,,,4,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
26,S Dhawan,NLTC Perera,SK Raina,,0,0,0,19,7,11,7,-,0,,,4,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
27,SK Raina,CAK Rajitha,S Dhawan,,0,0,0,19,4,10,1,-,0,,,5,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
28,SK Raina,CAK Rajitha,S Dhawan,,4,0,4,23,8,11,2,-,0,,,5,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
29,SK Raina,CAK Rajitha,S Dhawan,,6,0,6,29,14,12,3,-,0,,,5,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
30,SK Raina,CAK Rajitha,S Dhawan,,1,0,1,30,15,13,4,-,0,,,5,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
31,S Dhawan,CAK Rajitha,SK Raina,,2,0,2,32,9,12,5,-,0,,,5,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
32,S Dhawan,CAK Rajitha,SK Raina,,0,0,0,32,9,13,6,-,caught,S Dhawan,MD Gunathilaka,5,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
33,Yuvraj Singh,SMSM Senanayake,SK Raina,,0,0,0,32,0,1,1,-,0,,,6,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
34,Yuvraj Singh,SMSM Senanayake,SK Raina,,6,0,6,38,6,2,2,-,0,,,6,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
35,Yuvraj Singh,SMSM Senanayake,SK Raina,,0,0,0,38,6,3,3,-,0,,,6,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
36,Yuvraj Singh,SMSM Senanayake,SK Raina,,1,0,1,39,7,4,4,-,0,,,6,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
37,SK Raina,SMSM Senanayake,Yuvraj Singh,,0,0,0,39,15,14,5,-,0,,,6,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
38,SK Raina,SMSM Senanayake,Yuvraj Singh,{'wides': 1},0,1,1,40,15,15,6,wides,0,,,6,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
39,SK Raina,SMSM Senanayake,Yuvraj Singh,,0,0,0,40,15,16,7,-,0,,,6,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
40,Yuvraj Singh,PVD Chameera,SK Raina,,0,0,0,40,7,5,1,-,0,,,7,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
41,Yuvraj Singh,PVD Chameera,SK Raina,,0,0,0,40,7,6,2,-,0,,,7,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
42,Yuvraj Singh,PVD Chameera,SK Raina,,0,0,0,40,7,7,3,-,0,,,7,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
43,Yuvraj Singh,PVD Chameera,SK Raina,,1,0,1,41,8,8,4,-,0,,,7,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
44,SK Raina,PVD Chameera,Yuvraj Singh,{'wides': 1},0,1,1,42,15,17,5,wides,0,,,7,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
45,SK Raina,PVD Chameera,Yuvraj Singh,,1,0,1,43,16,18,6,-,0,,,7,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
46,Yuvraj Singh,PVD Chameera,SK Raina,,0,0,0,43,8,9,7,-,0,,,7,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
47,SK Raina,SMSM Senanayake,Yuvraj Singh,{'wides': 1},0,1,1,44,16,19,1,wides,0,,,8,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
48,SK Raina,SMSM Senanayake,Yuvraj Singh,,1,0,1,45,17,20,2,-,0,,,8,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
49,Yuvraj Singh,SMSM Senanayake,SK Raina,,1,0,1,46,9,10,3,-,0,,,8,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
50,SK Raina,SMSM Senanayake,Yuvraj Singh,,0,0,0,46,17,21,4,-,0,,,8,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
51,SK Raina,SMSM Senanayake,Yuvraj Singh,,0,0,0,46,17,22,5,-,0,,,8,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
52,SK Raina,SMSM Senanayake,Yuvraj Singh,,1,0,1,47,18,23,6,-,0,,,8,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
53,Yuvraj Singh,SMSM Senanayake,SK Raina,,0,0,0,47,9,11,7,-,0,,,8,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
54,SK Raina,MD Shanaka,Yuvraj Singh,,2,0,2,49,20,24,1,-,0,,,9,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
55,SK Raina,MD Shanaka,Yuvraj Singh,,0,0,0,49,20,25,2,-,bowled,SK Raina,,9,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
56,MS Dhoni,MD Shanaka,Yuvraj Singh,,2,0,2,51,2,1,3,-,0,,,9,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
57,MS Dhoni,MD Shanaka,Yuvraj Singh,,0,0,0,51,2,2,4,-,caught,MS Dhoni,N Dickwella,9,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
58,HH Pandya,MD Shanaka,Yuvraj Singh,,0,0,0,51,0,1,5,-,0,,,9,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
59,HH Pandya,MD Shanaka,Yuvraj Singh,,0,0,0,51,0,2,6,-,0,,,9,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
60,Yuvraj Singh,PVD Chameera,HH Pandya,,1,0,1,52,10,12,1,-,0,,,10,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
61,HH Pandya,PVD Chameera,Yuvraj Singh,,1,0,1,53,1,3,2,-,0,,,10,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
62,Yuvraj Singh,PVD Chameera,HH Pandya,,0,0,0,53,10,13,3,-,0,,,10,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
63,Yuvraj Singh,PVD Chameera,HH Pandya,,0,0,0,53,10,14,4,-,caught and bowled,Yuvraj Singh,,10,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
64,RA Jadeja,PVD Chameera,HH Pandya,,0,0,0,53,0,1,5,-,0,,,10,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
65,RA Jadeja,PVD Chameera,HH Pandya,,1,0,1,54,1,2,6,-,0,,,10,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
66,RA Jadeja,MD Shanaka,HH Pandya,,1,0,1,55,2,3,1,-,0,,,11,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
67,HH Pandya,MD Shanaka,RA Jadeja,{'wides': 1},0,1,1,56,1,4,2,wides,0,,,11,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
68,HH Pandya,MD Shanaka,RA Jadeja,,1,0,1,57,2,5,3,-,0,,,11,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
69,RA Jadeja,MD Shanaka,HH Pandya,,0,0,0,57,2,4,4,-,0,,,11,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
70,RA Jadeja,MD Shanaka,HH Pandya,,1,0,1,58,3,5,5,-,0,,,11,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
71,HH Pandya,MD Shanaka,RA Jadeja,,0,0,0,58,2,6,6,-,0,,,11,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
72,HH Pandya,MD Shanaka,RA Jadeja,,0,0,0,58,2,7,7,-,lbw,HH Pandya,,11,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
73,RA Jadeja,PVD Chameera,R Ashwin,,1,0,1,59,4,6,1,-,0,,,12,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
74,R Ashwin,PVD Chameera,RA Jadeja,,4,0,4,63,4,1,2,-,0,,,12,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
75,R Ashwin,PVD Chameera,RA Jadeja,,0,0,0,63,4,2,3,-,0,,,12,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
76,R Ashwin,PVD Chameera,RA Jadeja,,0,0,0,63,4,3,4,-,0,,,12,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
77,R Ashwin,PVD Chameera,RA Jadeja,,0,0,0,63,4,4,5,-,0,,,12,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
78,R Ashwin,PVD Chameera,RA Jadeja,,1,0,1,64,5,5,6,-,0,,,12,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
79,R Ashwin,MD Shanaka,RA Jadeja,,4,0,4,68,9,6,1,-,0,,,13,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
80,R Ashwin,MD Shanaka,RA Jadeja,,1,0,1,69,10,7,2,-,0,,,13,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
81,RA Jadeja,MD Shanaka,R Ashwin,,1,0,1,70,5,7,3,-,0,,,13,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
82,R Ashwin,MD Shanaka,RA Jadeja,,1,0,1,71,11,8,4,-,0,,,13,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
83,RA Jadeja,MD Shanaka,R Ashwin,,1,0,1,72,6,8,5,-,0,,,13,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
84,R Ashwin,MD Shanaka,RA Jadeja,,0,0,0,72,11,9,6,-,0,,,13,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
85,RA Jadeja,SMSM Senanayake,R Ashwin,,0,0,0,72,6,9,1,-,lbw,RA Jadeja,,14,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
86,A Nehra,SMSM Senanayake,R Ashwin,,0,0,0,72,0,1,2,-,0,,,14,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
87,A Nehra,SMSM Senanayake,R Ashwin,,1,0,1,73,1,2,3,-,0,,,14,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
88,R Ashwin,SMSM Senanayake,A Nehra,,0,0,0,73,11,10,4,-,0,,,14,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
89,R Ashwin,SMSM Senanayake,A Nehra,,4,0,4,77,15,11,5,-,0,,,14,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
90,R Ashwin,SMSM Senanayake,A Nehra,,1,0,1,78,16,12,6,-,0,,,14,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
91,R Ashwin,NLTC Perera,A Nehra,,1,0,1,79,17,13,1,-,0,,,15,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
92,A Nehra,NLTC Perera,R Ashwin,,0,0,0,79,1,3,2,-,0,,,15,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
93,A Nehra,NLTC Perera,R Ashwin,,0,0,0,79,1,4,3,-,0,,,15,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
94,A Nehra,NLTC Perera,R Ashwin,,0,0,0,79,1,5,4,-,0,,,15,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
95,A Nehra,NLTC Perera,R Ashwin,,0,0,0,79,1,6,5,-,0,,,15,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
96,A Nehra,NLTC Perera,R Ashwin,,1,0,1,80,2,7,6,-,0,,,15,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
97,A Nehra,S Prasanna,R Ashwin,,0,0,0,80,2,8,1,-,0,,,16,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
98,A Nehra,S Prasanna,R Ashwin,,1,0,1,81,3,9,2,-,0,,,16,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
99,R Ashwin,S Prasanna,A Nehra,,1,0,1,82,18,14,3,-,0,,,16,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
100,A Nehra,S Prasanna,R Ashwin,,0,0,0,82,3,10,4,-,0,,,16,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
101,A Nehra,S Prasanna,R Ashwin,,1,0,1,83,4,11,5,-,0,,,16,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
102,R Ashwin,S Prasanna,A Nehra,,1,0,1,84,19,15,6,-,0,,,16,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
103,R Ashwin,CAK Rajitha,A Nehra,,1,0,1,85,20,16,1,-,0,,,17,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
104,A Nehra,CAK Rajitha,R Ashwin,,0,0,0,85,4,12,2,-,0,,,17,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
105,A Nehra,CAK Rajitha,R Ashwin,,0,0,0,85,4,13,3,-,0,,,17,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
106,A Nehra,CAK Rajitha,R Ashwin,,1,0,1,86,5,14,4,-,0,,,17,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
107,R Ashwin,CAK Rajitha,A Nehra,,0,0,0,86,20,17,5,-,0,,,17,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
108,R Ashwin,CAK Rajitha,A Nehra,,4,0,4,90,24,18,6,-,0,,,17,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
109,A Nehra,S Prasanna,R Ashwin,,0,0,0,90,5,15,1,-,0,,,18,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
110,A Nehra,S Prasanna,R Ashwin,,1,0,1,91,6,16,2,-,0,,,18,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
111,R Ashwin,S Prasanna,A Nehra,,0,0,0,91,24,19,3,-,0,,,18,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
112,R Ashwin,S Prasanna,A Nehra,{'wides': 1},0,1,1,92,24,20,4,wides,0,,,18,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
113,R Ashwin,S Prasanna,A Nehra,,0,0,0,92,24,21,5,-,0,,,18,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
114,R Ashwin,S Prasanna,A Nehra,,4,0,4,96,28,22,6,-,0,,,18,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
115,R Ashwin,S Prasanna,A Nehra,,1,0,1,97,29,23,7,-,0,,,18,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
116,R Ashwin,PVD Chameera,A Nehra,,1,0,1,98,30,24,1,-,0,,,19,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
117,A Nehra,PVD Chameera,R Ashwin,,0,0,0,98,6,17,2,-,0,,,19,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
118,A Nehra,PVD Chameera,R Ashwin,{'byes': 2},0,2,2,100,6,18,3,byes,0,,,19,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
119,A Nehra,PVD Chameera,R Ashwin,,0,0,0,100,6,19,4,-,caught,A Nehra,TAM Siriwardana,19,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
120,R Ashwin,PVD Chameera,JJ Bumrah,,1,0,1,101,31,25,5,-,run out,JJ Bumrah,CAK Rajitha;LD Chandimal,19,field,Sri Lanka,1,Maharashtra Cricket Association Stadium,2016-02-09,India,Sri Lanka
