,batter,bowler,non_striker,extras,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,MDKJ Perera,MA Starc,TM Dilshan,,0,0,0,0,0,1,1,-,0,,,1,field,Sri Lanka,2,Pallekele International Cricket Stadium,2016-09-06,Sri Lanka,Australia
1,MDKJ Perera,MA Starc,TM Dilshan,{'legbyes': 1},0,1,1,1,0,2,2,legbyes,0,,,1,field,Sri Lanka,2,Pallekele International Cricket Stadium,2016-09-06,Sri Lanka,Australia
2,TM Dilshan,MA Starc,MDKJ Perera,{'byes': 4},0,4,4,5,0,1,3,byes,0,,,1,field,Sri Lanka,2,Pallekele International Cricket Stadium,2016-09-06,Sri Lanka,Australia
3,TM Dilshan,MA Starc,MDKJ Perera,,4,0,4,9,4,2,4,-,0,,,1,field,Sri Lanka,2,Pallekele International Cricket Stadium,2016-09-06,Sri Lanka,Australia
4,TM Dilshan,MA Starc,MDKJ Perera,,0,0,0,9,4,3,5,-,bowled,TM Dilshan,,1,field,Sri Lanka,2,Pallekele International Cricket Stadium,2016-09-06,Sri Lanka,Australia
5,DM de Silva,MA Starc,MDKJ Perera,,2,0,2,11,2,1,6,-,0,,,1,field,Sri Lanka,2,Pallekele International Cricket Stadium,2016-09-06,Sri Lanka,Australia
6,MDKJ Perera,SM Boland,DM de Silva,,0,0,0,11,0,3,1,-,0,,,2,field,Sri Lanka,2,Pallekele International Cricket Stadium,2016-09-06,Sri Lanka,Australia
7,MDKJ Perera,SM Boland,DM de Silva,,0,0,0,11,0,4,2,-,0,,,2,field,Sri Lanka,2,Pallekele International Cricket Stadium,2016-09-06,Sri Lanka,Australia
8,MDKJ Perera,SM Boland,DM de Silva,,4,0,4,15,4,5,3,-,0,,,2,field,Sri Lanka,2,Pallekele International Cricket Stadium,2016-09-06,Sri Lanka,Australia
9,MDKJ Perera,SM Boland,DM de Silva,,0,0,0,15,4,6,4,-,caught,MDKJ Perera,MA Starc,2,field,Sri Lanka,2,Pallekele International Cricket Stadium,2016-09-06,Sri Lanka,Australia
10,DM de Silva,SM Boland,LD Chandimal,,0,0,0,15,2,2,5,-,0,,,2,field,Sri Lanka,2,Pallekele International Cricket Stadium,2016-09-06,Sri Lanka,Australia
11,DM de Silva,SM Boland,LD Chandimal,,2,0,2,17,4,3,6,-,0,,,2,field,Sri Lanka,2,Pallekele International Cricket Stadium,2016-09-06,Sri Lanka,Australia
12,LD Chandimal,MA Starc,DM de Silva,,4,0,4,21,4,1,1,-,0,,,3,field,Sri Lanka,2,Pallekele International Cricket Stadium,2016-09-06,Sri Lanka,Australia
13,LD Chandimal,MA Starc,DM de Silva,,0,0,0,21,4,2,2,-,0,,,3,field,Sri Lanka,2,Pallekele International Cricket Stadium,2016-09-06,Sri Lanka,Australia
14,LD Chandimal,MA Starc,DM de Silva,,1,0,1,22,5,3,3,-,0,,,3,field,Sri Lanka,2,Pallekele International Cricket Stadium,2016-09-06,Sri Lanka,Australia
15,DM de Silva,MA Starc,LD Chandimal,,2,0,2,24,6,4,4,-,0,,,3,field,Sri Lanka,2,Pallekele International Cricket Stadium,2016-09-06,Sri Lanka,Australia
16,DM de Silva,MA Starc,LD Chandimal,,1,0,1,25,7,5,5,-,0,,,3,field,Sri Lanka,2,Pallekele International Cricket Stadium,2016-09-06,Sri Lanka,Australia
17,LD Chandimal,MA Starc,DM de Silva,,4,0,4,29,9,4,6,-,0,,,3,field,Sri Lanka,2,Pallekele International Cricket Stadium,2016-09-06,Sri Lanka,Australia
18,DM de Silva,SM Boland,LD Chandimal,,4,0,4,33,11,6,1,-,0,,,4,field,Sri Lanka,2,Pallekele International Cricket Stadium,2016-09-06,Sri Lanka,Australia
