,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,JJ Roy,PVD Chameera,JM Bairstow,0,0,0,0,111,0,1,0,1,1,0,,,,-,bat,Sri Lanka,2,"Sophia Gardens, Cardiff",2021,06,Sri Lanka_England_2021-06-24,England,England,Sri Lanka,108
1,JJ Roy,PVD Chameera,JM Bairstow,0,0,0,0,111,0,2,0,2,1,0,,,,-,bat,Sri Lanka,2,"Sophia Gardens, Cardiff",2021,06,Sri Lanka_England_2021-06-24,England,England,Sri Lanka,108
2,JJ Roy,PVD Chameera,JM Bairstow,0,0,0,0,111,0,3,0,3,1,0,,,,-,bat,Sri Lanka,2,"Sophia Gardens, Cardiff",2021,06,Sri Lanka_England_2021-06-24,England,England,Sri Lanka,108
3,JJ Roy,PVD Chameera,JM Bairstow,1,0,1,1,110,1,4,0,4,1,0,,,,-,bat,Sri Lanka,2,"Sophia Gardens, Cardiff",2021,06,Sri Lanka_England_2021-06-24,England,England,Sri Lanka,108
4,JM Bairstow,PVD Chameera,JJ Roy,0,0,0,1,110,0,1,0,5,1,0,,,,-,bat,Sri Lanka,2,"Sophia Gardens, Cardiff",2021,06,Sri Lanka_England_2021-06-24,England,England,Sri Lanka,108
5,JM Bairstow,PVD Chameera,JJ Roy,0,0,0,1,110,0,2,0,6,1,0,,,,-,bat,Sri Lanka,2,"Sophia Gardens, Cardiff",2021,06,Sri Lanka_England_2021-06-24,England,England,Sri Lanka,108
6,JJ Roy,B Fernando,JM Bairstow,1,0,1,2,109,2,5,0,1,2,0,,,,-,bat,Sri Lanka,2,"Sophia Gardens, Cardiff",2021,06,Sri Lanka_England_2021-06-24,England,England,Sri Lanka,108
7,JM Bairstow,B Fernando,JJ Roy,0,0,0,2,109,0,3,1,2,2,bowled,JM Bairstow,,,-,bat,Sri Lanka,2,"Sophia Gardens, Cardiff",2021,06,Sri Lanka_England_2021-06-24,England,England,Sri Lanka,108
8,DJ Malan,B Fernando,JJ Roy,0,0,0,2,109,0,1,1,3,2,0,,,,-,bat,Sri Lanka,2,"Sophia Gardens, Cardiff",2021,06,Sri Lanka_England_2021-06-24,England,England,Sri Lanka,108
9,DJ Malan,B Fernando,JJ Roy,0,0,0,2,109,0,2,1,4,2,0,,,,-,bat,Sri Lanka,2,"Sophia Gardens, Cardiff",2021,06,Sri Lanka_England_2021-06-24,England,England,Sri Lanka,108
10,DJ Malan,B Fernando,JJ Roy,4,0,4,6,105,4,3,1,5,2,0,,,,-,bat,Sri Lanka,2,"Sophia Gardens, Cardiff",2021,06,Sri Lanka_England_2021-06-24,England,England,Sri Lanka,108
