,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
15,N Pooran,Washington Sundar,KA Pollard,6,0,6,18,12,9,2,-,0,,,3,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
16,N Pooran,Washington Sundar,KA Pollard,0,0,0,18,12,10,3,-,0,,,3,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
17,N Pooran,Washington Sundar,KA Pollard,0,0,0,18,12,11,4,-,0,,,3,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
18,N Pooran,Washington Sundar,KA Pollard,0,0,0,18,12,12,5,-,0,,,3,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
19,N Pooran,Washington Sundar,KA Pollard,2,0,2,20,14,13,6,-,0,,,3,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
20,KA Pollard,B Kumar,N Pooran,0,0,0,20,0,1,1,-,0,,,4,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
21,KA Pollard,B Kumar,N Pooran,2,0,2,22,2,2,2,-,0,,,4,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
22,KA Pollard,B Kumar,N Pooran,0,0,0,22,2,3,3,-,0,,,4,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
23,KA Pollard,B Kumar,N Pooran,0,0,0,22,2,4,4,-,0,,,4,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
24,KA Pollard,B Kumar,N Pooran,0,0,0,22,2,5,5,-,0,,,4,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
25,KA Pollard,B Kumar,N Pooran,0,0,0,22,2,6,6,-,0,,,4,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
26,N Pooran,Navdeep Saini,KA Pollard,0,0,0,22,14,14,1,-,0,,,5,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
27,N Pooran,Navdeep Saini,KA Pollard,6,0,6,28,20,15,2,-,0,,,5,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
28,N Pooran,Navdeep Saini,KA Pollard,0,0,0,28,20,16,3,-,0,,,5,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
29,N Pooran,Navdeep Saini,KA Pollard,0,0,0,28,20,17,4,-,caught,N Pooran,RR Pant,5,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
30,SO Hetmyer,Navdeep Saini,KA Pollard,0,0,0,28,0,1,5,-,bowled,SO Hetmyer,,5,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
31,R Powell,Navdeep Saini,KA Pollard,0,0,0,28,0,1,6,-,0,,,5,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
32,KA Pollard,KK Ahmed,R Powell,0,0,0,28,2,7,1,-,0,,,6,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
33,KA Pollard,KK Ahmed,R Powell,1,0,1,29,3,8,2,-,0,,,6,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
34,R Powell,KK Ahmed,KA Pollard,0,0,0,29,0,2,3,-,0,,,6,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
35,R Powell,KK Ahmed,KA Pollard,4,0,4,33,4,3,4,-,0,,,6,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
36,R Powell,KK Ahmed,KA Pollard,0,0,0,33,4,4,5,-,0,,,6,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
37,R Powell,KK Ahmed,KA Pollard,0,0,0,33,4,5,6,-,caught,R Powell,RR Pant,6,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
38,KA Pollard,Navdeep Saini,CR Brathwaite,0,0,0,33,3,9,1,-,0,,,7,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
39,KA Pollard,Navdeep Saini,CR Brathwaite,0,0,0,33,3,10,2,-,0,,,7,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
40,KA Pollard,Navdeep Saini,CR Brathwaite,0,0,0,33,3,11,3,-,0,,,7,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
