,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,SPD Smith,Arshdeep Singh,MW Short,0,0,0,0,0,1,1,-,1,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
1,SPD Smith,Arshdeep Singh,MW Short,0,0,0,0,0,2,2,-,1,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
2,SPD Smith,Arshdeep Singh,MW Short,4,0,4,4,4,3,3,-,1,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
3,SPD Smith,Arshdeep Singh,MW Short,0,1,1,5,4,4,4,legbyes,1,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
4,MW Short,Arshdeep Singh,SPD Smith,0,1,1,6,0,1,5,legbyes,1,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
5,SPD Smith,Arshdeep Singh,MW Short,1,0,1,7,5,5,6,-,1,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
6,SPD Smith,M Prasidh Krishna,MW Short,4,0,4,11,9,6,1,-,2,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
7,SPD Smith,M Prasidh Krishna,MW Short,0,0,0,11,9,7,2,-,2,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
8,SPD Smith,M Prasidh Krishna,MW Short,4,0,4,15,13,8,3,-,2,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
9,SPD Smith,M Prasidh Krishna,MW Short,0,0,0,15,13,9,4,-,2,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
10,SPD Smith,M Prasidh Krishna,MW Short,1,0,1,16,14,10,5,-,2,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
11,MW Short,M Prasidh Krishna,SPD Smith,4,0,4,20,4,2,6,-,2,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
12,SPD Smith,Arshdeep Singh,MW Short,0,0,0,20,14,11,1,-,3,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
13,SPD Smith,Arshdeep Singh,MW Short,0,0,0,20,14,12,2,-,3,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
14,SPD Smith,Arshdeep Singh,MW Short,1,0,1,21,15,13,3,-,3,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
15,MW Short,Arshdeep Singh,SPD Smith,0,0,0,21,4,3,4,-,3,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
16,MW Short,Arshdeep Singh,SPD Smith,1,0,1,22,5,4,5,-,3,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
17,SPD Smith,Arshdeep Singh,MW Short,0,0,0,22,15,14,6,-,3,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
18,MW Short,AR Patel,SPD Smith,0,0,0,22,5,5,1,-,4,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
19,MW Short,AR Patel,SPD Smith,4,0,4,26,9,6,2,-,4,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
20,MW Short,AR Patel,SPD Smith,0,0,0,26,9,7,3,-,4,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
21,MW Short,AR Patel,SPD Smith,0,0,0,26,9,8,4,-,4,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
22,MW Short,AR Patel,SPD Smith,4,0,4,30,13,9,5,-,4,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
23,MW Short,AR Patel,SPD Smith,0,0,0,30,13,10,6,-,4,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
24,SPD Smith,Ravi Bishnoi,MW Short,0,0,0,30,15,15,1,-,5,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
25,SPD Smith,Ravi Bishnoi,MW Short,0,0,0,30,15,16,2,-,5,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
26,SPD Smith,Ravi Bishnoi,MW Short,1,0,1,31,16,17,3,-,5,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
27,MW Short,Ravi Bishnoi,SPD Smith,0,0,0,31,13,11,4,-,5,bowled,MW Short,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
28,JP Inglis,Ravi Bishnoi,SPD Smith,4,0,4,35,4,1,5,-,5,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
29,JP Inglis,Ravi Bishnoi,SPD Smith,0,0,0,35,4,2,6,-,5,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
30,SPD Smith,AR Patel,JP Inglis,1,0,1,36,17,18,1,-,6,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
31,JP Inglis,AR Patel,SPD Smith,0,0,0,36,4,3,2,-,6,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
32,JP Inglis,AR Patel,SPD Smith,0,0,0,36,4,4,3,-,6,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
33,JP Inglis,AR Patel,SPD Smith,0,0,0,36,4,5,4,-,6,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
34,JP Inglis,AR Patel,SPD Smith,4,0,4,40,8,6,5,-,6,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
35,JP Inglis,AR Patel,SPD Smith,0,0,0,40,8,7,6,-,6,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
36,SPD Smith,Mukesh Kumar,JP Inglis,4,0,4,44,21,19,1,-,7,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
37,SPD Smith,Mukesh Kumar,JP Inglis,1,0,1,45,22,20,2,-,7,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
38,JP Inglis,Mukesh Kumar,SPD Smith,0,0,0,45,8,8,3,-,7,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
39,JP Inglis,Mukesh Kumar,SPD Smith,0,0,0,45,8,9,4,-,7,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
40,JP Inglis,Mukesh Kumar,SPD Smith,1,0,1,46,9,10,5,-,7,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
41,SPD Smith,Mukesh Kumar,JP Inglis,0,0,0,46,22,21,6,-,7,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
42,JP Inglis,M Prasidh Krishna,SPD Smith,4,0,4,50,13,11,1,-,8,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
43,JP Inglis,M Prasidh Krishna,SPD Smith,0,0,0,50,13,12,2,-,8,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
44,JP Inglis,M Prasidh Krishna,SPD Smith,6,0,6,56,19,13,3,-,8,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
45,JP Inglis,M Prasidh Krishna,SPD Smith,4,0,4,60,23,14,4,-,8,0,,,,field,India,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,Australia,India
