,batter,bowler,non_striker,extras,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,RG Sharma,Abu Hider,S Dhawan,,0,0,0,0,0,1,1,-,1,0,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-14,India,Bangladesh
1,RG Sharma,Abu Hider,S Dhawan,,0,0,0,0,0,2,2,-,1,0,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-14,India,Bangladesh
2,RG Sharma,Abu Hider,S Dhawan,{'wides': 1},0,1,1,1,0,3,3,wides,1,0,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-14,India,Bangladesh
3,RG Sharma,Abu Hider,S Dhawan,,0,0,0,1,0,4,4,-,1,0,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-14,India,Bangladesh
4,RG Sharma,Abu Hider,S Dhawan,,0,0,0,1,0,5,5,-,1,0,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-14,India,Bangladesh
5,RG Sharma,Abu Hider,S Dhawan,,1,0,1,2,1,6,6,-,1,0,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-14,India,Bangladesh
6,S Dhawan,Abu Hider,RG Sharma,,0,0,0,2,0,1,7,-,1,0,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-14,India,Bangladesh
7,RG Sharma,Nazmul Islam,S Dhawan,,0,0,0,2,1,7,1,-,2,0,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-14,India,Bangladesh
8,RG Sharma,Nazmul Islam,S Dhawan,,4,0,4,6,5,8,2,-,2,0,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-14,India,Bangladesh
9,RG Sharma,Nazmul Islam,S Dhawan,,0,0,0,6,5,9,3,-,2,0,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-14,India,Bangladesh
10,RG Sharma,Nazmul Islam,S Dhawan,,0,0,0,6,5,10,4,-,2,0,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-14,India,Bangladesh
11,RG Sharma,Nazmul Islam,S Dhawan,,1,0,1,7,6,11,5,-,2,0,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-14,India,Bangladesh
12,S Dhawan,Nazmul Islam,RG Sharma,,4,0,4,11,4,2,6,-,2,0,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-14,India,Bangladesh
13,RG Sharma,Rubel Hossain,S Dhawan,,0,0,0,11,6,12,1,-,3,0,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-14,India,Bangladesh
14,RG Sharma,Rubel Hossain,S Dhawan,,1,0,1,12,7,13,2,-,3,0,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-14,India,Bangladesh
15,S Dhawan,Rubel Hossain,RG Sharma,,0,0,0,12,4,3,3,-,3,0,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-14,India,Bangladesh
16,S Dhawan,Rubel Hossain,RG Sharma,,1,0,1,13,5,4,4,-,3,0,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-14,India,Bangladesh
17,RG Sharma,Rubel Hossain,S Dhawan,,1,0,1,14,8,14,5,-,3,0,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-14,India,Bangladesh
18,S Dhawan,Rubel Hossain,RG Sharma,,4,0,4,18,9,5,6,-,3,0,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-14,India,Bangladesh
19,RG Sharma,Mustafizur Rahman,S Dhawan,,1,0,1,19,9,15,1,-,4,0,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-14,India,Bangladesh
20,S Dhawan,Mustafizur Rahman,RG Sharma,,0,0,0,19,9,6,2,-,4,0,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-14,India,Bangladesh
21,S Dhawan,Mustafizur Rahman,RG Sharma,,0,0,0,19,9,7,3,-,4,0,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-14,India,Bangladesh
22,S Dhawan,Mustafizur Rahman,RG Sharma,,1,0,1,20,10,8,4,-,4,0,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-14,India,Bangladesh
23,RG Sharma,Mustafizur Rahman,S Dhawan,,1,0,1,21,10,16,5,-,4,0,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-14,India,Bangladesh
24,S Dhawan,Mustafizur Rahman,RG Sharma,,6,0,6,27,16,9,6,-,4,0,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-14,India,Bangladesh
25,RG Sharma,Mehedi Hasan Miraz,S Dhawan,,1,0,1,28,11,17,1,-,5,0,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-14,India,Bangladesh
26,S Dhawan,Mehedi Hasan Miraz,RG Sharma,,1,0,1,29,17,10,2,-,5,0,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-14,India,Bangladesh
27,RG Sharma,Mehedi Hasan Miraz,S Dhawan,,0,0,0,29,11,18,3,-,5,0,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-14,India,Bangladesh
