,batter,bowler,extras,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,DJM Short,B Kumar,{'legbyes': 1},AJ Finch,0,1,1,1,0,1,1,legbyes,0,,,1,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
1,AJ Finch,B Kumar,,DJM Short,0,0,0,1,0,1,2,-,caught,AJ Finch,RR Pant,1,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
2,CA Lynn,B Kumar,,DJM Short,0,0,0,1,0,1,3,-,0,,,1,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
3,CA Lynn,B Kumar,,DJM Short,0,0,0,1,0,2,4,-,0,,,1,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
4,CA Lynn,B Kumar,{'wides': 1},DJM Short,0,1,1,2,0,3,5,wides,0,,,1,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
5,CA Lynn,B Kumar,,DJM Short,0,0,0,2,0,4,6,-,0,,,1,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
6,CA Lynn,B Kumar,,DJM Short,0,0,0,2,0,5,7,-,0,,,1,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
7,DJM Short,KK Ahmed,,CA Lynn,0,0,0,2,0,2,1,-,0,,,2,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
8,DJM Short,KK Ahmed,,CA Lynn,0,0,0,2,0,3,2,-,0,,,2,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
9,DJM Short,KK Ahmed,,CA Lynn,4,0,4,6,4,4,3,-,0,,,2,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
10,DJM Short,KK Ahmed,,CA Lynn,0,0,0,6,4,5,4,-,0,,,2,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
11,DJM Short,KK Ahmed,,CA Lynn,2,0,2,8,6,6,5,-,0,,,2,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
12,DJM Short,KK Ahmed,,CA Lynn,1,0,1,9,7,7,6,-,0,,,2,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
13,DJM Short,B Kumar,,CA Lynn,1,0,1,10,8,8,1,-,0,,,3,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
14,CA Lynn,B Kumar,,DJM Short,0,0,0,10,0,6,2,-,0,,,3,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
15,CA Lynn,B Kumar,,DJM Short,0,0,0,10,0,7,3,-,0,,,3,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
16,CA Lynn,B Kumar,,DJM Short,6,0,6,16,6,8,4,-,0,,,3,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
17,CA Lynn,B Kumar,,DJM Short,1,0,1,17,7,9,5,-,0,,,3,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
18,DJM Short,B Kumar,,CA Lynn,2,0,2,19,10,9,6,-,0,,,3,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
19,CA Lynn,KK Ahmed,,DJM Short,0,0,0,19,7,10,1,-,0,,,4,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
20,CA Lynn,KK Ahmed,,DJM Short,2,0,2,21,9,11,2,-,0,,,4,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
21,CA Lynn,KK Ahmed,{'wides': 1},DJM Short,0,1,1,22,9,12,3,wides,0,,,4,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
22,CA Lynn,KK Ahmed,,DJM Short,0,0,0,22,9,13,4,-,0,,,4,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
23,CA Lynn,KK Ahmed,,DJM Short,4,0,4,26,13,14,5,-,0,,,4,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
24,CA Lynn,KK Ahmed,{'wides': 1},DJM Short,0,1,1,27,13,15,6,wides,0,,,4,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
25,CA Lynn,KK Ahmed,,DJM Short,0,0,0,27,13,16,7,-,caught,CA Lynn,KH Pandya,4,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
26,DJM Short,KK Ahmed,,GJ Maxwell,0,0,0,27,10,10,8,-,0,,,4,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
27,GJ Maxwell,JJ Bumrah,,DJM Short,2,0,2,29,2,1,1,-,0,,,5,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
