,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,RR Hendricks,DE Bollinger,Q de Kock,0,0,0,0,144,0,1,0,1,0,,,0,-,bat,Australia,2,Adelaide Oval,2014,11,Australia_South Africa_2014-11-05,South Africa,South Africa,Australia,True,145
1,RR Hendricks,DE Bollinger,Q de Kock,0,0,0,0,144,0,2,0,2,0,,,0,-,bat,Australia,2,Adelaide Oval,2014,11,Australia_South Africa_2014-11-05,South Africa,South Africa,Australia,True,145
2,RR Hendricks,DE Bollinger,Q de Kock,0,0,0,0,144,0,3,1,3,caught,RR Hendricks,BR Dunk,0,-,bat,Australia,2,Adelaide Oval,2014,11,Australia_South Africa_2014-11-05,South Africa,South Africa,Australia,True,145
3,RR Rossouw,DE Bollinger,Q de Kock,1,0,1,1,143,1,1,1,4,0,,,0,-,bat,Australia,2,Adelaide Oval,2014,11,Australia_South Africa_2014-11-05,South Africa,South Africa,Australia,True,145
4,Q de Kock,DE Bollinger,RR Rossouw,0,0,0,1,143,0,1,1,5,0,,,0,-,bat,Australia,2,Adelaide Oval,2014,11,Australia_South Africa_2014-11-05,South Africa,South Africa,Australia,True,145
5,Q de Kock,DE Bollinger,RR Rossouw,0,0,0,1,143,0,2,1,6,0,,,0,-,bat,Australia,2,Adelaide Oval,2014,11,Australia_South Africa_2014-11-05,South Africa,South Africa,Australia,True,145
6,RR Rossouw,PJ Cummins,Q de Kock,3,0,3,4,140,4,2,1,1,0,,,1,-,bat,Australia,2,Adelaide Oval,2014,11,Australia_South Africa_2014-11-05,South Africa,South Africa,Australia,True,145
7,Q de Kock,PJ Cummins,RR Rossouw,1,0,1,5,139,1,3,1,2,0,,,1,-,bat,Australia,2,Adelaide Oval,2014,11,Australia_South Africa_2014-11-05,South Africa,South Africa,Australia,True,145
8,RR Rossouw,PJ Cummins,Q de Kock,2,0,2,7,137,6,3,1,3,0,,,1,-,bat,Australia,2,Adelaide Oval,2014,11,Australia_South Africa_2014-11-05,South Africa,South Africa,Australia,True,145
9,RR Rossouw,PJ Cummins,Q de Kock,1,0,1,8,136,7,4,1,4,0,,,1,-,bat,Australia,2,Adelaide Oval,2014,11,Australia_South Africa_2014-11-05,South Africa,South Africa,Australia,True,145
