,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,E Lewis,Abu Hider,SD Hope,,0,0,0,0,211,0,1,0,1,1,-,0,,,field,West Indies,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,West Indies,Bangladesh,175
1,E Lewis,Abu Hider,SD Hope,,0,0,0,0,211,0,2,0,2,1,-,0,,,field,West Indies,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,West Indies,Bangladesh,175
2,E Lewis,Abu Hider,SD Hope,,1,0,1,1,210,1,3,0,3,1,-,0,,,field,West Indies,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,West Indies,Bangladesh,175
3,SD Hope,Abu Hider,E Lewis,,1,0,1,2,209,1,1,0,4,1,-,0,,,field,West Indies,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,West Indies,Bangladesh,175
4,E Lewis,Abu Hider,SD Hope,,0,0,0,2,209,1,4,0,5,1,-,0,,,field,West Indies,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,West Indies,Bangladesh,175
5,E Lewis,Abu Hider,SD Hope,"{'by': 'West Indies', 'umpire': 'Tanvir Ahmed', 'batter': 'E Lewis', 'decision': 'upheld'}",0,0,0,2,209,1,5,0,6,1,-,0,,,field,West Indies,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,West Indies,Bangladesh,175
6,SD Hope,Mohammad Saifuddin,E Lewis,,0,0,0,2,209,1,2,0,1,2,-,0,,,field,West Indies,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,West Indies,Bangladesh,175
7,SD Hope,Mohammad Saifuddin,E Lewis,,2,0,2,4,207,3,3,0,2,2,-,0,,,field,West Indies,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,West Indies,Bangladesh,175
8,SD Hope,Mohammad Saifuddin,E Lewis,,4,0,4,8,203,7,4,0,3,2,-,0,,,field,West Indies,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,West Indies,Bangladesh,175
9,SD Hope,Mohammad Saifuddin,E Lewis,,0,4,4,12,199,7,5,0,4,2,legbyes,0,,,field,West Indies,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,West Indies,Bangladesh,175
10,SD Hope,Mohammad Saifuddin,E Lewis,,4,0,4,16,195,11,6,0,5,2,-,0,,,field,West Indies,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,West Indies,Bangladesh,175
11,SD Hope,Mohammad Saifuddin,E Lewis,,2,0,2,18,193,13,7,0,6,2,-,0,,,field,West Indies,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,West Indies,Bangladesh,175
12,E Lewis,Abu Hider,SD Hope,,0,0,0,18,193,1,6,1,1,3,-,caught,E Lewis,Liton Das,field,West Indies,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,West Indies,Bangladesh,175
13,SD Hope,Abu Hider,N Pooran,,1,0,1,19,192,14,8,1,2,3,-,0,,,field,West Indies,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-20,Bangladesh,West Indies,Bangladesh,175
