,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,H Masakadza,Imad Wasim,CJ Chibhabha,0,0,0,0,136,0,1,0,1,0,,,1,-,bat,Pakistan,2,Harare Sports Club,2015,09,Zimbabwe_Pakistan_2015-09-27,Pakistan,Zimbabwe,Pakistan
1,H Masakadza,Imad Wasim,CJ Chibhabha,0,0,0,0,136,0,2,0,2,0,,,1,-,bat,Pakistan,2,Harare Sports Club,2015,09,Zimbabwe_Pakistan_2015-09-27,Pakistan,Zimbabwe,Pakistan
2,H Masakadza,Imad Wasim,CJ Chibhabha,0,0,0,0,136,0,3,0,3,0,,,1,-,bat,Pakistan,2,Harare Sports Club,2015,09,Zimbabwe_Pakistan_2015-09-27,Pakistan,Zimbabwe,Pakistan
3,H Masakadza,Imad Wasim,CJ Chibhabha,1,0,1,1,135,1,4,0,4,0,,,1,-,bat,Pakistan,2,Harare Sports Club,2015,09,Zimbabwe_Pakistan_2015-09-27,Pakistan,Zimbabwe,Pakistan
4,CJ Chibhabha,Imad Wasim,H Masakadza,0,0,0,1,135,0,1,0,5,0,,,1,-,bat,Pakistan,2,Harare Sports Club,2015,09,Zimbabwe_Pakistan_2015-09-27,Pakistan,Zimbabwe,Pakistan
5,CJ Chibhabha,Imad Wasim,H Masakadza,0,0,0,1,135,0,2,1,6,bowled,CJ Chibhabha,,1,-,bat,Pakistan,2,Harare Sports Club,2015,09,Zimbabwe_Pakistan_2015-09-27,Pakistan,Zimbabwe,Pakistan
6,H Masakadza,Sohail Tanvir,CR Ervine,0,0,0,1,135,1,5,1,1,0,,,2,-,bat,Pakistan,2,Harare Sports Club,2015,09,Zimbabwe_Pakistan_2015-09-27,Pakistan,Zimbabwe,Pakistan
7,H Masakadza,Sohail Tanvir,CR Ervine,0,0,0,1,135,1,6,1,2,0,,,2,-,bat,Pakistan,2,Harare Sports Club,2015,09,Zimbabwe_Pakistan_2015-09-27,Pakistan,Zimbabwe,Pakistan
8,H Masakadza,Sohail Tanvir,CR Ervine,1,0,1,2,134,2,7,1,3,0,,,2,-,bat,Pakistan,2,Harare Sports Club,2015,09,Zimbabwe_Pakistan_2015-09-27,Pakistan,Zimbabwe,Pakistan
9,CR Ervine,Sohail Tanvir,H Masakadza,0,0,0,2,134,0,1,1,4,0,,,2,-,bat,Pakistan,2,Harare Sports Club,2015,09,Zimbabwe_Pakistan_2015-09-27,Pakistan,Zimbabwe,Pakistan
