,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,Tamim Iqbal,JD Unadkat,Liton Das,1,0,1,1,,1,1,0,-,1.0,0,0,,,,field,India,1,"R.Premadasa Stadium, Khettarama",2018,03,Bangladesh_India_2018-03-18,India,Bangladesh,India,False,166
1,Liton Das,JD Unadkat,Tamim Iqbal,0,0,0,1,,0,1,0,-,2.0,0,0,,,,field,India,1,"R.Premadasa Stadium, Khettarama",2018,03,Bangladesh_India_2018-03-18,India,Bangladesh,India,False,166
2,Liton Das,JD Unadkat,Tamim Iqbal,0,1,1,2,,0,2,0,wides,2.0,0,0,,,,field,India,1,"R.Premadasa Stadium, Khettarama",2018,03,Bangladesh_India_2018-03-18,India,Bangladesh,India,False,166
3,Liton Das,JD Unadkat,Tamim Iqbal,1,0,1,3,,1,3,0,-,3.0,0,0,,,,field,India,1,"R.Premadasa Stadium, Khettarama",2018,03,Bangladesh_India_2018-03-18,India,Bangladesh,India,False,166
4,Tamim Iqbal,JD Unadkat,Liton Das,1,0,1,4,,2,2,0,-,4.0,0,0,,,,field,India,1,"R.Premadasa Stadium, Khettarama",2018,03,Bangladesh_India_2018-03-18,India,Bangladesh,India,False,166
5,Liton Das,JD Unadkat,Tamim Iqbal,1,0,1,5,,2,4,0,-,5.0,0,0,,,,field,India,1,"R.Premadasa Stadium, Khettarama",2018,03,Bangladesh_India_2018-03-18,India,Bangladesh,India,False,166
6,Tamim Iqbal,JD Unadkat,Liton Das,4,0,4,9,,6,3,0,-,6.0,0,0,,,,field,India,1,"R.Premadasa Stadium, Khettarama",2018,03,Bangladesh_India_2018-03-18,India,Bangladesh,India,False,166
7,Liton Das,Washington Sundar,Tamim Iqbal,1,0,1,10,,3,5,0,-,1.0,1,0,,,,field,India,1,"R.Premadasa Stadium, Khettarama",2018,03,Bangladesh_India_2018-03-18,India,Bangladesh,India,False,166
8,Tamim Iqbal,Washington Sundar,Liton Das,0,0,0,10,,6,4,0,-,2.0,1,0,,,,field,India,1,"R.Premadasa Stadium, Khettarama",2018,03,Bangladesh_India_2018-03-18,India,Bangladesh,India,False,166
9,Tamim Iqbal,Washington Sundar,Liton Das,0,0,0,10,,6,5,0,-,3.0,1,0,,,,field,India,1,"R.Premadasa Stadium, Khettarama",2018,03,Bangladesh_India_2018-03-18,India,Bangladesh,India,False,166
