,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,Munim Shahriar,AJ Hosein,Anamul Haque,0,0,0,0,,0,1,0,-,1.0,0,,,0,,field,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,Bangladesh_West Indies_2022-07-02,no result,Bangladesh,,,105
1,Munim Shahriar,AJ Hosein,Anamul Haque,2,0,2,2,,2,2,0,-,2.0,0,,,0,,field,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,Bangladesh_West Indies_2022-07-02,no result,Bangladesh,,,105
2,Munim Shahriar,AJ Hosein,Anamul Haque,0,0,0,2,,2,3,1,-,3.0,caught,Munim Shahriar,DC Thomas,0,,field,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,Bangladesh_West Indies_2022-07-02,no result,Bangladesh,,,105
3,Shakib Al Hasan,AJ Hosein,Anamul Haque,0,0,0,2,,0,1,1,-,4.0,0,,,0,,field,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,Bangladesh_West Indies_2022-07-02,no result,Bangladesh,,,105
4,Shakib Al Hasan,AJ Hosein,Anamul Haque,1,0,1,3,,1,2,1,-,5.0,0,,,0,,field,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,Bangladesh_West Indies_2022-07-02,no result,Bangladesh,,,105
5,Anamul Haque,AJ Hosein,Shakib Al Hasan,4,0,4,7,,4,1,1,-,6.0,0,,,0,,field,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,Bangladesh_West Indies_2022-07-02,no result,Bangladesh,,,105
6,Shakib Al Hasan,R Shepherd,Anamul Haque,1,0,1,8,,2,3,1,-,1.0,0,,,1,,field,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,Bangladesh_West Indies_2022-07-02,no result,Bangladesh,,,105
7,Anamul Haque,R Shepherd,Shakib Al Hasan,4,0,4,12,,8,2,1,-,2.0,0,,,1,,field,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,Bangladesh_West Indies_2022-07-02,no result,Bangladesh,,,105
8,Anamul Haque,R Shepherd,Shakib Al Hasan,1,0,1,13,,9,3,1,-,3.0,0,,,1,,field,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,Bangladesh_West Indies_2022-07-02,no result,Bangladesh,,,105
9,Shakib Al Hasan,R Shepherd,Anamul Haque,4,0,4,17,,6,4,1,-,4.0,0,,,1,,field,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,Bangladesh_West Indies_2022-07-02,no result,Bangladesh,,,105
10,Shakib Al Hasan,R Shepherd,Anamul Haque,1,0,1,18,,7,5,1,-,5.0,0,,,1,,field,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,Bangladesh_West Indies_2022-07-02,no result,Bangladesh,,,105
11,Anamul Haque,R Shepherd,Shakib Al Hasan,1,0,1,19,,10,4,1,-,6.0,0,,,1,,field,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,Bangladesh_West Indies_2022-07-02,no result,Bangladesh,,,105
12,Anamul Haque,AJ Hosein,Shakib Al Hasan,0,0,0,19,,10,5,1,-,1.0,0,,,2,,field,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,Bangladesh_West Indies_2022-07-02,no result,Bangladesh,,,105
13,Anamul Haque,AJ Hosein,Shakib Al Hasan,1,0,1,20,,11,6,1,-,2.0,0,,,2,,field,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,Bangladesh_West Indies_2022-07-02,no result,Bangladesh,,,105
14,Shakib Al Hasan,AJ Hosein,Anamul Haque,1,0,1,21,,8,6,1,-,3.0,0,,,2,,field,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,Bangladesh_West Indies_2022-07-02,no result,Bangladesh,,,105
15,Anamul Haque,AJ Hosein,Shakib Al Hasan,1,0,1,22,,12,7,1,-,4.0,0,,,2,,field,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,Bangladesh_West Indies_2022-07-02,no result,Bangladesh,,,105
16,Shakib Al Hasan,AJ Hosein,Anamul Haque,6,0,6,28,,14,7,1,-,5.0,0,,,2,,field,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,Bangladesh_West Indies_2022-07-02,no result,Bangladesh,,,105
17,Shakib Al Hasan,AJ Hosein,Anamul Haque,4,0,4,32,,18,8,1,-,6.0,0,,,2,,field,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,Bangladesh_West Indies_2022-07-02,no result,Bangladesh,,,105
18,Anamul Haque,OC McCoy,Shakib Al Hasan,4,0,4,36,,16,8,1,-,1.0,0,,,3,,field,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,Bangladesh_West Indies_2022-07-02,no result,Bangladesh,,,105
19,Anamul Haque,OC McCoy,Shakib Al Hasan,0,0,0,36,,16,9,1,-,2.0,0,,,3,,field,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,Bangladesh_West Indies_2022-07-02,no result,Bangladesh,,,105
20,Anamul Haque,OC McCoy,Shakib Al Hasan,0,0,0,36,,16,10,2,-,3.0,lbw,Anamul Haque,,3,"{'by': 'Bangladesh', 'umpire': 'PA Gustard', 'batter': 'Anamul Haque', 'decision': 'struck down'}",field,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,Bangladesh_West Indies_2022-07-02,no result,Bangladesh,,,105
21,Liton Das,OC McCoy,Shakib Al Hasan,0,0,0,36,,0,1,2,-,4.0,0,,,3,,field,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,Bangladesh_West Indies_2022-07-02,no result,Bangladesh,,,105
22,Liton Das,OC McCoy,Shakib Al Hasan,4,0,4,40,,4,2,2,-,5.0,0,,,3,,field,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,Bangladesh_West Indies_2022-07-02,no result,Bangladesh,,,105
23,Liton Das,OC McCoy,Shakib Al Hasan,0,0,0,40,,4,3,2,-,6.0,0,,,3,,field,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,Bangladesh_West Indies_2022-07-02,no result,Bangladesh,,,105
