,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extras,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,Babar Azam,BE Hendricks,Fakhar Zaman,4,0,4,4,4,1,1,1,,-,0,,,field,Pakistan,2,The Wanderers Stadium,2019-02-03,Pakistan,South Africa
1,Babar Azam,BE Hendricks,Fakhar Zaman,4,0,4,8,8,2,2,1,,-,0,,,field,Pakistan,2,The Wanderers Stadium,2019-02-03,Pakistan,South Africa
2,Babar Azam,BE Hendricks,Fakhar Zaman,4,0,4,12,12,3,3,1,,-,0,,,field,Pakistan,2,The Wanderers Stadium,2019-02-03,Pakistan,South Africa
3,Babar Azam,BE Hendricks,Fakhar Zaman,0,0,0,12,12,4,4,1,,-,0,,,field,Pakistan,2,The Wanderers Stadium,2019-02-03,Pakistan,South Africa
4,Babar Azam,BE Hendricks,Fakhar Zaman,1,0,1,13,13,5,5,1,,-,0,,,field,Pakistan,2,The Wanderers Stadium,2019-02-03,Pakistan,South Africa
5,Fakhar Zaman,BE Hendricks,Babar Azam,1,0,1,14,1,1,6,1,,-,0,,,field,Pakistan,2,The Wanderers Stadium,2019-02-03,Pakistan,South Africa
6,Fakhar Zaman,CH Morris,Babar Azam,0,1,1,15,1,2,1,2,{'wides': 1},wides,0,,,field,Pakistan,2,The Wanderers Stadium,2019-02-03,Pakistan,South Africa
7,Fakhar Zaman,CH Morris,Babar Azam,1,0,1,16,2,3,2,2,,-,0,,,field,Pakistan,2,The Wanderers Stadium,2019-02-03,Pakistan,South Africa
8,Babar Azam,CH Morris,Fakhar Zaman,0,0,0,16,13,6,3,2,,-,0,,,field,Pakistan,2,The Wanderers Stadium,2019-02-03,Pakistan,South Africa
9,Babar Azam,CH Morris,Fakhar Zaman,4,0,4,20,17,7,4,2,,-,0,,,field,Pakistan,2,The Wanderers Stadium,2019-02-03,Pakistan,South Africa
