,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,BRM Taylor,Mohammad Hasnain,CJ Chibhabha,0,0,0,0,,0,1,0,1,0,0,,,-,,field,Pakistan,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-08,Pakistan,Zimbabwe,Pakistan,False,134
1,BRM Taylor,Mohammad Hasnain,CJ Chibhabha,2,0,2,2,,2,2,0,2,0,0,,,-,,field,Pakistan,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-08,Pakistan,Zimbabwe,Pakistan,False,134
2,BRM Taylor,Mohammad Hasnain,CJ Chibhabha,0,0,0,2,,2,3,0,3,0,0,,,-,,field,Pakistan,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-08,Pakistan,Zimbabwe,Pakistan,False,134
3,BRM Taylor,Mohammad Hasnain,CJ Chibhabha,1,0,1,3,,3,4,0,4,0,0,,,-,,field,Pakistan,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-08,Pakistan,Zimbabwe,Pakistan,False,134
4,CJ Chibhabha,Mohammad Hasnain,BRM Taylor,1,0,1,4,,1,1,0,5,0,0,,,-,,field,Pakistan,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-08,Pakistan,Zimbabwe,Pakistan,False,134
5,BRM Taylor,Mohammad Hasnain,CJ Chibhabha,0,0,0,4,,3,5,0,6,0,0,,,-,,field,Pakistan,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-08,Pakistan,Zimbabwe,Pakistan,False,134
6,CJ Chibhabha,Haris Rauf,BRM Taylor,0,0,0,4,,1,2,0,1,1,0,,,-,,field,Pakistan,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-08,Pakistan,Zimbabwe,Pakistan,False,134
7,CJ Chibhabha,Haris Rauf,BRM Taylor,1,0,1,5,,2,3,0,2,1,0,,,-,,field,Pakistan,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-08,Pakistan,Zimbabwe,Pakistan,False,134
8,BRM Taylor,Haris Rauf,CJ Chibhabha,0,0,0,5,,3,6,1,3,1,caught,BRM Taylor,Mohammad Rizwan,-,,field,Pakistan,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-08,Pakistan,Zimbabwe,Pakistan,False,134
9,SC Williams,Haris Rauf,CJ Chibhabha,1,0,1,6,,1,1,1,4,1,0,,,-,,field,Pakistan,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-08,Pakistan,Zimbabwe,Pakistan,False,134
10,CJ Chibhabha,Haris Rauf,SC Williams,4,0,4,10,,6,4,1,5,1,0,,,-,,field,Pakistan,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-08,Pakistan,Zimbabwe,Pakistan,False,134
11,CJ Chibhabha,Haris Rauf,SC Williams,0,0,0,10,,6,5,1,6,1,0,,,-,,field,Pakistan,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-08,Pakistan,Zimbabwe,Pakistan,False,134
12,SC Williams,Mohammad Hasnain,CJ Chibhabha,1,0,1,11,,2,2,1,1,2,0,,,-,,field,Pakistan,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-08,Pakistan,Zimbabwe,Pakistan,False,134
13,CJ Chibhabha,Mohammad Hasnain,SC Williams,4,0,4,15,,10,6,1,2,2,0,,,-,,field,Pakistan,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-08,Pakistan,Zimbabwe,Pakistan,False,134
14,CJ Chibhabha,Mohammad Hasnain,SC Williams,1,0,1,16,,11,7,1,3,2,0,,,-,,field,Pakistan,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-08,Pakistan,Zimbabwe,Pakistan,False,134
15,SC Williams,Mohammad Hasnain,CJ Chibhabha,4,0,4,20,,6,3,1,4,2,0,,,-,,field,Pakistan,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-08,Pakistan,Zimbabwe,Pakistan,False,134
16,SC Williams,Mohammad Hasnain,CJ Chibhabha,1,0,1,21,,7,4,1,5,2,0,,,-,,field,Pakistan,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-08,Pakistan,Zimbabwe,Pakistan,False,134
17,CJ Chibhabha,Mohammad Hasnain,SC Williams,4,0,4,25,,15,8,1,6,2,0,,,-,,field,Pakistan,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-08,Pakistan,Zimbabwe,Pakistan,False,134
18,SC Williams,Haris Rauf,CJ Chibhabha,4,0,4,29,,11,5,1,1,3,0,,,-,,field,Pakistan,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-08,Pakistan,Zimbabwe,Pakistan,False,134
19,SC Williams,Haris Rauf,CJ Chibhabha,0,1,1,30,,11,6,1,2,3,0,,,legbyes,,field,Pakistan,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-08,Pakistan,Zimbabwe,Pakistan,False,134
20,CJ Chibhabha,Haris Rauf,SC Williams,0,0,0,30,,15,9,2,3,3,caught,CJ Chibhabha,Faheem Ashraf,-,,field,Pakistan,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-08,Pakistan,Zimbabwe,Pakistan,False,134
21,W Madhevere,Haris Rauf,SC Williams,4,0,4,34,,4,1,2,4,3,0,,,-,,field,Pakistan,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-08,Pakistan,Zimbabwe,Pakistan,False,134
22,W Madhevere,Haris Rauf,SC Williams,1,0,1,35,,5,2,2,5,3,0,,,-,,field,Pakistan,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-08,Pakistan,Zimbabwe,Pakistan,False,134
23,SC Williams,Haris Rauf,W Madhevere,1,0,1,36,,12,7,2,6,3,0,,,-,,field,Pakistan,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-08,Pakistan,Zimbabwe,Pakistan,False,134
24,SC Williams,Faheem Ashraf,W Madhevere,1,0,1,37,,13,8,2,1,4,0,,,-,,field,Pakistan,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-08,Pakistan,Zimbabwe,Pakistan,False,134
25,W Madhevere,Faheem Ashraf,SC Williams,0,0,0,37,,5,3,2,2,4,0,,,-,,field,Pakistan,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-08,Pakistan,Zimbabwe,Pakistan,False,134
26,W Madhevere,Faheem Ashraf,SC Williams,1,0,1,38,,6,4,2,3,4,0,,,-,,field,Pakistan,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-08,Pakistan,Zimbabwe,Pakistan,False,134
27,SC Williams,Faheem Ashraf,W Madhevere,0,0,0,38,,13,9,2,4,4,0,,,-,,field,Pakistan,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-08,Pakistan,Zimbabwe,Pakistan,False,134
28,SC Williams,Faheem Ashraf,W Madhevere,0,0,0,38,,13,10,3,5,4,bowled,SC Williams,,-,,field,Pakistan,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-08,Pakistan,Zimbabwe,Pakistan,False,134
29,Sikandar Raza,Faheem Ashraf,W Madhevere,0,0,0,38,,0,1,3,6,4,0,,,-,,field,Pakistan,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-08,Pakistan,Zimbabwe,Pakistan,False,134
30,W Madhevere,Wahab Riaz,Sikandar Raza,0,0,0,38,,6,5,3,1,5,0,,,-,,field,Pakistan,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-08,Pakistan,Zimbabwe,Pakistan,False,134
31,W Madhevere,Wahab Riaz,Sikandar Raza,4,0,4,42,,10,6,3,2,5,0,,,-,,field,Pakistan,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-08,Pakistan,Zimbabwe,Pakistan,False,134
