,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,FH Allen,JR Hazlewood,WA Young,0,0,0,0,174,0,1,0,1,0,,,0,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
1,FH Allen,JR Hazlewood,WA Young,0,0,0,0,174,0,2,0,2,0,,,0,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
2,FH Allen,JR Hazlewood,WA Young,6,0,6,6,168,6,3,0,3,0,,,0,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
3,FH Allen,JR Hazlewood,WA Young,0,0,0,6,168,6,4,0,4,0,,,0,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
4,FH Allen,JR Hazlewood,WA Young,0,0,0,6,168,6,5,0,5,0,,,0,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
5,FH Allen,JR Hazlewood,WA Young,0,0,0,6,168,6,6,1,6,bowled,FH Allen,,0,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
6,WA Young,PJ Cummins,MJ Santner,0,0,0,6,168,0,1,1,1,0,,,1,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
7,WA Young,PJ Cummins,MJ Santner,2,0,2,8,166,2,2,1,2,0,,,1,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
8,WA Young,PJ Cummins,MJ Santner,0,1,1,9,165,2,3,1,3,0,,,1,legbyes,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
9,MJ Santner,PJ Cummins,WA Young,1,0,1,10,164,1,1,1,4,0,,,1,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
10,WA Young,PJ Cummins,MJ Santner,1,0,1,11,163,3,4,1,5,0,,,1,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
11,MJ Santner,PJ Cummins,WA Young,0,0,0,11,163,1,2,1,6,0,,,1,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
12,WA Young,JR Hazlewood,MJ Santner,1,0,1,12,162,4,5,1,1,0,,,2,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
13,MJ Santner,JR Hazlewood,WA Young,0,0,0,12,162,1,3,1,2,0,,,2,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
14,MJ Santner,JR Hazlewood,WA Young,0,1,1,13,161,1,4,1,3,0,,,2,legbyes,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
15,WA Young,JR Hazlewood,MJ Santner,1,0,1,14,160,5,6,1,4,0,,,2,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
16,MJ Santner,JR Hazlewood,WA Young,0,0,0,14,160,1,5,1,5,0,,,2,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
17,MJ Santner,JR Hazlewood,WA Young,0,0,0,14,160,1,6,1,6,0,,,2,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
18,WA Young,PJ Cummins,MJ Santner,0,0,0,14,160,5,7,2,1,caught,WA Young,MS Wade,3,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
19,GD Phillips,PJ Cummins,MJ Santner,0,5,5,19,155,0,1,2,2,0,,,3,wides,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
20,GD Phillips,PJ Cummins,MJ Santner,1,0,1,20,154,1,2,2,3,0,,,3,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
21,MJ Santner,PJ Cummins,GD Phillips,0,0,0,20,154,1,7,2,4,0,,,3,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
22,MJ Santner,PJ Cummins,GD Phillips,0,0,0,20,154,1,8,2,5,0,,,3,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
23,MJ Santner,PJ Cummins,GD Phillips,2,0,2,22,152,3,9,2,6,0,,,3,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
24,MJ Santner,PJ Cummins,GD Phillips,0,0,0,22,152,3,10,2,7,0,,,3,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
25,GD Phillips,JR Hazlewood,MJ Santner,0,0,0,22,152,1,3,2,1,0,,,4,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
26,GD Phillips,JR Hazlewood,MJ Santner,0,0,0,22,152,1,4,2,2,0,,,4,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
27,GD Phillips,JR Hazlewood,MJ Santner,0,0,0,22,152,1,5,2,3,0,,,4,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
28,GD Phillips,JR Hazlewood,MJ Santner,0,0,0,22,152,1,6,2,4,0,,,4,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
29,GD Phillips,JR Hazlewood,MJ Santner,0,0,0,22,152,1,7,2,5,0,,,4,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
30,GD Phillips,JR Hazlewood,MJ Santner,0,0,0,22,152,1,8,2,6,0,,,4,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
31,MJ Santner,NT Ellis,GD Phillips,4,0,4,26,148,7,11,2,1,0,,,5,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
32,MJ Santner,NT Ellis,GD Phillips,0,0,0,26,148,7,12,2,2,0,,,5,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
33,MJ Santner,NT Ellis,GD Phillips,0,0,0,26,148,7,13,3,3,bowled,MJ Santner,,5,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
34,MS Chapman,NT Ellis,GD Phillips,1,0,1,27,147,1,1,3,4,0,,,5,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
35,GD Phillips,NT Ellis,MS Chapman,0,0,0,27,147,1,9,3,5,0,,,5,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
36,GD Phillips,NT Ellis,MS Chapman,0,0,0,27,147,1,10,3,6,0,,,5,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
37,MS Chapman,MR Marsh,GD Phillips,1,0,1,28,146,2,2,3,1,0,,,6,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
38,GD Phillips,MR Marsh,MS Chapman,1,0,1,29,145,2,11,3,2,0,,,6,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
39,MS Chapman,MR Marsh,GD Phillips,0,0,0,29,145,2,3,4,3,caught,MS Chapman,TH David,6,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
40,JA Clarkson,MR Marsh,GD Phillips,1,0,1,30,144,1,1,4,4,0,,,6,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
41,GD Phillips,MR Marsh,JA Clarkson,0,0,0,30,144,2,12,4,5,0,,,6,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
42,GD Phillips,MR Marsh,JA Clarkson,2,0,2,32,142,4,13,4,6,0,,,6,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
43,JA Clarkson,A Zampa,GD Phillips,1,0,1,33,141,2,2,4,1,0,,,7,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
44,GD Phillips,A Zampa,JA Clarkson,6,0,6,39,135,10,14,4,2,0,,,7,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
45,GD Phillips,A Zampa,JA Clarkson,2,0,2,41,133,12,15,4,3,0,,,7,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
46,GD Phillips,A Zampa,JA Clarkson,0,0,0,41,133,12,16,4,4,0,,,7,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
47,GD Phillips,A Zampa,JA Clarkson,0,0,0,41,133,12,17,4,5,0,,,7,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
48,GD Phillips,A Zampa,JA Clarkson,4,0,4,45,129,16,18,4,6,0,,,7,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
49,JA Clarkson,MR Marsh,GD Phillips,0,0,0,45,129,2,3,4,1,0,,,8,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
50,JA Clarkson,MR Marsh,GD Phillips,1,0,1,46,128,3,4,4,2,0,,,8,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
51,GD Phillips,MR Marsh,JA Clarkson,1,0,1,47,127,17,19,4,3,0,,,8,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
52,JA Clarkson,MR Marsh,GD Phillips,0,1,1,48,126,3,5,4,4,0,,,8,legbyes,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
53,GD Phillips,MR Marsh,JA Clarkson,1,0,1,49,125,18,20,4,5,0,,,8,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
54,JA Clarkson,MR Marsh,GD Phillips,0,0,0,49,125,3,6,4,6,0,,,8,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
55,GD Phillips,NT Ellis,JA Clarkson,0,0,0,49,125,18,21,4,1,0,,,9,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
56,GD Phillips,NT Ellis,JA Clarkson,1,0,1,50,124,19,22,4,2,0,,,9,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
57,JA Clarkson,NT Ellis,GD Phillips,1,0,1,51,123,4,7,4,3,0,,,9,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
58,GD Phillips,NT Ellis,JA Clarkson,4,0,4,55,119,23,23,4,4,0,,,9,-,field,New Zealand,2,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,New Zealand,Australia,False,102
