,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,CAK Walton,Mohammad Nawaz (3),ADS Fletcher,6,0,6,6,197,6,1,0,1,0,,,1,-,field,West Indies,2,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,West Indies,Pakistan
1,CAK Walton,Mohammad Nawaz (3),ADS Fletcher,0,0,0,6,197,6,2,0,2,0,,,1,-,field,West Indies,2,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,West Indies,Pakistan
2,CAK Walton,Mohammad Nawaz (3),ADS Fletcher,0,0,0,6,197,6,3,0,3,0,,,1,-,field,West Indies,2,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,West Indies,Pakistan
3,CAK Walton,Mohammad Nawaz (3),ADS Fletcher,0,0,0,6,197,6,4,1,4,caught,CAK Walton,Asif Ali,1,-,field,West Indies,2,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,West Indies,Pakistan
4,ADS Fletcher,Mohammad Nawaz (3),MN Samuels,0,0,0,6,197,0,1,1,5,0,,,1,-,field,West Indies,2,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,West Indies,Pakistan
5,ADS Fletcher,Mohammad Nawaz (3),MN Samuels,0,0,0,6,197,0,2,1,6,0,,,1,-,field,West Indies,2,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,West Indies,Pakistan
6,MN Samuels,Mohammad Amir,ADS Fletcher,0,1,1,7,196,0,1,1,1,0,,,2,wides,field,West Indies,2,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,West Indies,Pakistan
7,MN Samuels,Mohammad Amir,ADS Fletcher,0,0,0,7,196,0,2,1,2,0,,,2,-,field,West Indies,2,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,West Indies,Pakistan
8,MN Samuels,Mohammad Amir,ADS Fletcher,1,0,1,8,195,1,3,1,3,0,,,2,-,field,West Indies,2,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,West Indies,Pakistan
9,ADS Fletcher,Mohammad Amir,MN Samuels,0,0,0,8,195,0,3,2,4,caught,ADS Fletcher,Hussain Talat,2,-,field,West Indies,2,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,West Indies,Pakistan
