,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,DA Warner,Shaheen Shah Afridi,AJ Finch,,0,0,0,0,176,0,1,0,-,1.0,0,,,0,field,Australia,2,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Australia,Pakistan,True,177
1,DA Warner,Shaheen Shah Afridi,AJ Finch,,1,0,1,1,175,1,2,0,-,2.0,0,,,0,field,Australia,2,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Australia,Pakistan,True,177
2,AJ Finch,Shaheen Shah Afridi,DA Warner,,0,0,0,1,175,0,1,1,-,3.0,lbw,AJ Finch,,0,field,Australia,2,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Australia,Pakistan,True,177
3,MR Marsh,Shaheen Shah Afridi,DA Warner,"{'by': 'Pakistan', 'umpire': 'CB Gaffaney', 'batter': 'MR Marsh', 'decision': 'struck down', 'umpires_call': True}",0,0,0,1,175,0,1,1,-,4.0,0,,,0,field,Australia,2,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Australia,Pakistan,True,177
4,MR Marsh,Shaheen Shah Afridi,DA Warner,,0,0,0,1,175,0,2,1,-,5.0,0,,,0,field,Australia,2,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Australia,Pakistan,True,177
5,MR Marsh,Shaheen Shah Afridi,DA Warner,,0,0,0,1,175,0,3,1,-,6.0,0,,,0,field,Australia,2,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Australia,Pakistan,True,177
6,DA Warner,Imad Wasim,MR Marsh,,0,0,0,1,175,1,3,1,-,1.0,0,,,1,field,Australia,2,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Australia,Pakistan,True,177
7,DA Warner,Imad Wasim,MR Marsh,,1,0,1,2,174,2,4,1,-,2.0,0,,,1,field,Australia,2,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Australia,Pakistan,True,177
8,MR Marsh,Imad Wasim,DA Warner,,0,0,0,2,174,0,4,1,-,3.0,0,,,1,field,Australia,2,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Australia,Pakistan,True,177
9,MR Marsh,Imad Wasim,DA Warner,,1,0,1,3,173,1,5,1,-,4.0,0,,,1,field,Australia,2,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Australia,Pakistan,True,177
