,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,W Madhevere,CA Young,T Marumani,0,1,1,1,173,0,1,0,1,wides,1,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
1,W Madhevere,CA Young,T Marumani,0,0,0,1,173,0,2,0,2,-,1,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
2,W Madhevere,CA Young,T Marumani,1,0,1,2,172,1,3,0,3,-,1,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
3,T Marumani,CA Young,W Madhevere,1,0,1,3,171,1,1,0,4,-,1,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
4,W Madhevere,CA Young,T Marumani,1,0,1,4,170,2,4,0,5,-,1,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
5,T Marumani,CA Young,W Madhevere,2,0,2,6,168,3,2,0,6,-,1,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
6,T Marumani,CA Young,W Madhevere,1,0,1,7,167,4,3,0,7,-,1,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
7,T Marumani,MR Adair,W Madhevere,0,0,0,7,167,4,4,1,1,-,2,caught and bowled,T Marumani,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
8,RW Chakabva,MR Adair,W Madhevere,1,0,1,8,166,1,1,1,2,-,2,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
9,W Madhevere,MR Adair,RW Chakabva,0,0,0,8,166,2,5,1,3,-,2,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
10,W Madhevere,MR Adair,RW Chakabva,1,0,1,9,165,3,6,1,4,-,2,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
11,RW Chakabva,MR Adair,W Madhevere,0,0,0,9,165,1,2,1,5,-,2,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
12,RW Chakabva,MR Adair,W Madhevere,0,0,0,9,165,1,3,1,6,-,2,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
13,W Madhevere,BJ McCarthy,RW Chakabva,1,0,1,10,164,4,7,1,1,-,3,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
14,RW Chakabva,BJ McCarthy,W Madhevere,4,0,4,14,160,5,4,1,2,-,3,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
15,RW Chakabva,BJ McCarthy,W Madhevere,1,0,1,15,159,6,5,1,3,-,3,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
16,W Madhevere,BJ McCarthy,RW Chakabva,1,0,1,16,158,5,8,1,4,-,3,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
17,RW Chakabva,BJ McCarthy,W Madhevere,1,0,1,17,157,7,6,1,5,-,3,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
18,W Madhevere,BJ McCarthy,RW Chakabva,0,0,0,17,157,5,9,1,6,-,3,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
19,RW Chakabva,MR Adair,W Madhevere,4,0,4,21,153,11,7,1,1,-,4,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
20,RW Chakabva,MR Adair,W Madhevere,0,0,0,21,153,11,8,2,2,-,4,caught,RW Chakabva,NA Rock,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
21,D Myers,MR Adair,W Madhevere,4,0,4,25,149,4,1,2,3,-,4,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
22,D Myers,MR Adair,W Madhevere,0,0,0,25,149,4,2,3,4,-,4,bowled,D Myers,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
23,CR Ervine,MR Adair,W Madhevere,0,0,0,25,149,0,1,3,5,-,4,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
24,CR Ervine,MR Adair,W Madhevere,0,0,0,25,149,0,2,3,6,-,4,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
25,W Madhevere,BJ McCarthy,CR Ervine,0,0,0,25,149,5,10,3,1,-,5,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
26,W Madhevere,BJ McCarthy,CR Ervine,1,0,1,26,148,6,11,3,2,-,5,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
27,CR Ervine,BJ McCarthy,W Madhevere,0,0,0,26,148,0,3,3,3,-,5,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
28,CR Ervine,BJ McCarthy,W Madhevere,4,0,4,30,144,4,4,3,4,-,5,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
29,CR Ervine,BJ McCarthy,W Madhevere,0,0,0,30,144,4,5,3,5,-,5,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
30,CR Ervine,BJ McCarthy,W Madhevere,0,0,0,30,144,4,6,3,6,-,5,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
31,W Madhevere,CA Young,CR Ervine,0,0,0,30,144,6,12,4,1,-,6,caught,W Madhevere,SC Getkate,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
32,M Shumba,CA Young,CR Ervine,1,0,1,31,143,1,1,4,2,-,6,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
33,CR Ervine,CA Young,M Shumba,1,0,1,32,142,5,7,4,3,-,6,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
34,M Shumba,CA Young,CR Ervine,0,0,0,32,142,1,2,4,4,-,6,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
35,M Shumba,CA Young,CR Ervine,0,0,0,32,142,1,3,4,5,-,6,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
36,M Shumba,CA Young,CR Ervine,0,0,0,32,142,1,4,4,6,-,6,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
37,CR Ervine,SC Getkate,M Shumba,0,1,1,33,141,5,8,4,1,legbyes,7,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
38,M Shumba,SC Getkate,CR Ervine,1,0,1,34,140,2,5,4,2,-,7,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
39,CR Ervine,SC Getkate,M Shumba,4,0,4,38,136,9,9,4,3,-,7,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
40,CR Ervine,SC Getkate,M Shumba,0,1,1,39,135,9,10,4,4,wides,7,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
41,CR Ervine,SC Getkate,M Shumba,1,0,1,40,134,10,11,4,5,-,7,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
42,M Shumba,SC Getkate,CR Ervine,0,0,0,40,134,2,6,4,6,-,7,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
43,M Shumba,SC Getkate,CR Ervine,1,0,1,41,133,3,7,4,7,-,7,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
44,M Shumba,Simi Singh,CR Ervine,1,0,1,42,132,4,8,4,1,-,8,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
45,CR Ervine,Simi Singh,M Shumba,1,0,1,43,131,11,12,4,2,-,8,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
46,M Shumba,Simi Singh,CR Ervine,1,0,1,44,130,5,9,4,3,-,8,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-02,Ireland,Zimbabwe,Ireland
