,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,Q de Kock,B Kumar,T Bavuma,0,0,0,0,0,1,1,1,-,0,,,,field,South Africa,2,"Saurashtra Cricket Association Stadium, Rajkot",2022-06-17,South Africa,India
1,Q de Kock,B Kumar,T Bavuma,0,0,0,0,0,2,2,1,-,0,,,,field,South Africa,2,"Saurashtra Cricket Association Stadium, Rajkot",2022-06-17,South Africa,India
2,Q de Kock,B Kumar,T Bavuma,1,0,1,1,1,3,3,1,-,0,,,,field,South Africa,2,"Saurashtra Cricket Association Stadium, Rajkot",2022-06-17,South Africa,India
3,T Bavuma,B Kumar,Q de Kock,0,0,0,1,0,1,4,1,-,0,,,,field,South Africa,2,"Saurashtra Cricket Association Stadium, Rajkot",2022-06-17,South Africa,India
4,T Bavuma,B Kumar,Q de Kock,0,0,0,1,0,2,5,1,-,0,,,,field,South Africa,2,"Saurashtra Cricket Association Stadium, Rajkot",2022-06-17,South Africa,India
5,T Bavuma,B Kumar,Q de Kock,0,0,0,1,0,3,6,1,-,0,,,,field,South Africa,2,"Saurashtra Cricket Association Stadium, Rajkot",2022-06-17,South Africa,India
6,Q de Kock,HH Pandya,T Bavuma,4,0,4,5,5,4,1,2,-,0,,,,field,South Africa,2,"Saurashtra Cricket Association Stadium, Rajkot",2022-06-17,South Africa,India
7,Q de Kock,HH Pandya,T Bavuma,4,0,4,9,9,5,2,2,-,0,,,,field,South Africa,2,"Saurashtra Cricket Association Stadium, Rajkot",2022-06-17,South Africa,India
8,Q de Kock,HH Pandya,T Bavuma,2,0,2,11,11,6,3,2,-,0,,,,field,South Africa,2,"Saurashtra Cricket Association Stadium, Rajkot",2022-06-17,South Africa,India
9,Q de Kock,HH Pandya,T Bavuma,0,0,0,11,11,7,4,2,-,0,,,,field,South Africa,2,"Saurashtra Cricket Association Stadium, Rajkot",2022-06-17,South Africa,India
10,Q de Kock,HH Pandya,T Bavuma,1,0,1,12,12,8,5,2,-,0,,,,field,South Africa,2,"Saurashtra Cricket Association Stadium, Rajkot",2022-06-17,South Africa,India
11,T Bavuma,HH Pandya,Q de Kock,1,0,1,13,1,4,6,2,-,0,,,,field,South Africa,2,"Saurashtra Cricket Association Stadium, Rajkot",2022-06-17,South Africa,India
12,T Bavuma,B Kumar,Q de Kock,0,0,0,13,1,5,1,3,-,0,,,,field,South Africa,2,"Saurashtra Cricket Association Stadium, Rajkot",2022-06-17,South Africa,India
13,T Bavuma,B Kumar,Q de Kock,0,0,0,13,1,6,2,3,-,0,,,,field,South Africa,2,"Saurashtra Cricket Association Stadium, Rajkot",2022-06-17,South Africa,India
14,T Bavuma,B Kumar,Q de Kock,0,0,0,13,1,7,3,3,-,0,,,,field,South Africa,2,"Saurashtra Cricket Association Stadium, Rajkot",2022-06-17,South Africa,India
15,T Bavuma,B Kumar,Q de Kock,2,0,2,15,3,8,4,3,-,0,,,,field,South Africa,2,"Saurashtra Cricket Association Stadium, Rajkot",2022-06-17,South Africa,India
16,T Bavuma,B Kumar,Q de Kock,4,0,4,19,7,9,5,3,-,0,,,,field,South Africa,2,"Saurashtra Cricket Association Stadium, Rajkot",2022-06-17,South Africa,India
17,T Bavuma,B Kumar,Q de Kock,1,0,1,20,8,10,6,3,-,0,,,,field,South Africa,2,"Saurashtra Cricket Association Stadium, Rajkot",2022-06-17,South Africa,India
18,T Bavuma,Avesh Khan,Q de Kock,0,0,0,20,8,11,1,4,-,retired hurt,T Bavuma,,,field,South Africa,2,"Saurashtra Cricket Association Stadium, Rajkot",2022-06-17,South Africa,India
19,D Pretorius,Avesh Khan,Q de Kock,0,1,1,21,0,1,2,4,legbyes,0,,,,field,South Africa,2,"Saurashtra Cricket Association Stadium, Rajkot",2022-06-17,South Africa,India
20,Q de Kock,Avesh Khan,D Pretorius,1,0,1,22,13,9,3,4,-,0,,,,field,South Africa,2,"Saurashtra Cricket Association Stadium, Rajkot",2022-06-17,South Africa,India
21,D Pretorius,Avesh Khan,Q de Kock,0,0,0,22,0,2,4,4,-,0,,,,field,South Africa,2,"Saurashtra Cricket Association Stadium, Rajkot",2022-06-17,South Africa,India
22,D Pretorius,Avesh Khan,Q de Kock,0,0,0,22,0,3,5,4,-,0,,,,field,South Africa,2,"Saurashtra Cricket Association Stadium, Rajkot",2022-06-17,South Africa,India
23,D Pretorius,Avesh Khan,Q de Kock,0,0,0,22,0,4,6,4,-,0,,,,field,South Africa,2,"Saurashtra Cricket Association Stadium, Rajkot",2022-06-17,South Africa,India
24,Q de Kock,HV Patel,D Pretorius,0,0,0,22,13,10,1,5,-,0,,,,field,South Africa,2,"Saurashtra Cricket Association Stadium, Rajkot",2022-06-17,South Africa,India
25,Q de Kock,HV Patel,D Pretorius,1,0,1,23,14,11,2,5,-,0,,,,field,South Africa,2,"Saurashtra Cricket Association Stadium, Rajkot",2022-06-17,South Africa,India
26,D Pretorius,HV Patel,Q de Kock,0,1,1,24,0,5,3,5,legbyes,0,,,,field,South Africa,2,"Saurashtra Cricket Association Stadium, Rajkot",2022-06-17,South Africa,India
27,Q de Kock,HV Patel,D Pretorius,0,0,0,24,14,12,4,5,-,0,,,,field,South Africa,2,"Saurashtra Cricket Association Stadium, Rajkot",2022-06-17,South Africa,India
