,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extras,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,YBK Jaiswal,MP Stoinis,RD Gaikwad,4,0,4,4,4,1,1,0,,,1,,-,field,India,2,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,India,Australia
1,YBK Jaiswal,MP Stoinis,RD Gaikwad,0,0,0,4,4,2,2,0,,,1,,-,field,India,2,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,India,Australia
2,YBK Jaiswal,MP Stoinis,RD Gaikwad,6,0,6,10,10,3,3,0,,,1,,-,field,India,2,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,India,Australia
3,YBK Jaiswal,MP Stoinis,RD Gaikwad,0,0,0,10,10,4,4,0,,,1,,-,field,India,2,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,India,Australia
4,YBK Jaiswal,MP Stoinis,RD Gaikwad,1,0,1,11,11,5,5,run out,RD Gaikwad,MS Wade;NT Ellis,1,,-,field,India,2,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,India,Australia
5,Ishan Kishan,MP Stoinis,YBK Jaiswal,1,0,1,12,1,1,6,0,,,1,,-,field,India,2,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,India,Australia
6,Ishan Kishan,JP Behrendorff,YBK Jaiswal,0,0,0,12,1,2,1,0,,,2,,-,field,India,2,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,India,Australia
7,Ishan Kishan,JP Behrendorff,YBK Jaiswal,0,0,0,12,1,3,2,0,,,2,,-,field,India,2,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,India,Australia
8,Ishan Kishan,JP Behrendorff,YBK Jaiswal,0,0,0,12,1,4,3,0,,,2,,-,field,India,2,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,India,Australia
9,Ishan Kishan,JP Behrendorff,YBK Jaiswal,0,0,0,12,1,5,4,0,,,2,,-,field,India,2,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,India,Australia
10,Ishan Kishan,JP Behrendorff,YBK Jaiswal,0,0,0,12,1,6,5,0,,,2,,-,field,India,2,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,India,Australia
11,Ishan Kishan,JP Behrendorff,YBK Jaiswal,0,0,0,12,1,7,6,0,,,2,,-,field,India,2,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,India,Australia
12,YBK Jaiswal,MW Short,Ishan Kishan,4,0,4,16,15,6,1,0,,,3,,-,field,India,2,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,India,Australia
13,YBK Jaiswal,MW Short,Ishan Kishan,6,0,6,22,21,7,2,0,,,3,,-,field,India,2,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,India,Australia
14,YBK Jaiswal,MW Short,Ishan Kishan,0,0,0,22,21,8,3,caught,YBK Jaiswal,SPD Smith,3,,-,field,India,2,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,India,Australia
15,SA Yadav,MW Short,Ishan Kishan,0,1,1,23,0,1,4,0,,,3,{'wides': 1},wides,field,India,2,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,India,Australia
16,SA Yadav,MW Short,Ishan Kishan,1,0,1,24,1,2,5,0,,,3,,-,field,India,2,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,India,Australia
17,Ishan Kishan,MW Short,SA Yadav,0,0,0,24,1,8,6,0,,,3,,-,field,India,2,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,India,Australia
18,Ishan Kishan,MW Short,SA Yadav,1,0,1,25,2,9,7,0,,,3,,-,field,India,2,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,India,Australia
19,Ishan Kishan,JP Behrendorff,SA Yadav,1,0,1,26,3,10,1,0,,,4,,-,field,India,2,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,India,Australia
20,SA Yadav,JP Behrendorff,Ishan Kishan,0,0,0,26,1,3,2,0,,,4,,-,field,India,2,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2023-11-23,India,Australia
