,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,MJ Lumb,KD Mills,AD Hales,1,0,1,1,,1,1,0,1,0,,,0,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
1,AD Hales,KD Mills,MJ Lumb,0,0,0,1,,0,1,0,2,0,,,0,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
2,AD Hales,KD Mills,MJ Lumb,0,0,0,1,,0,2,1,3,caught,AD Hales,CJ Anderson,0,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
3,MJ Lumb,KD Mills,MM Ali,0,0,0,1,,1,2,1,4,0,,,0,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
4,MJ Lumb,KD Mills,MM Ali,0,0,0,1,,1,3,1,5,0,,,0,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
5,MJ Lumb,KD Mills,MM Ali,0,0,0,1,,1,4,1,6,0,,,0,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
6,MM Ali,MJ McClenaghan,MJ Lumb,0,0,0,1,,0,1,1,1,0,,,1,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
7,MM Ali,MJ McClenaghan,MJ Lumb,4,0,4,5,,4,2,1,2,0,,,1,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
8,MM Ali,MJ McClenaghan,MJ Lumb,1,0,1,6,,5,3,1,3,0,,,1,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
9,MJ Lumb,MJ McClenaghan,MM Ali,0,3,3,9,,1,5,1,4,0,,,1,legbyes,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
10,MM Ali,MJ McClenaghan,MJ Lumb,0,0,0,9,,5,4,1,5,0,,,1,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
11,MM Ali,MJ McClenaghan,MJ Lumb,0,0,0,9,,5,5,1,6,0,,,1,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
12,MJ Lumb,KD Mills,MM Ali,1,0,1,10,,2,6,1,1,0,,,2,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
13,MM Ali,KD Mills,MJ Lumb,0,0,0,10,,5,6,1,2,0,,,2,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
14,MM Ali,KD Mills,MJ Lumb,0,0,0,10,,5,7,1,3,0,,,2,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
15,MM Ali,KD Mills,MJ Lumb,0,1,1,11,,5,8,1,4,0,,,2,wides,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
16,MM Ali,KD Mills,MJ Lumb,4,0,4,15,,9,9,1,5,0,,,2,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
17,MM Ali,KD Mills,MJ Lumb,6,0,6,21,,15,10,1,6,0,,,2,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
18,MM Ali,KD Mills,MJ Lumb,4,0,4,25,,19,11,1,7,0,,,2,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
19,MJ Lumb,MJ McClenaghan,MM Ali,1,0,1,26,,3,7,1,1,0,,,3,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
20,MM Ali,MJ McClenaghan,MJ Lumb,1,0,1,27,,20,12,1,2,0,,,3,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
21,MJ Lumb,MJ McClenaghan,MM Ali,0,0,0,27,,3,8,1,3,0,,,3,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
22,MJ Lumb,MJ McClenaghan,MM Ali,4,0,4,31,,7,9,1,4,0,,,3,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
23,MJ Lumb,MJ McClenaghan,MM Ali,0,0,0,31,,7,10,1,5,0,,,3,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
24,MJ Lumb,MJ McClenaghan,MM Ali,0,0,0,31,,7,11,1,6,0,,,3,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
25,MM Ali,TG Southee,MJ Lumb,4,0,4,35,,24,13,1,1,0,,,4,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
26,MM Ali,TG Southee,MJ Lumb,4,0,4,39,,28,14,1,2,0,,,4,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
27,MM Ali,TG Southee,MJ Lumb,0,0,0,39,,28,15,1,3,0,,,4,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
28,MM Ali,TG Southee,MJ Lumb,1,0,1,40,,29,16,1,4,0,,,4,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
29,MJ Lumb,TG Southee,MM Ali,6,0,6,46,,13,12,1,5,0,,,4,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
30,MJ Lumb,TG Southee,MM Ali,2,0,2,48,,15,13,1,6,0,,,4,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
31,MM Ali,CJ Anderson,MJ Lumb,1,0,1,49,,30,17,1,1,0,,,5,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
32,MJ Lumb,CJ Anderson,MM Ali,1,0,1,50,,16,14,1,2,0,,,5,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
33,MM Ali,CJ Anderson,MJ Lumb,0,1,1,51,,30,18,1,3,0,,,5,wides,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
34,MM Ali,CJ Anderson,MJ Lumb,0,0,0,51,,30,19,1,4,0,,,5,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
35,MM Ali,CJ Anderson,MJ Lumb,4,0,4,55,,34,20,1,5,0,,,5,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
36,MM Ali,CJ Anderson,MJ Lumb,0,0,0,55,,34,21,1,6,0,,,5,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
37,MM Ali,CJ Anderson,MJ Lumb,0,0,0,55,,34,22,1,7,0,,,5,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
38,MJ Lumb,NL McCullum,MM Ali,1,0,1,56,,17,15,1,1,0,,,6,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
39,MM Ali,NL McCullum,MJ Lumb,1,0,1,57,,35,23,1,2,0,,,6,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
40,MJ Lumb,NL McCullum,MM Ali,4,0,4,61,,21,16,1,3,0,,,6,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
41,MJ Lumb,NL McCullum,MM Ali,4,0,4,65,,25,17,1,4,0,,,6,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
42,MJ Lumb,NL McCullum,MM Ali,0,0,0,65,,25,18,1,5,0,,,6,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
43,MJ Lumb,NL McCullum,MM Ali,1,0,1,66,,26,19,1,6,0,,,6,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
44,MJ Lumb,CJ Anderson,MM Ali,4,0,4,70,,30,20,1,1,0,,,7,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
45,MJ Lumb,CJ Anderson,MM Ali,1,0,1,71,,31,21,1,2,0,,,7,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
46,MM Ali,CJ Anderson,MJ Lumb,1,0,1,72,,36,24,1,3,0,,,7,-,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
47,MJ Lumb,CJ Anderson,MM Ali,0,1,1,73,,31,22,1,4,0,,,7,legbyes,field,New Zealand,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_New Zealand_2014-03-22,New Zealand,England,New Zealand,False,172
