,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,MJ Guptill,DC Drakes,DP Conway,0,0,0,0,215,0,1,0,1,1,0,,,,-,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-14,West Indies,New Zealand,West Indies,145
1,MJ Guptill,DC Drakes,DP Conway,1,0,1,1,214,1,2,0,2,1,0,,,,-,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-14,West Indies,New Zealand,West Indies,145
2,DP Conway,DC Drakes,MJ Guptill,0,0,0,1,214,0,1,0,3,1,0,,,,-,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-14,West Indies,New Zealand,West Indies,145
3,DP Conway,DC Drakes,MJ Guptill,1,0,1,2,213,1,2,0,4,1,0,,,,-,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-14,West Indies,New Zealand,West Indies,145
4,MJ Guptill,DC Drakes,DP Conway,0,0,0,2,213,1,3,0,5,1,0,,,,-,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-14,West Indies,New Zealand,West Indies,145
5,MJ Guptill,DC Drakes,DP Conway,1,0,1,3,212,2,4,0,6,1,0,,,,-,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-14,West Indies,New Zealand,West Indies,145
6,MJ Guptill,AS Joseph,DP Conway,1,0,1,4,211,3,5,0,1,2,0,,,,-,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-14,West Indies,New Zealand,West Indies,145
7,DP Conway,AS Joseph,MJ Guptill,1,0,1,5,210,2,3,0,2,2,0,,,,-,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-14,West Indies,New Zealand,West Indies,145
8,MJ Guptill,AS Joseph,DP Conway,0,0,0,5,210,3,6,0,3,2,0,,,,-,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-14,West Indies,New Zealand,West Indies,145
9,MJ Guptill,AS Joseph,DP Conway,4,0,4,9,206,7,7,0,4,2,0,,,,-,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-14,West Indies,New Zealand,West Indies,145
10,MJ Guptill,AS Joseph,DP Conway,2,0,2,11,204,9,8,0,5,2,0,,,,-,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-14,West Indies,New Zealand,West Indies,145
11,MJ Guptill,AS Joseph,DP Conway,0,0,0,11,204,9,9,0,6,2,0,,,,-,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-14,West Indies,New Zealand,West Indies,145
12,DP Conway,AJ Hosein,MJ Guptill,1,0,1,12,203,3,4,0,1,3,0,,,,-,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-14,West Indies,New Zealand,West Indies,145
13,MJ Guptill,AJ Hosein,DP Conway,0,0,0,12,203,9,10,0,2,3,0,,,,-,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022,08,New Zealand_West Indies_2022-08-14,West Indies,New Zealand,West Indies,145
