,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
19,KL Rahul,Al-Amin Hossain,S Dhawan,,1,0,1,20,,7,7,1,-,2.0,0,,,3,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
20,S Dhawan,Al-Amin Hossain,KL Rahul,,1,0,1,21,,5,9,1,-,3.0,0,,,3,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
21,KL Rahul,Al-Amin Hossain,S Dhawan,,0,0,0,21,,7,8,1,-,4.0,0,,,3,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
22,KL Rahul,Al-Amin Hossain,S Dhawan,,0,0,0,21,,7,9,1,-,5.0,0,,,3,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
23,KL Rahul,Al-Amin Hossain,S Dhawan,,1,0,1,22,,8,10,1,-,6.0,0,,,3,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
24,KL Rahul,Mustafizur Rahman,S Dhawan,,1,0,1,23,,9,11,1,-,1.0,0,,,4,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
25,S Dhawan,Mustafizur Rahman,KL Rahul,,0,0,0,23,,5,10,1,-,2.0,0,,,4,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
26,S Dhawan,Mustafizur Rahman,KL Rahul,,0,0,0,23,,5,11,1,-,3.0,0,,,4,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
27,S Dhawan,Mustafizur Rahman,KL Rahul,,1,0,1,24,,6,12,1,-,4.0,0,,,4,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
28,KL Rahul,Mustafizur Rahman,S Dhawan,,1,0,1,25,,10,12,1,-,5.0,0,,,4,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
29,S Dhawan,Mustafizur Rahman,KL Rahul,,4,0,4,29,,10,13,1,-,6.0,0,,,4,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
30,KL Rahul,Shafiul Islam,S Dhawan,,0,0,0,29,,10,13,1,-,1.0,0,,,5,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
31,KL Rahul,Shafiul Islam,S Dhawan,,0,0,0,29,,10,14,1,-,2.0,0,,,5,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
32,KL Rahul,Shafiul Islam,S Dhawan,,4,0,4,33,,14,15,1,-,3.0,0,,,5,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
33,KL Rahul,Shafiul Islam,S Dhawan,,1,0,1,34,,15,16,1,-,4.0,0,,,5,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
34,S Dhawan,Shafiul Islam,KL Rahul,,0,0,0,34,,10,14,1,-,5.0,0,,,5,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
35,S Dhawan,Shafiul Islam,KL Rahul,,1,0,1,35,,11,15,1,-,6.0,0,,,5,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
36,S Dhawan,Aminul Islam,KL Rahul,,0,0,0,35,,11,16,1,-,1.0,0,,,6,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
37,S Dhawan,Aminul Islam,KL Rahul,,1,0,1,36,,12,17,1,-,2.0,0,,,6,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
38,KL Rahul,Aminul Islam,S Dhawan,,0,0,0,36,,15,17,2,-,3.0,caught,KL Rahul,Mahmudullah,6,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
39,SS Iyer,Aminul Islam,S Dhawan,,1,0,1,37,,1,1,2,-,4.0,0,,,6,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
40,S Dhawan,Aminul Islam,SS Iyer,,1,0,1,38,,13,18,2,-,5.0,0,,,6,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
41,SS Iyer,Aminul Islam,S Dhawan,,6,0,6,44,,7,2,2,-,6.0,0,,,6,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
42,S Dhawan,Soumya Sarkar,SS Iyer,,1,0,1,45,,14,19,2,-,1.0,0,,,7,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
43,SS Iyer,Soumya Sarkar,S Dhawan,,0,0,0,45,,7,3,2,-,2.0,0,,,7,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
44,SS Iyer,Soumya Sarkar,S Dhawan,,1,0,1,46,,8,4,2,-,3.0,0,,,7,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
45,S Dhawan,Soumya Sarkar,SS Iyer,,4,0,4,50,,18,20,2,-,4.0,0,,,7,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
46,S Dhawan,Soumya Sarkar,SS Iyer,,1,0,1,51,,19,21,2,-,5.0,0,,,7,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
47,SS Iyer,Soumya Sarkar,S Dhawan,,0,0,0,51,,8,5,2,-,6.0,0,,,7,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
48,S Dhawan,Aminul Islam,SS Iyer,,1,0,1,52,,20,22,2,-,1.0,0,,,8,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
49,SS Iyer,Aminul Islam,S Dhawan,,1,0,1,53,,9,6,2,-,2.0,0,,,8,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
50,S Dhawan,Aminul Islam,SS Iyer,,0,0,0,53,,20,23,2,-,3.0,0,,,8,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
51,S Dhawan,Aminul Islam,SS Iyer,,1,0,1,54,,21,24,2,-,4.0,0,,,8,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
52,SS Iyer,Aminul Islam,S Dhawan,,0,0,0,54,,9,7,2,-,5.0,0,,,8,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
53,SS Iyer,Aminul Islam,S Dhawan,,6,0,6,60,,15,8,2,-,6.0,0,,,8,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
54,S Dhawan,Soumya Sarkar,SS Iyer,,1,0,1,61,,22,25,2,-,1.0,0,,,9,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
55,SS Iyer,Soumya Sarkar,S Dhawan,,0,0,0,61,,15,9,2,-,2.0,0,,,9,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
56,SS Iyer,Soumya Sarkar,S Dhawan,,1,0,1,62,,16,10,2,-,3.0,0,,,9,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
57,S Dhawan,Soumya Sarkar,SS Iyer,,1,0,1,63,,23,26,2,-,4.0,0,,,9,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
58,SS Iyer,Soumya Sarkar,S Dhawan,,4,0,4,67,,20,11,2,-,5.0,0,,,9,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
59,SS Iyer,Soumya Sarkar,S Dhawan,,2,0,2,69,,22,12,2,-,6.0,0,,,9,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
60,S Dhawan,Aminul Islam,SS Iyer,,1,0,1,70,,24,27,2,-,1.0,0,,,10,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
