,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,AD Hales,SS Cottrell,JM Bairstow,6,0,6,6,154,6,1,0,1,-,0,,,1,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies,161
1,AD Hales,SS Cottrell,JM Bairstow,4,0,4,10,150,10,2,0,2,-,0,,,1,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies,161
2,AD Hales,SS Cottrell,JM Bairstow,0,4,4,14,146,10,3,0,3,legbyes,0,,,1,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies,161
3,AD Hales,SS Cottrell,JM Bairstow,1,0,1,15,145,11,4,0,4,-,0,,,1,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies,161
4,JM Bairstow,SS Cottrell,AD Hales,1,0,1,16,144,1,1,0,5,-,0,,,1,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies,161
5,AD Hales,SS Cottrell,JM Bairstow,0,1,1,17,143,11,5,0,6,wides,0,,,1,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies,161
6,AD Hales,SS Cottrell,JM Bairstow,0,0,0,17,143,11,6,1,7,-,bowled,AD Hales,,1,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies,161
7,JM Bairstow,O Thomas,JE Root,0,1,1,18,142,1,2,1,1,wides,0,,,2,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies,161
8,JM Bairstow,O Thomas,JE Root,4,0,4,22,138,5,3,1,2,-,0,,,2,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies,161
9,JM Bairstow,O Thomas,JE Root,4,0,4,26,134,9,4,1,3,-,0,,,2,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies,161
10,JM Bairstow,O Thomas,JE Root,4,0,4,30,130,13,5,1,4,-,0,,,2,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies,161
11,JM Bairstow,O Thomas,JE Root,0,0,0,30,130,13,6,1,5,-,0,,,2,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies,161
12,JM Bairstow,O Thomas,JE Root,0,0,0,30,130,13,7,1,6,-,0,,,2,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies,161
13,JM Bairstow,O Thomas,JE Root,1,0,1,31,129,14,8,1,7,-,0,,,2,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies,161
14,JM Bairstow,SS Cottrell,JE Root,1,0,1,32,128,15,9,1,1,-,0,,,3,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies,161
15,JE Root,SS Cottrell,JM Bairstow,0,0,0,32,128,0,1,1,2,-,0,,,3,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies,161
16,JE Root,SS Cottrell,JM Bairstow,0,0,0,32,128,0,2,2,3,-,lbw,JE Root,,3,"{'by': 'England', 'umpire': 'N Duguid', 'batter': 'JE Root', 'decision': 'struck down', 'umpires_call': True}",field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies,161
17,EJG Morgan,SS Cottrell,JM Bairstow,0,0,0,32,128,0,1,2,4,-,0,,,3,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies,161
18,EJG Morgan,SS Cottrell,JM Bairstow,0,0,0,32,128,0,2,2,5,-,0,,,3,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies,161
19,EJG Morgan,SS Cottrell,JM Bairstow,0,1,1,33,127,0,3,2,6,wides,0,,,3,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies,161
20,EJG Morgan,SS Cottrell,JM Bairstow,0,0,0,33,127,0,4,2,7,-,0,,,3,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies,161
21,JM Bairstow,AR Nurse,EJG Morgan,0,0,0,33,127,15,10,2,1,-,0,,,4,,field,England,2,"Darren Sammy National Cricket Stadium, St Lucia",2019,03,West Indies_England_2019-03-05,England,England,West Indies,161
