,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,Hazratullah,WB Rankin,Asghar Stanikzai,1,0,1,1,131,1,1,0,1,0,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
1,Asghar Stanikzai,WB Rankin,Hazratullah,4,0,4,5,127,4,1,0,2,0,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
2,Asghar Stanikzai,WB Rankin,Hazratullah,0,0,0,5,127,4,2,0,3,0,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
3,Asghar Stanikzai,WB Rankin,Hazratullah,1,0,1,6,126,5,3,0,4,0,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
4,Hazratullah,WB Rankin,Asghar Stanikzai,4,0,4,10,122,5,2,0,5,0,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
5,Hazratullah,WB Rankin,Asghar Stanikzai,6,0,6,16,116,11,3,0,6,0,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
6,Asghar Stanikzai,PKD Chase,Hazratullah,0,0,0,16,116,5,4,0,1,1,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
7,Asghar Stanikzai,PKD Chase,Hazratullah,0,0,0,16,116,5,5,1,2,1,-,caught,Asghar Stanikzai,SC Getkate,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
8,Samiullah Shenwari,PKD Chase,Hazratullah,0,0,0,16,116,0,1,1,3,1,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
9,Samiullah Shenwari,PKD Chase,Hazratullah,1,0,1,17,115,1,2,1,4,1,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
10,Hazratullah,PKD Chase,Samiullah Shenwari,0,1,1,18,114,11,4,1,5,1,wides,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
11,Hazratullah,PKD Chase,Samiullah Shenwari,0,1,1,19,113,11,5,1,6,1,wides,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
12,Hazratullah,PKD Chase,Samiullah Shenwari,0,0,0,19,113,11,6,1,7,1,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
13,Hazratullah,PKD Chase,Samiullah Shenwari,0,1,1,20,112,11,7,1,8,1,wides,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
14,Hazratullah,PKD Chase,Samiullah Shenwari,0,0,0,20,112,11,8,1,9,1,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
15,Samiullah Shenwari,J Little,Hazratullah,0,0,0,20,112,1,3,1,1,2,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
16,Samiullah Shenwari,J Little,Hazratullah,0,0,0,20,112,1,4,1,2,2,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
