,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
17,Samiullah Shenwari,J Little,Hazratullah,4,0,4,24,108,5,5,1,3,2,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
18,Samiullah Shenwari,J Little,Hazratullah,0,0,0,24,108,5,6,1,4,2,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
19,Samiullah Shenwari,J Little,Hazratullah,0,0,0,24,108,5,7,1,5,2,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
20,Samiullah Shenwari,J Little,Hazratullah,1,0,1,25,107,6,8,1,6,2,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
21,Samiullah Shenwari,WB Rankin,Hazratullah,4,0,4,29,103,10,9,1,1,3,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
22,Samiullah Shenwari,WB Rankin,Hazratullah,1,0,1,30,102,11,10,1,2,3,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
23,Hazratullah,WB Rankin,Samiullah Shenwari,0,0,0,30,102,11,9,2,3,3,-,caught,Hazratullah,SR Thompson,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
24,Karim Janat,WB Rankin,Samiullah Shenwari,0,0,0,30,102,0,1,2,4,3,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
25,Karim Janat,WB Rankin,Samiullah Shenwari,0,0,0,30,102,0,2,2,5,3,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
26,Karim Janat,WB Rankin,Samiullah Shenwari,0,0,0,30,102,0,3,3,6,3,-,caught,Karim Janat,GH Dockrell,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
27,Samiullah Shenwari,PKD Chase,Mohammad Nabi,0,1,1,31,101,11,11,3,1,4,wides,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
28,Samiullah Shenwari,PKD Chase,Mohammad Nabi,4,0,4,35,97,15,12,3,2,4,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
29,Samiullah Shenwari,PKD Chase,Mohammad Nabi,1,0,1,36,96,16,13,3,3,4,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
30,Mohammad Nabi,PKD Chase,Samiullah Shenwari,0,0,0,36,96,0,1,3,4,4,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
31,Mohammad Nabi,PKD Chase,Samiullah Shenwari,4,0,4,40,92,4,2,3,5,4,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
32,Mohammad Nabi,PKD Chase,Samiullah Shenwari,1,0,1,41,91,5,3,3,6,4,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
33,Samiullah Shenwari,PKD Chase,Mohammad Nabi,1,0,1,42,90,17,14,3,7,4,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
34,Samiullah Shenwari,J Little,Mohammad Nabi,0,1,1,43,89,17,15,3,1,5,wides,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
35,Samiullah Shenwari,J Little,Mohammad Nabi,0,0,0,43,89,17,16,3,2,5,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
36,Samiullah Shenwari,J Little,Mohammad Nabi,0,0,0,43,89,17,17,3,3,5,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
37,Samiullah Shenwari,J Little,Mohammad Nabi,0,0,0,43,89,17,18,3,4,5,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
38,Samiullah Shenwari,J Little,Mohammad Nabi,0,0,0,43,89,17,19,3,5,5,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
39,Samiullah Shenwari,J Little,Mohammad Nabi,0,0,0,43,89,17,20,3,6,5,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
40,Samiullah Shenwari,J Little,Mohammad Nabi,0,0,0,43,89,17,21,4,7,5,-,caught,Samiullah Shenwari,KJ O'Brien,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
41,Sharafuddin Ashraf,SR Thompson,Mohammad Nabi,1,0,1,44,88,1,1,4,1,6,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
42,Mohammad Nabi,SR Thompson,Sharafuddin Ashraf,1,0,1,45,87,6,4,4,2,6,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
43,Sharafuddin Ashraf,SR Thompson,Mohammad Nabi,2,0,2,47,85,3,2,4,3,6,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
44,Sharafuddin Ashraf,SR Thompson,Mohammad Nabi,0,0,0,47,85,3,3,4,4,6,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
45,Sharafuddin Ashraf,SR Thompson,Mohammad Nabi,0,0,0,47,85,3,4,4,5,6,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
46,Sharafuddin Ashraf,SR Thompson,Mohammad Nabi,1,0,1,48,84,4,5,4,6,6,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
47,Sharafuddin Ashraf,SC Getkate,Mohammad Nabi,2,0,2,50,82,6,6,4,1,7,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
48,Sharafuddin Ashraf,SC Getkate,Mohammad Nabi,0,0,0,50,82,6,7,5,2,7,-,caught,Sharafuddin Ashraf,J Little,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
49,Mohammad Nabi,SC Getkate,Najibullah Zadran,1,0,1,51,81,7,5,5,3,7,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
50,Najibullah Zadran,SC Getkate,Mohammad Nabi,0,0,0,51,81,0,1,5,4,7,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
51,Najibullah Zadran,SC Getkate,Mohammad Nabi,1,0,1,52,80,1,2,5,5,7,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
52,Mohammad Nabi,SC Getkate,Najibullah Zadran,0,0,0,52,80,7,6,5,6,7,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
53,Najibullah Zadran,SR Thompson,Mohammad Nabi,0,0,0,52,80,1,3,5,1,8,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
54,Najibullah Zadran,SR Thompson,Mohammad Nabi,1,0,1,53,79,2,4,5,2,8,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
55,Mohammad Nabi,SR Thompson,Najibullah Zadran,0,0,0,53,79,7,7,5,3,8,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
56,Mohammad Nabi,SR Thompson,Najibullah Zadran,1,0,1,54,78,8,8,5,4,8,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
57,Najibullah Zadran,SR Thompson,Mohammad Nabi,0,1,1,55,77,2,5,5,5,8,wides,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
58,Najibullah Zadran,SR Thompson,Mohammad Nabi,1,0,1,56,76,3,6,5,6,8,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
59,Mohammad Nabi,SR Thompson,Najibullah Zadran,1,0,1,57,75,9,9,5,7,8,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
60,Mohammad Nabi,SC Getkate,Najibullah Zadran,0,0,0,57,75,9,10,5,1,9,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
61,Mohammad Nabi,SC Getkate,Najibullah Zadran,1,0,1,58,74,10,11,5,2,9,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
62,Najibullah Zadran,SC Getkate,Mohammad Nabi,1,0,1,59,73,4,7,5,3,9,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
63,Mohammad Nabi,SC Getkate,Najibullah Zadran,1,0,1,60,72,11,12,5,4,9,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
64,Najibullah Zadran,SC Getkate,Mohammad Nabi,0,1,1,61,71,4,8,5,5,9,wides,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
65,Najibullah Zadran,SC Getkate,Mohammad Nabi,0,0,0,61,71,4,9,5,6,9,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
66,Najibullah Zadran,SC Getkate,Mohammad Nabi,1,0,1,62,70,5,10,5,7,9,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
67,Najibullah Zadran,SR Thompson,Mohammad Nabi,1,0,1,63,69,6,11,5,1,10,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
68,Mohammad Nabi,SR Thompson,Najibullah Zadran,1,0,1,64,68,12,13,5,2,10,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
69,Najibullah Zadran,SR Thompson,Mohammad Nabi,0,0,0,64,68,6,12,5,3,10,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
70,Najibullah Zadran,Simi Singh,Mohammad Nabi,1,0,1,65,67,7,13,5,4,10,-,0,,,"{'role': [{'in': 'Simi Singh', 'out': 'SR Thompson', 'reason': 'injury', 'role': 'bowler'}]}",bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
71,Mohammad Nabi,Simi Singh,Najibullah Zadran,0,0,0,65,67,12,14,5,5,10,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
72,Mohammad Nabi,Simi Singh,Najibullah Zadran,0,0,0,65,67,12,15,5,6,10,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
73,Najibullah Zadran,SC Getkate,Mohammad Nabi,1,0,1,66,66,8,14,5,1,11,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
74,Mohammad Nabi,SC Getkate,Najibullah Zadran,0,0,0,66,66,12,16,5,2,11,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
75,Mohammad Nabi,SC Getkate,Najibullah Zadran,1,0,1,67,65,13,17,5,3,11,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
76,Najibullah Zadran,SC Getkate,Mohammad Nabi,2,0,2,69,63,10,15,5,4,11,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
77,Najibullah Zadran,SC Getkate,Mohammad Nabi,0,0,0,69,63,10,16,5,5,11,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
78,Najibullah Zadran,SC Getkate,Mohammad Nabi,1,0,1,70,62,11,17,5,6,11,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
79,Najibullah Zadran,GH Dockrell,Mohammad Nabi,0,0,0,70,62,11,18,5,1,12,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
80,Najibullah Zadran,GH Dockrell,Mohammad Nabi,2,0,2,72,60,13,19,5,2,12,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
81,Najibullah Zadran,GH Dockrell,Mohammad Nabi,4,0,4,76,56,17,20,5,3,12,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
82,Najibullah Zadran,GH Dockrell,Mohammad Nabi,0,0,0,76,56,17,21,5,4,12,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
83,Najibullah Zadran,GH Dockrell,Mohammad Nabi,1,0,1,77,55,18,22,5,5,12,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
84,Mohammad Nabi,GH Dockrell,Najibullah Zadran,0,0,0,77,55,13,18,5,6,12,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
85,Najibullah Zadran,SC Getkate,Mohammad Nabi,1,0,1,78,54,19,23,5,1,13,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
86,Mohammad Nabi,SC Getkate,Najibullah Zadran,4,0,4,82,50,17,19,5,2,13,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
87,Mohammad Nabi,SC Getkate,Najibullah Zadran,1,0,1,83,49,18,20,5,3,13,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
88,Najibullah Zadran,SC Getkate,Mohammad Nabi,0,0,0,83,49,19,24,5,4,13,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
89,Najibullah Zadran,SC Getkate,Mohammad Nabi,0,0,0,83,49,19,25,5,5,13,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
90,Najibullah Zadran,SC Getkate,Mohammad Nabi,1,0,1,84,48,20,26,5,6,13,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
91,Najibullah Zadran,PKD Chase,Mohammad Nabi,0,1,1,85,47,20,27,5,1,14,legbyes,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
92,Mohammad Nabi,PKD Chase,Najibullah Zadran,1,0,1,86,46,19,21,5,2,14,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
93,Najibullah Zadran,PKD Chase,Mohammad Nabi,2,0,2,88,44,22,28,5,3,14,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
94,Najibullah Zadran,PKD Chase,Mohammad Nabi,1,0,1,89,43,23,29,5,4,14,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
95,Mohammad Nabi,PKD Chase,Najibullah Zadran,2,0,2,91,41,21,22,5,5,14,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
96,Mohammad Nabi,PKD Chase,Najibullah Zadran,1,0,1,92,40,22,23,5,6,14,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
97,Mohammad Nabi,J Little,Najibullah Zadran,4,0,4,96,36,26,24,5,1,15,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
