,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,TL Seifert,B Kumar,C Munro,0,0,0,0,,0,1,0,1,-,0,0,,,,bat,New Zealand,1,Eden Park,2019,02,New Zealand_India_2019-02-08,India,New Zealand,India,False,158
1,TL Seifert,B Kumar,C Munro,1,0,1,1,,1,2,0,2,-,0,0,,,,bat,New Zealand,1,Eden Park,2019,02,New Zealand_India_2019-02-08,India,New Zealand,India,False,158
2,C Munro,B Kumar,TL Seifert,0,0,0,1,,0,1,0,3,-,0,0,,,,bat,New Zealand,1,Eden Park,2019,02,New Zealand_India_2019-02-08,India,New Zealand,India,False,158
3,C Munro,B Kumar,TL Seifert,0,1,1,2,,0,2,0,4,legbyes,0,0,,,,bat,New Zealand,1,Eden Park,2019,02,New Zealand_India_2019-02-08,India,New Zealand,India,False,158
4,TL Seifert,B Kumar,C Munro,0,0,0,2,,1,3,0,5,-,0,0,,,,bat,New Zealand,1,Eden Park,2019,02,New Zealand_India_2019-02-08,India,New Zealand,India,False,158
5,TL Seifert,B Kumar,C Munro,0,1,1,3,,1,4,0,6,wides,0,0,,,,bat,New Zealand,1,Eden Park,2019,02,New Zealand_India_2019-02-08,India,New Zealand,India,False,158
6,TL Seifert,B Kumar,C Munro,0,0,0,3,,1,5,0,7,-,0,0,,,,bat,New Zealand,1,Eden Park,2019,02,New Zealand_India_2019-02-08,India,New Zealand,India,False,158
7,C Munro,KK Ahmed,TL Seifert,1,0,1,4,,1,3,0,1,-,1,0,,,,bat,New Zealand,1,Eden Park,2019,02,New Zealand_India_2019-02-08,India,New Zealand,India,False,158
8,TL Seifert,KK Ahmed,C Munro,0,0,0,4,,1,6,0,2,-,1,0,,,,bat,New Zealand,1,Eden Park,2019,02,New Zealand_India_2019-02-08,India,New Zealand,India,False,158
9,TL Seifert,KK Ahmed,C Munro,0,0,0,4,,1,7,0,3,-,1,0,,,,bat,New Zealand,1,Eden Park,2019,02,New Zealand_India_2019-02-08,India,New Zealand,India,False,158
10,TL Seifert,KK Ahmed,C Munro,0,0,0,4,,1,8,0,4,-,1,0,,,,bat,New Zealand,1,Eden Park,2019,02,New Zealand_India_2019-02-08,India,New Zealand,India,False,158
11,TL Seifert,KK Ahmed,C Munro,0,0,0,4,,1,9,0,5,-,1,0,,,,bat,New Zealand,1,Eden Park,2019,02,New Zealand_India_2019-02-08,India,New Zealand,India,False,158
12,TL Seifert,KK Ahmed,C Munro,1,0,1,5,,2,10,0,6,-,1,0,,,,bat,New Zealand,1,Eden Park,2019,02,New Zealand_India_2019-02-08,India,New Zealand,India,False,158
13,TL Seifert,B Kumar,C Munro,4,0,4,9,,6,11,0,1,-,2,0,,,,bat,New Zealand,1,Eden Park,2019,02,New Zealand_India_2019-02-08,India,New Zealand,India,False,158
14,TL Seifert,B Kumar,C Munro,6,0,6,15,,12,12,0,2,-,2,0,,,,bat,New Zealand,1,Eden Park,2019,02,New Zealand_India_2019-02-08,India,New Zealand,India,False,158
15,TL Seifert,B Kumar,C Munro,0,0,0,15,,12,13,1,3,-,2,caught,TL Seifert,MS Dhoni,,bat,New Zealand,1,Eden Park,2019,02,New Zealand_India_2019-02-08,India,New Zealand,India,False,158
16,KS Williamson,B Kumar,C Munro,1,0,1,16,,1,1,1,4,-,2,0,,,,bat,New Zealand,1,Eden Park,2019,02,New Zealand_India_2019-02-08,India,New Zealand,India,False,158
17,C Munro,B Kumar,KS Williamson,1,0,1,17,,2,4,1,5,-,2,0,,,,bat,New Zealand,1,Eden Park,2019,02,New Zealand_India_2019-02-08,India,New Zealand,India,False,158
18,KS Williamson,B Kumar,C Munro,0,0,0,17,,1,2,1,6,-,2,0,,,,bat,New Zealand,1,Eden Park,2019,02,New Zealand_India_2019-02-08,India,New Zealand,India,False,158
19,C Munro,KK Ahmed,KS Williamson,2,0,2,19,,4,5,1,1,-,3,0,,,,bat,New Zealand,1,Eden Park,2019,02,New Zealand_India_2019-02-08,India,New Zealand,India,False,158
20,C Munro,KK Ahmed,KS Williamson,0,0,0,19,,4,6,1,2,-,3,0,,,,bat,New Zealand,1,Eden Park,2019,02,New Zealand_India_2019-02-08,India,New Zealand,India,False,158
21,C Munro,KK Ahmed,KS Williamson,0,0,0,19,,4,7,1,3,-,3,0,,,,bat,New Zealand,1,Eden Park,2019,02,New Zealand_India_2019-02-08,India,New Zealand,India,False,158
22,C Munro,KK Ahmed,KS Williamson,6,0,6,25,,10,8,1,4,-,3,0,,,,bat,New Zealand,1,Eden Park,2019,02,New Zealand_India_2019-02-08,India,New Zealand,India,False,158
23,C Munro,KK Ahmed,KS Williamson,1,0,1,26,,11,9,1,5,-,3,0,,,,bat,New Zealand,1,Eden Park,2019,02,New Zealand_India_2019-02-08,India,New Zealand,India,False,158
24,KS Williamson,KK Ahmed,C Munro,4,0,4,30,,5,3,1,6,-,3,0,,,,bat,New Zealand,1,Eden Park,2019,02,New Zealand_India_2019-02-08,India,New Zealand,India,False,158
25,C Munro,HH Pandya,KS Williamson,1,0,1,31,,12,10,1,1,-,4,0,,,,bat,New Zealand,1,Eden Park,2019,02,New Zealand_India_2019-02-08,India,New Zealand,India,False,158
26,KS Williamson,HH Pandya,C Munro,4,0,4,35,,9,4,1,2,-,4,0,,,,bat,New Zealand,1,Eden Park,2019,02,New Zealand_India_2019-02-08,India,New Zealand,India,False,158
27,KS Williamson,HH Pandya,C Munro,0,0,0,35,,9,5,1,3,-,4,0,,,,bat,New Zealand,1,Eden Park,2019,02,New Zealand_India_2019-02-08,India,New Zealand,India,False,158
