,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,MJ Guptill,KR Mayers,DP Conway,1,0,1,1,1,1,1,-,1,0,,,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
1,DP Conway,KR Mayers,MJ Guptill,0,0,0,1,0,1,2,-,1,0,,,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
2,DP Conway,KR Mayers,MJ Guptill,0,0,0,1,0,2,3,-,1,0,,,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
3,DP Conway,KR Mayers,MJ Guptill,0,1,1,2,0,3,4,legbyes,1,0,,,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
4,MJ Guptill,KR Mayers,DP Conway,1,0,1,3,2,2,5,-,1,0,,,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
5,DP Conway,KR Mayers,MJ Guptill,1,0,1,4,1,4,6,-,1,0,,,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
6,DP Conway,R Shepherd,MJ Guptill,0,0,0,4,1,5,1,-,2,0,,,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
7,DP Conway,R Shepherd,MJ Guptill,1,0,1,5,2,6,2,-,2,0,,,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
8,MJ Guptill,R Shepherd,DP Conway,4,0,4,9,6,3,3,-,2,0,,,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
9,MJ Guptill,R Shepherd,DP Conway,3,0,3,12,9,4,4,-,2,0,,,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
10,DP Conway,R Shepherd,MJ Guptill,0,0,0,12,2,7,5,-,2,0,,,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
11,DP Conway,R Shepherd,MJ Guptill,0,1,1,13,2,8,6,legbyes,2,0,,,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
12,DP Conway,KR Mayers,MJ Guptill,6,0,6,19,8,9,1,-,3,0,,,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
13,DP Conway,KR Mayers,MJ Guptill,1,0,1,20,9,10,2,-,3,0,,,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
14,MJ Guptill,KR Mayers,DP Conway,4,0,4,24,13,5,3,-,3,0,,,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
15,MJ Guptill,KR Mayers,DP Conway,0,0,0,24,13,6,4,-,3,0,,,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
16,MJ Guptill,KR Mayers,DP Conway,2,0,2,26,15,7,5,-,3,0,,,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
17,MJ Guptill,KR Mayers,DP Conway,1,0,1,27,16,8,6,-,3,0,,,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
18,MJ Guptill,OC McCoy,DP Conway,0,0,0,27,16,9,1,-,4,0,,,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
19,MJ Guptill,OC McCoy,DP Conway,4,0,4,31,20,10,2,-,4,0,,,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
20,MJ Guptill,OC McCoy,DP Conway,0,0,0,31,20,11,3,-,4,caught,MJ Guptill,N Pooran,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
21,DP Conway,OC McCoy,KS Williamson,1,0,1,32,10,11,4,-,4,0,,,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
22,KS Williamson,OC McCoy,DP Conway,4,0,4,36,4,1,5,-,4,0,,,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
23,KS Williamson,OC McCoy,DP Conway,0,0,0,36,4,2,6,-,4,caught,KS Williamson,DC Thomas,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
24,DP Conway,JO Holder,GD Phillips,0,0,0,36,10,12,1,-,5,0,,,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
25,DP Conway,JO Holder,GD Phillips,0,0,0,36,10,13,2,-,5,0,,,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
26,DP Conway,JO Holder,GD Phillips,1,0,1,37,11,14,3,-,5,0,,,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
27,GD Phillips,JO Holder,DP Conway,0,0,0,37,0,1,4,-,5,0,,,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
28,GD Phillips,JO Holder,DP Conway,2,0,2,39,2,2,5,-,5,0,,,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
29,GD Phillips,JO Holder,DP Conway,0,0,0,39,2,3,6,-,5,0,,,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
30,DP Conway,OC McCoy,GD Phillips,0,1,1,40,11,15,1,wides,6,0,,,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
31,DP Conway,OC McCoy,GD Phillips,1,0,1,41,12,16,2,-,6,0,,,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
32,GD Phillips,OC McCoy,DP Conway,0,0,0,41,2,4,3,-,6,0,,,,bat,New Zealand,1,"Sabina Park, Kingston, Jamaica",2022-08-12,New Zealand,New Zealand,West Indies
