,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,SV Samson,B Fernando,RG Sharma,1,0,1,1,145,1,1,0,-,1.0,0,0,,,,bat,Sri Lanka,2,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,India,Sri Lanka,True,148,Right hand Bat,Right hand Bat,Left arm Medium
1,RG Sharma,B Fernando,SV Samson,0,0,0,1,145,0,1,0,-,2.0,0,0,,,,bat,Sri Lanka,2,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,India,Sri Lanka,True,148,Right hand Bat,Right hand Bat,Left arm Medium
2,RG Sharma,B Fernando,SV Samson,4,0,4,5,141,4,2,0,-,3.0,0,0,,,,bat,Sri Lanka,2,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,India,Sri Lanka,True,148,Right hand Bat,Right hand Bat,Left arm Medium
3,RG Sharma,B Fernando,SV Samson,0,0,0,5,141,4,3,0,-,4.0,0,0,,,,bat,Sri Lanka,2,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,India,Sri Lanka,True,148,Right hand Bat,Right hand Bat,Left arm Medium
4,RG Sharma,B Fernando,SV Samson,0,0,0,5,141,4,4,0,-,5.0,0,0,,,,bat,Sri Lanka,2,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,India,Sri Lanka,True,148,Right hand Bat,Right hand Bat,Left arm Medium
5,RG Sharma,B Fernando,SV Samson,1,0,1,6,140,5,5,0,-,6.0,0,0,,,,bat,Sri Lanka,2,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,India,Sri Lanka,True,148,Right hand Bat,Right hand Bat,Left arm Medium
6,RG Sharma,PVD Chameera,SV Samson,0,0,0,6,140,5,6,0,-,1.0,1,0,,,,bat,Sri Lanka,2,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,India,Sri Lanka,True,148,Right hand Bat,Right hand Bat,Right arm Fast
7,RG Sharma,PVD Chameera,SV Samson,0,0,0,6,140,5,7,0,-,2.0,1,0,,,,bat,Sri Lanka,2,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,India,Sri Lanka,True,148,Right hand Bat,Right hand Bat,Right arm Fast
8,RG Sharma,PVD Chameera,SV Samson,0,0,0,6,140,5,8,0,-,3.0,1,0,,,,bat,Sri Lanka,2,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,India,Sri Lanka,True,148,Right hand Bat,Right hand Bat,Right arm Fast
9,RG Sharma,PVD Chameera,SV Samson,0,0,0,6,140,5,9,1,-,4.0,1,caught,RG Sharma,C Karunaratne,,bat,Sri Lanka,2,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,India,Sri Lanka,True,148,Right hand Bat,Right hand Bat,Right arm Fast
10,SS Iyer,PVD Chameera,SV Samson,1,0,1,7,139,1,1,1,-,5.0,1,0,,,,bat,Sri Lanka,2,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,India,Sri Lanka,True,148,Right hand Bat,Right hand Bat,Right arm Fast
11,SV Samson,PVD Chameera,SS Iyer,0,0,0,7,139,1,2,1,-,6.0,1,0,,,,bat,Sri Lanka,2,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,India,Sri Lanka,True,148,Right hand Bat,Right hand Bat,Right arm Fast
12,SS Iyer,B Fernando,SV Samson,0,0,0,7,139,1,2,1,-,1.0,2,0,,,,bat,Sri Lanka,2,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,India,Sri Lanka,True,148,Right hand Bat,Right hand Bat,Left arm Medium
13,SS Iyer,B Fernando,SV Samson,0,0,0,7,139,1,3,1,-,2.0,2,0,,,,bat,Sri Lanka,2,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,India,Sri Lanka,True,148,Right hand Bat,Right hand Bat,Left arm Medium
14,SS Iyer,B Fernando,SV Samson,1,0,1,8,138,2,4,1,-,3.0,2,0,,,,bat,Sri Lanka,2,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,India,Sri Lanka,True,148,Right hand Bat,Right hand Bat,Left arm Medium
15,SV Samson,B Fernando,SS Iyer,1,0,1,9,137,2,3,1,-,4.0,2,0,,,,bat,Sri Lanka,2,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,India,Sri Lanka,True,148,Right hand Bat,Right hand Bat,Left arm Medium
16,SS Iyer,B Fernando,SV Samson,4,0,4,13,133,6,5,1,-,5.0,2,0,,,,bat,Sri Lanka,2,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,India,Sri Lanka,True,148,Right hand Bat,Right hand Bat,Left arm Medium
17,SS Iyer,B Fernando,SV Samson,0,0,0,13,133,6,6,1,-,6.0,2,0,,,,bat,Sri Lanka,2,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,India,Sri Lanka,True,148,Right hand Bat,Right hand Bat,Left arm Medium
18,SV Samson,CBRLS Kumara,SS Iyer,1,0,1,14,132,3,4,1,-,1.0,3,0,,,,bat,Sri Lanka,2,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,India,Sri Lanka,True,148,Right hand Bat,Right hand Bat,Right arm Fast
