,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,review,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,Imam-ul-Haq,MA Starc,Babar Azam,1,0,1,1,1,1,1,1,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
1,Babar Azam,MA Starc,Imam-ul-Haq,0,0,0,1,0,1,2,1,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
2,Babar Azam,MA Starc,Imam-ul-Haq,0,0,0,1,0,2,3,1,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
3,Babar Azam,MA Starc,Imam-ul-Haq,1,0,1,2,1,3,4,1,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
4,Imam-ul-Haq,MA Starc,Babar Azam,0,0,0,2,1,2,5,1,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
5,Imam-ul-Haq,MA Starc,Babar Azam,1,0,1,3,2,3,6,1,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
6,Imam-ul-Haq,SA Abbott,Babar Azam,1,0,1,4,3,4,1,2,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
7,Babar Azam,SA Abbott,Imam-ul-Haq,0,0,0,4,1,4,2,2,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
8,Babar Azam,SA Abbott,Imam-ul-Haq,1,0,1,5,2,5,3,2,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
9,Imam-ul-Haq,SA Abbott,Babar Azam,0,0,0,5,3,5,4,2,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
10,Imam-ul-Haq,SA Abbott,Babar Azam,0,0,0,5,3,6,5,2,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
11,Imam-ul-Haq,SA Abbott,Babar Azam,4,0,4,9,7,7,6,2,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
12,Babar Azam,MA Starc,Imam-ul-Haq,0,1,1,10,2,6,1,3,,wides,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
13,Babar Azam,MA Starc,Imam-ul-Haq,0,1,1,11,2,7,2,3,,wides,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
14,Babar Azam,MA Starc,Imam-ul-Haq,4,0,4,15,6,8,3,3,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
15,Babar Azam,MA Starc,Imam-ul-Haq,0,0,0,15,6,9,4,3,"{'by': 'Pakistan', 'umpire': 'P Wilson', 'batter': 'Babar Azam', 'decision': 'struck down', 'umpires_call': True}",-,lbw,Babar Azam,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
16,Mohammad Rizwan,MA Starc,Imam-ul-Haq,0,0,0,15,0,1,5,3,,-,bowled,Mohammad Rizwan,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
17,Haris Sohail,MA Starc,Imam-ul-Haq,0,0,0,15,0,1,6,3,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
18,Haris Sohail,MA Starc,Imam-ul-Haq,0,0,0,15,0,2,7,3,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
19,Haris Sohail,MA Starc,Imam-ul-Haq,0,0,0,15,0,3,8,3,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
20,Imam-ul-Haq,KW Richardson,Haris Sohail,0,0,0,15,7,8,1,4,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
21,Imam-ul-Haq,KW Richardson,Haris Sohail,0,0,0,15,7,9,2,4,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
22,Imam-ul-Haq,KW Richardson,Haris Sohail,2,0,2,17,9,10,3,4,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
23,Imam-ul-Haq,KW Richardson,Haris Sohail,0,0,0,17,9,11,4,4,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
24,Imam-ul-Haq,KW Richardson,Haris Sohail,1,0,1,18,10,12,5,4,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
25,Haris Sohail,KW Richardson,Imam-ul-Haq,0,0,0,18,0,4,6,4,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
26,Imam-ul-Haq,SA Abbott,Haris Sohail,0,0,0,18,10,13,1,5,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
27,Imam-ul-Haq,SA Abbott,Haris Sohail,4,0,4,22,14,14,2,5,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
28,Imam-ul-Haq,SA Abbott,Haris Sohail,0,0,0,22,14,15,3,5,,-,caught,Imam-ul-Haq,BR McDermott,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
29,Haris Sohail,SA Abbott,Iftikhar Ahmed,0,0,0,22,0,5,4,5,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
30,Haris Sohail,SA Abbott,Iftikhar Ahmed,0,0,0,22,0,6,5,5,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
31,Haris Sohail,SA Abbott,Iftikhar Ahmed,0,0,0,22,0,7,6,5,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
32,Iftikhar Ahmed,MA Starc,Haris Sohail,0,0,0,22,0,1,1,6,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
33,Iftikhar Ahmed,MA Starc,Haris Sohail,4,0,4,26,4,2,2,6,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
34,Iftikhar Ahmed,MA Starc,Haris Sohail,4,0,4,30,8,3,3,6,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
35,Iftikhar Ahmed,MA Starc,Haris Sohail,0,0,0,30,8,4,4,6,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
36,Iftikhar Ahmed,MA Starc,Haris Sohail,0,0,0,30,8,5,5,6,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
37,Iftikhar Ahmed,MA Starc,Haris Sohail,4,0,4,34,12,6,6,6,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
38,Haris Sohail,B Stanlake,Iftikhar Ahmed,1,0,1,35,1,8,1,7,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
39,Iftikhar Ahmed,B Stanlake,Haris Sohail,0,0,0,35,12,7,2,7,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
40,Iftikhar Ahmed,B Stanlake,Haris Sohail,2,0,2,37,14,8,3,7,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
41,Iftikhar Ahmed,B Stanlake,Haris Sohail,4,0,4,41,18,9,4,7,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
