,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,review,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,LMP Simmons,BC Fortuin,E Lewis,1,0,1,1,167,1,1,0,1,1,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
1,E Lewis,BC Fortuin,LMP Simmons,2,0,2,3,165,2,1,0,2,1,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
2,E Lewis,BC Fortuin,LMP Simmons,6,0,6,9,159,8,2,0,3,1,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
3,E Lewis,BC Fortuin,LMP Simmons,1,0,1,10,158,9,3,0,4,1,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
4,LMP Simmons,BC Fortuin,E Lewis,0,0,0,10,158,1,2,0,5,1,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
5,LMP Simmons,BC Fortuin,E Lewis,1,0,1,11,157,2,3,0,6,1,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
6,LMP Simmons,K Rabada,E Lewis,0,0,0,11,157,2,4,0,1,2,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
7,LMP Simmons,K Rabada,E Lewis,1,0,1,12,156,3,5,0,2,2,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
8,E Lewis,K Rabada,LMP Simmons,4,0,4,16,152,13,4,0,3,2,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
9,E Lewis,K Rabada,LMP Simmons,0,0,0,16,152,13,5,0,4,2,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
