,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,SD Hope,DJ Willey,CH Gayle,4,0,4,4,4,1,1,1,0,,,-,field,England,1,"Darren Sammy National Cricket Stadium, St Lucia",2019-03-05,England,West Indies,England
1,SD Hope,DJ Willey,CH Gayle,0,0,0,4,4,2,2,1,0,,,-,field,England,1,"Darren Sammy National Cricket Stadium, St Lucia",2019-03-05,England,West Indies,England
2,SD Hope,DJ Willey,CH Gayle,1,0,1,5,5,3,3,1,0,,,-,field,England,1,"Darren Sammy National Cricket Stadium, St Lucia",2019-03-05,England,West Indies,England
3,CH Gayle,DJ Willey,SD Hope,0,0,0,5,0,1,4,1,0,,,-,field,England,1,"Darren Sammy National Cricket Stadium, St Lucia",2019-03-05,England,West Indies,England
4,CH Gayle,DJ Willey,SD Hope,0,0,0,5,0,2,5,1,0,,,-,field,England,1,"Darren Sammy National Cricket Stadium, St Lucia",2019-03-05,England,West Indies,England
5,CH Gayle,DJ Willey,SD Hope,0,0,0,5,0,3,6,1,0,,,-,field,England,1,"Darren Sammy National Cricket Stadium, St Lucia",2019-03-05,England,West Indies,England
6,SD Hope,TK Curran,CH Gayle,1,0,1,6,6,4,1,2,0,,,-,field,England,1,"Darren Sammy National Cricket Stadium, St Lucia",2019-03-05,England,West Indies,England
7,CH Gayle,TK Curran,SD Hope,1,0,1,7,1,4,2,2,0,,,-,field,England,1,"Darren Sammy National Cricket Stadium, St Lucia",2019-03-05,England,West Indies,England
8,SD Hope,TK Curran,CH Gayle,0,0,0,7,6,5,3,2,caught,SD Hope,JE Root,-,field,England,1,"Darren Sammy National Cricket Stadium, St Lucia",2019-03-05,England,West Indies,England
9,SO Hetmyer,TK Curran,CH Gayle,0,0,0,7,0,1,4,2,0,,,-,field,England,1,"Darren Sammy National Cricket Stadium, St Lucia",2019-03-05,England,West Indies,England
10,SO Hetmyer,TK Curran,CH Gayle,0,0,0,7,0,2,5,2,0,,,-,field,England,1,"Darren Sammy National Cricket Stadium, St Lucia",2019-03-05,England,West Indies,England
11,SO Hetmyer,TK Curran,CH Gayle,6,0,6,13,6,3,6,2,0,,,-,field,England,1,"Darren Sammy National Cricket Stadium, St Lucia",2019-03-05,England,West Indies,England
12,CH Gayle,DJ Willey,SO Hetmyer,0,1,1,14,1,5,1,3,0,,,wides,field,England,1,"Darren Sammy National Cricket Stadium, St Lucia",2019-03-05,England,West Indies,England
13,CH Gayle,DJ Willey,SO Hetmyer,0,0,0,14,1,6,2,3,0,,,-,field,England,1,"Darren Sammy National Cricket Stadium, St Lucia",2019-03-05,England,West Indies,England
14,CH Gayle,DJ Willey,SO Hetmyer,0,0,0,14,1,7,3,3,0,,,-,field,England,1,"Darren Sammy National Cricket Stadium, St Lucia",2019-03-05,England,West Indies,England
15,CH Gayle,DJ Willey,SO Hetmyer,6,0,6,20,7,8,4,3,0,,,-,field,England,1,"Darren Sammy National Cricket Stadium, St Lucia",2019-03-05,England,West Indies,England
16,CH Gayle,DJ Willey,SO Hetmyer,1,0,1,21,8,9,5,3,0,,,-,field,England,1,"Darren Sammy National Cricket Stadium, St Lucia",2019-03-05,England,West Indies,England
17,SO Hetmyer,DJ Willey,CH Gayle,1,0,1,22,7,4,6,3,0,,,-,field,England,1,"Darren Sammy National Cricket Stadium, St Lucia",2019-03-05,England,West Indies,England
18,CH Gayle,DJ Willey,SO Hetmyer,6,0,6,28,14,10,7,3,0,,,-,field,England,1,"Darren Sammy National Cricket Stadium, St Lucia",2019-03-05,England,West Indies,England
