,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,BA King,Mohammad Nawaz,SSJ Brooks,0,0,0,0,172,0,1,0,1,1,-,0,,,,bat,West Indies,1,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,West Indies,Pakistan,207
1,BA King,Mohammad Nawaz,SSJ Brooks,0,0,0,0,172,0,2,0,2,1,-,0,,,,bat,West Indies,1,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,West Indies,Pakistan,207
2,BA King,Mohammad Nawaz,SSJ Brooks,4,0,4,4,168,4,3,0,3,1,-,0,,,,bat,West Indies,1,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,West Indies,Pakistan,207
3,BA King,Mohammad Nawaz,SSJ Brooks,4,0,4,8,164,8,4,0,4,1,-,0,,,,bat,West Indies,1,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,West Indies,Pakistan,207
4,BA King,Mohammad Nawaz,SSJ Brooks,0,0,0,8,164,8,5,0,5,1,-,0,,,,bat,West Indies,1,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,West Indies,Pakistan,207
5,BA King,Mohammad Nawaz,SSJ Brooks,1,0,1,9,163,9,6,0,6,1,-,0,,,,bat,West Indies,1,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,West Indies,Pakistan,207
6,BA King,Mohammad Hasnain,SSJ Brooks,0,0,0,9,163,9,7,0,1,2,-,0,,,,bat,West Indies,1,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,West Indies,Pakistan,207
7,BA King,Mohammad Hasnain,SSJ Brooks,1,0,1,10,162,10,8,0,2,2,-,0,,,,bat,West Indies,1,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,West Indies,Pakistan,207
8,SSJ Brooks,Mohammad Hasnain,BA King,1,0,1,11,161,1,1,0,3,2,-,0,,,,bat,West Indies,1,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,West Indies,Pakistan,207
9,BA King,Mohammad Hasnain,SSJ Brooks,0,0,0,11,161,10,9,0,4,2,-,0,,,,bat,West Indies,1,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,West Indies,Pakistan,207
10,BA King,Mohammad Hasnain,SSJ Brooks,0,0,0,11,161,10,10,0,5,2,-,0,,,,bat,West Indies,1,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,West Indies,Pakistan,207
11,BA King,Mohammad Hasnain,SSJ Brooks,4,0,4,15,157,14,11,0,6,2,-,0,,,,bat,West Indies,1,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,West Indies,Pakistan,207
12,SSJ Brooks,Mohammad Nawaz,BA King,0,0,0,15,157,1,2,0,1,3,-,0,,,,bat,West Indies,1,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,West Indies,Pakistan,207
13,SSJ Brooks,Mohammad Nawaz,BA King,4,0,4,19,153,5,3,0,2,3,-,0,,,,bat,West Indies,1,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,West Indies,Pakistan,207
14,SSJ Brooks,Mohammad Nawaz,BA King,0,1,1,20,152,5,4,0,3,3,legbyes,0,,,,bat,West Indies,1,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,West Indies,Pakistan,207
15,BA King,Mohammad Nawaz,SSJ Brooks,6,0,6,26,146,20,12,0,4,3,-,0,,,,bat,West Indies,1,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,West Indies,Pakistan,207
16,BA King,Mohammad Nawaz,SSJ Brooks,4,0,4,30,142,24,13,0,5,3,-,0,,,,bat,West Indies,1,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,West Indies,Pakistan,207
17,BA King,Mohammad Nawaz,SSJ Brooks,4,0,4,34,138,28,14,0,6,3,-,0,,,,bat,West Indies,1,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,West Indies,Pakistan,207
18,SSJ Brooks,Mohammad Hasnain,BA King,2,0,2,36,136,7,5,0,1,4,-,0,,,,bat,West Indies,1,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,West Indies,Pakistan,207
19,SSJ Brooks,Mohammad Hasnain,BA King,1,0,1,37,135,8,6,0,2,4,-,0,,,,bat,West Indies,1,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,West Indies,Pakistan,207
20,BA King,Mohammad Hasnain,SSJ Brooks,4,0,4,41,131,32,15,0,3,4,-,0,,,,bat,West Indies,1,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,West Indies,Pakistan,207
21,BA King,Mohammad Hasnain,SSJ Brooks,4,0,4,45,127,36,16,0,4,4,-,0,,,,bat,West Indies,1,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,West Indies,Pakistan,207
22,BA King,Mohammad Hasnain,SSJ Brooks,1,0,1,46,126,37,17,0,5,4,-,0,,,,bat,West Indies,1,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,West Indies,Pakistan,207
23,SSJ Brooks,Mohammad Hasnain,BA King,1,0,1,47,125,9,7,0,6,4,-,0,,,,bat,West Indies,1,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,West Indies,Pakistan,207
24,SSJ Brooks,Shahnawaz Dhani,BA King,0,0,0,47,125,9,8,0,1,5,-,0,,,,bat,West Indies,1,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,West Indies,Pakistan,207
25,SSJ Brooks,Shahnawaz Dhani,BA King,0,1,1,48,124,9,9,0,2,5,noballs,0,,,,bat,West Indies,1,"National Stadium, Karachi",2021,12,West Indies_Pakistan_2021-12-16,Pakistan,West Indies,Pakistan,207
