,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,review,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
47,GJ Maxwell,IS Sodhi,MR Marsh,6,0,6,84,13,4,6,8,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
48,MR Marsh,MJ Santner,GJ Maxwell,6,0,6,90,20,10,1,9,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
49,MR Marsh,MJ Santner,GJ Maxwell,4,0,4,94,24,11,2,9,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
50,MR Marsh,MJ Santner,GJ Maxwell,0,0,0,94,24,12,3,9,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
51,MR Marsh,MJ Santner,GJ Maxwell,1,0,1,95,25,13,4,9,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
52,GJ Maxwell,MJ Santner,MR Marsh,4,0,4,99,17,5,5,9,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
53,GJ Maxwell,MJ Santner,MR Marsh,1,0,1,100,18,6,6,9,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
54,GJ Maxwell,IS Sodhi,MR Marsh,0,0,0,100,18,7,1,10,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
55,GJ Maxwell,IS Sodhi,MR Marsh,0,1,1,101,18,8,2,10,,0,,,wides,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
56,GJ Maxwell,IS Sodhi,MR Marsh,1,0,1,102,19,9,3,10,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
57,MR Marsh,IS Sodhi,GJ Maxwell,0,1,1,103,25,14,4,10,,0,,,wides,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
58,MR Marsh,IS Sodhi,GJ Maxwell,0,0,0,103,25,15,5,10,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
59,MR Marsh,IS Sodhi,GJ Maxwell,1,0,1,104,26,16,6,10,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
60,GJ Maxwell,IS Sodhi,MR Marsh,0,0,0,104,19,10,7,10,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
61,GJ Maxwell,IS Sodhi,MR Marsh,6,0,6,110,25,11,8,10,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
62,MR Marsh,LH Ferguson,GJ Maxwell,0,0,0,110,26,17,1,11,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
63,MR Marsh,LH Ferguson,GJ Maxwell,1,0,1,111,27,18,2,11,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
64,GJ Maxwell,LH Ferguson,MR Marsh,0,0,0,111,25,12,3,11,,bowled,GJ Maxwell,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
65,JP Inglis,LH Ferguson,MR Marsh,0,1,1,112,0,1,4,11,,0,,,wides,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
66,JP Inglis,LH Ferguson,MR Marsh,0,0,0,112,0,2,5,11,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
67,JP Inglis,LH Ferguson,MR Marsh,1,0,1,113,1,3,6,11,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
68,MR Marsh,LH Ferguson,JP Inglis,0,0,0,113,27,19,7,11,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
69,JP Inglis,MJ Santner,MR Marsh,1,0,1,114,2,4,1,12,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
70,MR Marsh,MJ Santner,JP Inglis,6,0,6,120,33,20,2,12,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
71,MR Marsh,MJ Santner,JP Inglis,1,0,1,121,34,21,3,12,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
72,JP Inglis,MJ Santner,MR Marsh,1,0,1,122,3,5,4,12,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
73,MR Marsh,MJ Santner,JP Inglis,0,0,0,122,34,22,5,12,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
74,MR Marsh,MJ Santner,JP Inglis,1,0,1,123,35,23,6,12,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
75,MR Marsh,AF Milne,JP Inglis,1,0,1,124,36,24,1,13,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
76,JP Inglis,AF Milne,MR Marsh,0,0,0,124,3,6,2,13,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
77,JP Inglis,AF Milne,MR Marsh,4,0,4,128,7,7,3,13,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
78,JP Inglis,AF Milne,MR Marsh,1,0,1,129,8,8,4,13,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
79,MR Marsh,AF Milne,JP Inglis,6,0,6,135,42,25,5,13,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
80,MR Marsh,AF Milne,JP Inglis,6,0,6,141,48,26,6,13,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
81,JP Inglis,IS Sodhi,MR Marsh,1,0,1,142,9,9,1,14,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
82,MR Marsh,IS Sodhi,JP Inglis,1,0,1,143,49,27,2,14,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
83,JP Inglis,IS Sodhi,MR Marsh,1,0,1,144,10,10,3,14,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
84,MR Marsh,IS Sodhi,JP Inglis,0,0,0,144,49,28,4,14,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
85,MR Marsh,IS Sodhi,JP Inglis,0,0,0,144,49,29,5,14,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
86,MR Marsh,IS Sodhi,JP Inglis,1,0,1,145,50,30,6,14,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
87,MR Marsh,TG Southee,JP Inglis,0,1,1,146,50,31,1,15,,0,,,wides,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
88,MR Marsh,TG Southee,JP Inglis,0,1,1,147,50,32,2,15,,0,,,wides,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
89,MR Marsh,TG Southee,JP Inglis,0,1,1,148,50,33,3,15,,0,,,wides,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
90,MR Marsh,TG Southee,JP Inglis,1,0,1,149,51,34,4,15,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
91,JP Inglis,TG Southee,MR Marsh,0,0,0,149,10,11,5,15,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
92,JP Inglis,TG Southee,MR Marsh,2,0,2,151,12,12,6,15,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
93,JP Inglis,TG Southee,MR Marsh,6,0,6,157,18,13,7,15,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
94,JP Inglis,TG Southee,MR Marsh,0,0,0,157,18,14,8,15,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
95,JP Inglis,TG Southee,MR Marsh,0,0,0,157,18,15,9,15,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
96,MR Marsh,IS Sodhi,JP Inglis,3,0,3,160,54,35,1,16,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
97,JP Inglis,IS Sodhi,MR Marsh,0,0,0,160,18,16,2,16,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
98,JP Inglis,IS Sodhi,MR Marsh,0,1,1,161,18,17,3,16,,0,,,wides,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
99,JP Inglis,IS Sodhi,MR Marsh,0,0,0,161,18,18,4,16,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
100,JP Inglis,IS Sodhi,MR Marsh,1,0,1,162,19,19,5,16,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
101,MR Marsh,IS Sodhi,JP Inglis,6,0,6,168,60,36,6,16,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
102,MR Marsh,IS Sodhi,JP Inglis,2,0,2,170,62,37,7,16,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
103,JP Inglis,MJ Santner,MR Marsh,1,0,1,171,20,20,1,17,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
104,MR Marsh,MJ Santner,JP Inglis,0,0,0,171,62,38,2,17,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
105,MR Marsh,MJ Santner,JP Inglis,1,0,1,172,63,39,3,17,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
106,JP Inglis,MJ Santner,MR Marsh,0,0,0,172,20,21,4,17,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
107,JP Inglis,MJ Santner,MR Marsh,0,0,0,172,20,22,5,17,,caught,JP Inglis,R Ravindra,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
108,TH David,MJ Santner,MR Marsh,1,0,1,173,1,1,6,17,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
109,TH David,LH Ferguson,MR Marsh,1,0,1,174,2,2,1,18,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
110,MR Marsh,LH Ferguson,TH David,0,0,0,174,63,40,2,18,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
111,MR Marsh,LH Ferguson,TH David,0,0,0,174,63,41,3,18,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
112,MR Marsh,LH Ferguson,TH David,6,0,6,180,69,42,4,18,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
113,MR Marsh,LH Ferguson,TH David,0,0,0,180,69,43,5,18,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
114,MR Marsh,LH Ferguson,TH David,1,0,1,181,70,44,6,18,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
115,MR Marsh,AF Milne,TH David,1,0,1,182,71,45,1,19,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
116,TH David,AF Milne,MR Marsh,0,1,1,183,2,3,2,19,,0,,,byes,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
117,MR Marsh,AF Milne,TH David,1,0,1,184,72,46,3,19,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
118,TH David,AF Milne,MR Marsh,4,0,4,188,6,4,4,19,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
119,TH David,AF Milne,MR Marsh,6,0,6,194,12,5,5,19,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
120,TH David,AF Milne,MR Marsh,6,0,6,200,18,6,6,19,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
121,MR Marsh,TG Southee,TH David,0,1,1,201,72,47,1,20,,0,,,wides,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
122,MR Marsh,TG Southee,TH David,0,1,1,202,72,48,2,20,"{'by': 'New Zealand', 'umpire': 'SB Haig', 'batter': 'MR Marsh', 'decision': 'struck down', 'type': 'wicket'}",0,,,legbyes,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
123,TH David,TG Southee,MR Marsh,1,0,1,203,19,7,3,20,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
124,MR Marsh,TG Southee,TH David,0,1,1,204,72,49,4,20,,0,,,legbyes,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
125,TH David,TG Southee,MR Marsh,6,0,6,210,25,8,5,20,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
126,TH David,TG Southee,MR Marsh,2,0,2,212,27,9,6,20,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
127,TH David,TG Southee,MR Marsh,4,0,4,216,31,10,7,20,,0,,,-,bat,New Zealand,2,"Sky Stadium, Wellington",2024-02-21,Australia,Australia,New Zealand
