,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,DM Richards,Shakib Al Hasan,ADS Fletcher,0,0,0,0,118,0,1,1,1,-,bowled,DM Richards,,1,bat,Bangladesh,2,"Warner Park, Basseterre",2009,08,West Indies_Bangladesh_2009-08-02,West Indies,West Indies,Bangladesh
1,DS Smith,Shakib Al Hasan,ADS Fletcher,0,1,1,1,117,0,1,1,2,wides,0,,,1,bat,Bangladesh,2,"Warner Park, Basseterre",2009,08,West Indies_Bangladesh_2009-08-02,West Indies,West Indies,Bangladesh
2,DS Smith,Shakib Al Hasan,ADS Fletcher,0,0,0,1,117,0,2,1,3,-,0,,,1,bat,Bangladesh,2,"Warner Park, Basseterre",2009,08,West Indies_Bangladesh_2009-08-02,West Indies,West Indies,Bangladesh
3,DS Smith,Shakib Al Hasan,ADS Fletcher,0,1,1,2,116,0,3,1,4,wides,0,,,1,bat,Bangladesh,2,"Warner Park, Basseterre",2009,08,West Indies_Bangladesh_2009-08-02,West Indies,West Indies,Bangladesh
4,DS Smith,Shakib Al Hasan,ADS Fletcher,0,0,0,2,116,0,4,1,5,-,0,,,1,bat,Bangladesh,2,"Warner Park, Basseterre",2009,08,West Indies_Bangladesh_2009-08-02,West Indies,West Indies,Bangladesh
5,DS Smith,Shakib Al Hasan,ADS Fletcher,0,0,0,2,116,0,5,1,6,-,0,,,1,bat,Bangladesh,2,"Warner Park, Basseterre",2009,08,West Indies_Bangladesh_2009-08-02,West Indies,West Indies,Bangladesh
6,DS Smith,Shakib Al Hasan,ADS Fletcher,0,0,0,2,116,0,6,1,7,-,0,,,1,bat,Bangladesh,2,"Warner Park, Basseterre",2009,08,West Indies_Bangladesh_2009-08-02,West Indies,West Indies,Bangladesh
7,DS Smith,Shakib Al Hasan,ADS Fletcher,1,0,1,3,115,1,7,1,8,-,0,,,1,bat,Bangladesh,2,"Warner Park, Basseterre",2009,08,West Indies_Bangladesh_2009-08-02,West Indies,West Indies,Bangladesh
8,DS Smith,Naeem Islam,ADS Fletcher,0,0,0,3,115,1,8,1,1,-,0,,,2,bat,Bangladesh,2,"Warner Park, Basseterre",2009,08,West Indies_Bangladesh_2009-08-02,West Indies,West Indies,Bangladesh
9,DS Smith,Naeem Islam,ADS Fletcher,0,0,0,3,115,1,9,1,2,-,0,,,2,bat,Bangladesh,2,"Warner Park, Basseterre",2009,08,West Indies_Bangladesh_2009-08-02,West Indies,West Indies,Bangladesh
