,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
99,Naveen-ul-Haq,PWH de Silva,Noor Ahmad,0,0,0,108,79,4,8,8,3,0,,,16,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
100,Naveen-ul-Haq,PWH de Silva,Noor Ahmad,1,0,1,109,78,5,9,8,4,0,,,16,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
101,Noor Ahmad,PWH de Silva,Naveen-ul-Haq,0,0,0,109,78,3,6,8,5,0,,,16,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
102,Noor Ahmad,PWH de Silva,Naveen-ul-Haq,1,0,1,110,77,4,7,8,6,0,,,16,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
103,Noor Ahmad,M Pathirana,Naveen-ul-Haq,0,0,0,110,77,4,8,8,1,0,,,17,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
104,Noor Ahmad,M Pathirana,Naveen-ul-Haq,1,0,1,111,76,5,9,8,2,0,,,17,"{'by': 'Sri Lanka', 'umpire': 'RMPJ Rambukwella', 'batter': 'Noor Ahmad', 'decision': 'struck down', 'type': 'wicket'}",-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
105,Naveen-ul-Haq,M Pathirana,Noor Ahmad,0,0,0,111,76,5,10,9,3,bowled,Naveen-ul-Haq,,17,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
106,Fazalhaq Farooqi,M Pathirana,Noor Ahmad,0,1,1,112,75,0,1,9,4,0,,,17,,wides,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
107,Fazalhaq Farooqi,M Pathirana,Noor Ahmad,0,1,1,113,74,0,2,9,5,0,,,17,,wides,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
108,Fazalhaq Farooqi,M Pathirana,Noor Ahmad,0,0,0,113,74,0,3,9,6,0,,,17,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
109,Fazalhaq Farooqi,M Pathirana,Noor Ahmad,2,0,2,115,72,2,4,9,7,0,,,17,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
110,Fazalhaq Farooqi,M Pathirana,Noor Ahmad,0,0,0,115,72,2,5,10,8,caught,Fazalhaq Farooqi,MD Shanaka,17,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
