,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
54,Karim Janat,PWH de Silva,Mohammad Nabi,0,0,0,62,125,10,13,5,5,0,,,9,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
55,Karim Janat,PWH de Silva,Mohammad Nabi,2,0,2,64,123,12,14,5,6,0,,,9,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
56,Mohammad Nabi,MD Shanaka,Karim Janat,6,0,6,70,117,27,16,5,1,0,,,10,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
57,Mohammad Nabi,MD Shanaka,Karim Janat,0,0,0,70,117,27,17,6,2,caught,Mohammad Nabi,BKG Mendis,10,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
58,Najibullah Zadran,MD Shanaka,Karim Janat,0,0,0,70,117,0,1,6,3,0,,,10,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
59,Najibullah Zadran,MD Shanaka,Karim Janat,0,0,0,70,117,0,2,6,4,0,,,10,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
60,Najibullah Zadran,MD Shanaka,Karim Janat,0,0,0,70,117,0,3,6,5,0,,,10,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
61,Najibullah Zadran,MD Shanaka,Karim Janat,0,0,0,70,117,0,4,6,6,0,,,10,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
62,Karim Janat,M Pathirana,Najibullah Zadran,0,2,2,72,115,12,15,6,1,0,,,11,,wides,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
63,Najibullah Zadran,M Pathirana,Karim Janat,0,0,0,72,115,0,5,6,2,0,,,11,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
64,Najibullah Zadran,M Pathirana,Karim Janat,4,0,4,76,111,4,6,6,3,0,,,11,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
65,Najibullah Zadran,M Pathirana,Karim Janat,0,1,1,77,110,4,7,6,4,0,,,11,,wides,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
66,Najibullah Zadran,M Pathirana,Karim Janat,1,0,1,78,109,5,8,6,5,0,,,11,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
67,Karim Janat,M Pathirana,Najibullah Zadran,0,1,1,79,108,12,16,6,6,0,,,11,,wides,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
68,Karim Janat,M Pathirana,Najibullah Zadran,1,0,1,80,107,13,17,6,7,0,,,11,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
69,Najibullah Zadran,M Pathirana,Karim Janat,0,0,0,80,107,5,9,6,8,0,,,11,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
70,Najibullah Zadran,M Pathirana,Karim Janat,0,0,0,80,107,5,10,6,9,0,,,11,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
71,Karim Janat,MD Shanaka,Najibullah Zadran,1,0,1,81,106,14,18,6,1,0,,,12,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
72,Najibullah Zadran,MD Shanaka,Karim Janat,1,0,1,82,105,6,11,6,2,0,,,12,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
73,Karim Janat,MD Shanaka,Najibullah Zadran,2,0,2,84,103,16,19,6,3,0,,,12,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
