,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
115,JJ van der Wath,Harbhajan Singh,RJ Peterson,2,0,2,118,-3,20,19,6,4,-,19,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
116,JJ van der Wath,Harbhajan Singh,RJ Peterson,1,1,2,120,-5,21,20,6,5,noballs,19,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
117,RJ Peterson,Harbhajan Singh,JJ van der Wath,0,0,0,120,-5,8,12,7,6,-,19,run out,RJ Peterson,KD Karthik;Harbhajan Singh,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
118,JJ van der Wath,Harbhajan Singh,T Henderson,0,0,0,120,-5,21,21,8,7,-,19,caught,JJ van der Wath,SK Raina,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
119,R Telemachus,SR Tendulkar,T Henderson,2,0,2,122,-7,2,1,8,1,-,20,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
120,R Telemachus,SR Tendulkar,T Henderson,1,0,1,123,-8,3,2,8,2,-,20,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
121,T Henderson,SR Tendulkar,R Telemachus,0,0,0,123,-8,0,1,8,3,-,20,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
122,T Henderson,SR Tendulkar,R Telemachus,0,0,0,123,-8,0,2,9,4,-,20,run out,T Henderson,MS Dhoni;SK Raina,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
123,CK Langeveldt,SR Tendulkar,R Telemachus,0,1,1,124,-9,0,1,9,5,legbyes,20,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
124,R Telemachus,SR Tendulkar,CK Langeveldt,2,0,2,126,-11,5,3,9,6,-,20,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
