,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
34,JM Kemp,AB Agarkar,GC Smith,0,0,0,31,84,0,1,2,2,-,6,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
35,JM Kemp,AB Agarkar,GC Smith,0,0,0,31,84,0,2,2,3,-,6,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
36,JM Kemp,AB Agarkar,GC Smith,0,0,0,31,84,0,3,2,4,-,6,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
37,JM Kemp,AB Agarkar,GC Smith,0,0,0,31,84,0,4,2,5,-,6,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
38,JM Kemp,AB Agarkar,GC Smith,0,0,0,31,84,0,5,2,6,-,6,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
39,GC Smith,Z Khan,JM Kemp,0,0,0,31,84,15,20,2,1,-,7,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
40,GC Smith,Z Khan,JM Kemp,0,1,1,32,83,15,21,2,2,wides,7,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
41,GC Smith,Z Khan,JM Kemp,1,0,1,33,82,16,22,2,3,-,7,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
42,JM Kemp,Z Khan,GC Smith,0,0,0,33,82,0,6,2,4,-,7,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
43,JM Kemp,Z Khan,GC Smith,1,0,1,34,81,1,7,2,5,-,7,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
44,GC Smith,Z Khan,JM Kemp,0,0,0,34,81,16,23,2,6,-,7,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
45,GC Smith,Z Khan,JM Kemp,0,0,0,34,81,16,24,3,7,-,7,lbw,GC Smith,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
46,JM Kemp,AB Agarkar,AB de Villiers,0,0,0,34,81,1,8,3,1,-,8,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
47,JM Kemp,AB Agarkar,AB de Villiers,1,0,1,35,80,2,9,3,2,-,8,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
48,AB de Villiers,AB Agarkar,JM Kemp,0,0,0,35,80,0,1,3,3,-,8,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
49,AB de Villiers,AB Agarkar,JM Kemp,6,0,6,41,74,6,2,3,4,-,8,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
50,AB de Villiers,AB Agarkar,JM Kemp,0,0,0,41,74,6,3,3,5,-,8,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
51,AB de Villiers,AB Agarkar,JM Kemp,0,0,0,41,74,6,4,4,6,-,8,caught,AB de Villiers,MS Dhoni,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
52,JM Kemp,IK Pathan,JA Morkel,4,0,4,45,70,6,10,4,1,-,9,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
53,JM Kemp,IK Pathan,JA Morkel,0,0,0,45,70,6,11,4,2,-,9,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
54,JM Kemp,IK Pathan,JA Morkel,4,0,4,49,66,10,12,4,3,-,9,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
55,JM Kemp,IK Pathan,JA Morkel,0,0,0,49,66,10,13,4,4,-,9,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
56,JM Kemp,IK Pathan,JA Morkel,0,0,0,49,66,10,14,4,5,-,9,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
57,JM Kemp,IK Pathan,JA Morkel,0,0,0,49,66,10,15,4,6,-,9,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
58,JA Morkel,AB Agarkar,JM Kemp,0,0,0,49,66,0,1,4,1,-,10,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
59,JA Morkel,AB Agarkar,JM Kemp,1,0,1,50,65,1,2,4,2,-,10,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
60,JM Kemp,AB Agarkar,JA Morkel,2,0,2,52,63,12,16,4,3,-,10,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
61,JM Kemp,SR Tendulkar,JA Morkel,4,0,4,56,59,16,17,4,4,-,10,0,,,"{'role': [{'in': 'SR Tendulkar', 'reason': 'injury', 'role': 'bowler'}]}",bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
62,JM Kemp,SR Tendulkar,JA Morkel,1,0,1,57,58,17,18,4,5,-,10,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
