,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,RG Sharma,OC McCoy,SA Yadav,0,0,0,0,190,0,1,1,1,caught,RG Sharma,AJ Hosein,1,-,,field,West Indies,1,"Warner Park, Basseterre, St Kitts",2022,08,India_West Indies_2022-08-01,West Indies,India,West Indies,138
1,SS Iyer,OC McCoy,SA Yadav,0,0,0,0,190,0,1,1,2,0,,,1,-,,field,West Indies,1,"Warner Park, Basseterre, St Kitts",2022,08,India_West Indies_2022-08-01,West Indies,India,West Indies,138
2,SS Iyer,OC McCoy,SA Yadav,0,0,0,0,190,0,2,1,3,0,,,1,-,,field,West Indies,1,"Warner Park, Basseterre, St Kitts",2022,08,India_West Indies_2022-08-01,West Indies,India,West Indies,138
3,SS Iyer,OC McCoy,SA Yadav,0,0,0,0,190,0,3,1,4,0,,,1,-,,field,West Indies,1,"Warner Park, Basseterre, St Kitts",2022,08,India_West Indies_2022-08-01,West Indies,India,West Indies,138
4,SS Iyer,OC McCoy,SA Yadav,0,0,0,0,190,0,4,1,5,0,,,1,-,,field,West Indies,1,"Warner Park, Basseterre, St Kitts",2022,08,India_West Indies_2022-08-01,West Indies,India,West Indies,138
5,SS Iyer,OC McCoy,SA Yadav,0,0,0,0,190,0,5,1,6,0,,,1,-,,field,West Indies,1,"Warner Park, Basseterre, St Kitts",2022,08,India_West Indies_2022-08-01,West Indies,India,West Indies,138
6,SA Yadav,AS Joseph,SS Iyer,0,0,0,0,190,0,1,1,1,0,,,2,-,,field,West Indies,1,"Warner Park, Basseterre, St Kitts",2022,08,India_West Indies_2022-08-01,West Indies,India,West Indies,138
7,SA Yadav,AS Joseph,SS Iyer,0,0,0,0,190,0,2,1,2,0,,,2,-,,field,West Indies,1,"Warner Park, Basseterre, St Kitts",2022,08,India_West Indies_2022-08-01,West Indies,India,West Indies,138
8,SA Yadav,AS Joseph,SS Iyer,6,0,6,6,184,6,3,1,3,0,,,2,-,,field,West Indies,1,"Warner Park, Basseterre, St Kitts",2022,08,India_West Indies_2022-08-01,West Indies,India,West Indies,138
9,SA Yadav,AS Joseph,SS Iyer,2,0,2,8,182,8,4,1,4,0,,,2,-,,field,West Indies,1,"Warner Park, Basseterre, St Kitts",2022,08,India_West Indies_2022-08-01,West Indies,India,West Indies,138
10,SA Yadav,AS Joseph,SS Iyer,3,0,3,11,179,11,5,1,5,0,,,2,-,,field,West Indies,1,"Warner Park, Basseterre, St Kitts",2022,08,India_West Indies_2022-08-01,West Indies,India,West Indies,138
