,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,DA Warner,KR Mayers,C Green,0,0,0,0,145,0,1,0,1,1,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies,178
1,DA Warner,KR Mayers,C Green,4,0,4,4,141,4,2,0,2,1,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies,178
2,DA Warner,KR Mayers,C Green,4,0,4,8,137,8,3,0,3,1,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies,178
3,DA Warner,KR Mayers,C Green,0,0,0,8,137,8,4,0,4,1,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies,178
4,DA Warner,KR Mayers,C Green,0,0,0,8,137,8,5,0,5,1,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies,178
5,DA Warner,KR Mayers,C Green,0,0,0,8,137,8,6,0,6,1,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies,178
6,C Green,AS Joseph,DA Warner,1,0,1,9,136,1,1,0,1,2,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies,178
7,DA Warner,AS Joseph,C Green,1,0,1,10,135,9,7,0,2,2,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies,178
8,C Green,AS Joseph,DA Warner,0,0,0,10,135,1,2,0,3,2,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies,178
9,C Green,AS Joseph,DA Warner,0,0,0,10,135,1,3,0,4,2,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies,178
10,C Green,AS Joseph,DA Warner,0,0,0,10,135,1,4,1,5,2,-,caught,C Green,JO Holder,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies,178
11,AJ Finch,AS Joseph,DA Warner,0,1,1,11,134,0,1,1,6,2,legbyes,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies,178
