,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,Mohammad Rizwan,GF Linde,Sharjeel Khan,0,0,0,0,,0,1,1,-,1.0,caught,Mohammad Rizwan,AK Markram,0,,bat,Pakistan,1,"The Wanderers Stadium, Johannesburg",2021,04,Pakistan_South Africa_2021-04-12,South Africa,Pakistan,South Africa,False,140,Right hand Bat,Left hand Bat,Left arm Orthodox
1,Sharjeel Khan,GF Linde,Babar Azam,0,0,0,0,,0,1,1,-,2.0,0,,,0,,bat,Pakistan,1,"The Wanderers Stadium, Johannesburg",2021,04,Pakistan_South Africa_2021-04-12,South Africa,Pakistan,South Africa,False,140,Left hand Bat,Right hand Bat,Left arm Orthodox
2,Sharjeel Khan,GF Linde,Babar Azam,0,0,0,0,,0,2,1,-,3.0,0,,,0,,bat,Pakistan,1,"The Wanderers Stadium, Johannesburg",2021,04,Pakistan_South Africa_2021-04-12,South Africa,Pakistan,South Africa,False,140,Left hand Bat,Right hand Bat,Left arm Orthodox
3,Sharjeel Khan,GF Linde,Babar Azam,0,0,0,0,,0,3,1,-,4.0,0,,,0,,bat,Pakistan,1,"The Wanderers Stadium, Johannesburg",2021,04,Pakistan_South Africa_2021-04-12,South Africa,Pakistan,South Africa,False,140,Left hand Bat,Right hand Bat,Left arm Orthodox
4,Sharjeel Khan,GF Linde,Babar Azam,6,0,6,6,,6,4,1,-,5.0,0,,,0,,bat,Pakistan,1,"The Wanderers Stadium, Johannesburg",2021,04,Pakistan_South Africa_2021-04-12,South Africa,Pakistan,South Africa,False,140,Left hand Bat,Right hand Bat,Left arm Orthodox
5,Sharjeel Khan,GF Linde,Babar Azam,1,0,1,7,,7,5,1,-,6.0,0,,,0,,bat,Pakistan,1,"The Wanderers Stadium, Johannesburg",2021,04,Pakistan_South Africa_2021-04-12,South Africa,Pakistan,South Africa,False,140,Left hand Bat,Right hand Bat,Left arm Orthodox
6,Sharjeel Khan,BE Hendricks,Babar Azam,0,0,0,7,,7,6,1,-,1.0,0,,,1,,bat,Pakistan,1,"The Wanderers Stadium, Johannesburg",2021,04,Pakistan_South Africa_2021-04-12,South Africa,Pakistan,South Africa,False,140,Left hand Bat,Right hand Bat,Left arm Fast
7,Sharjeel Khan,BE Hendricks,Babar Azam,1,0,1,8,,8,7,1,-,2.0,0,,,1,,bat,Pakistan,1,"The Wanderers Stadium, Johannesburg",2021,04,Pakistan_South Africa_2021-04-12,South Africa,Pakistan,South Africa,False,140,Left hand Bat,Right hand Bat,Left arm Fast
8,Babar Azam,BE Hendricks,Sharjeel Khan,1,0,1,9,,1,1,1,-,3.0,0,,,1,,bat,Pakistan,1,"The Wanderers Stadium, Johannesburg",2021,04,Pakistan_South Africa_2021-04-12,South Africa,Pakistan,South Africa,False,140,Right hand Bat,Left hand Bat,Left arm Fast
9,Sharjeel Khan,BE Hendricks,Babar Azam,0,0,0,9,,8,8,1,-,4.0,0,,,1,,bat,Pakistan,1,"The Wanderers Stadium, Johannesburg",2021,04,Pakistan_South Africa_2021-04-12,South Africa,Pakistan,South Africa,False,140,Left hand Bat,Right hand Bat,Left arm Fast
10,Sharjeel Khan,BE Hendricks,Babar Azam,0,0,0,9,,8,9,1,-,5.0,0,,,1,,bat,Pakistan,1,"The Wanderers Stadium, Johannesburg",2021,04,Pakistan_South Africa_2021-04-12,South Africa,Pakistan,South Africa,False,140,Left hand Bat,Right hand Bat,Left arm Fast
11,Sharjeel Khan,BE Hendricks,Babar Azam,0,0,0,9,,8,10,1,-,6.0,0,,,1,,bat,Pakistan,1,"The Wanderers Stadium, Johannesburg",2021,04,Pakistan_South Africa_2021-04-12,South Africa,Pakistan,South Africa,False,140,Left hand Bat,Right hand Bat,Left arm Fast
12,Babar Azam,GF Linde,Sharjeel Khan,0,0,0,9,,1,2,1,-,1.0,0,,,2,,bat,Pakistan,1,"The Wanderers Stadium, Johannesburg",2021,04,Pakistan_South Africa_2021-04-12,South Africa,Pakistan,South Africa,False,140,Right hand Bat,Left hand Bat,Left arm Orthodox
13,Babar Azam,GF Linde,Sharjeel Khan,0,0,0,9,,1,3,1,-,2.0,0,,,2,,bat,Pakistan,1,"The Wanderers Stadium, Johannesburg",2021,04,Pakistan_South Africa_2021-04-12,South Africa,Pakistan,South Africa,False,140,Right hand Bat,Left hand Bat,Left arm Orthodox
14,Babar Azam,GF Linde,Sharjeel Khan,1,0,1,10,,2,4,1,-,3.0,0,,,2,,bat,Pakistan,1,"The Wanderers Stadium, Johannesburg",2021,04,Pakistan_South Africa_2021-04-12,South Africa,Pakistan,South Africa,False,140,Right hand Bat,Left hand Bat,Left arm Orthodox
15,Sharjeel Khan,GF Linde,Babar Azam,0,0,0,10,,8,11,1,-,4.0,0,,,2,,bat,Pakistan,1,"The Wanderers Stadium, Johannesburg",2021,04,Pakistan_South Africa_2021-04-12,South Africa,Pakistan,South Africa,False,140,Left hand Bat,Right hand Bat,Left arm Orthodox
16,Sharjeel Khan,GF Linde,Babar Azam,0,0,0,10,,8,12,2,-,5.0,caught,Sharjeel Khan,AK Markram,2,,bat,Pakistan,1,"The Wanderers Stadium, Johannesburg",2021,04,Pakistan_South Africa_2021-04-12,South Africa,Pakistan,South Africa,False,140,Left hand Bat,Right hand Bat,Left arm Orthodox
17,Babar Azam,GF Linde,Mohammad Hafeez,1,0,1,11,,3,5,2,-,6.0,0,,,2,,bat,Pakistan,1,"The Wanderers Stadium, Johannesburg",2021,04,Pakistan_South Africa_2021-04-12,South Africa,Pakistan,South Africa,False,140,Right hand Bat,Right hand Bat,Left arm Orthodox
18,Babar Azam,BE Hendricks,Mohammad Hafeez,0,0,0,11,,3,6,2,-,1.0,0,,,3,,bat,Pakistan,1,"The Wanderers Stadium, Johannesburg",2021,04,Pakistan_South Africa_2021-04-12,South Africa,Pakistan,South Africa,False,140,Right hand Bat,Right hand Bat,Left arm Fast
19,Babar Azam,BE Hendricks,Mohammad Hafeez,0,0,0,11,,3,7,2,-,2.0,0,,,3,,bat,Pakistan,1,"The Wanderers Stadium, Johannesburg",2021,04,Pakistan_South Africa_2021-04-12,South Africa,Pakistan,South Africa,False,140,Right hand Bat,Right hand Bat,Left arm Fast
