,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,review,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,Tamim Iqbal,Mohammed Siraj,Liton Das,0,0,0,0,176,0,1,0,1,1,,0,,,-,field,Bangladesh,2,"R.Premadasa Stadium, Khettarama",2018,03,India_Bangladesh_2018-03-14,India,Bangladesh,India,159
1,Tamim Iqbal,Mohammed Siraj,Liton Das,4,0,4,4,172,4,2,0,2,1,,0,,,-,field,Bangladesh,2,"R.Premadasa Stadium, Khettarama",2018,03,India_Bangladesh_2018-03-14,India,Bangladesh,India,159
2,Tamim Iqbal,Mohammed Siraj,Liton Das,0,0,0,4,172,4,3,0,3,1,,0,,,-,field,Bangladesh,2,"R.Premadasa Stadium, Khettarama",2018,03,India_Bangladesh_2018-03-14,India,Bangladesh,India,159
3,Tamim Iqbal,Mohammed Siraj,Liton Das,1,0,1,5,171,5,4,0,4,1,,0,,,-,field,Bangladesh,2,"R.Premadasa Stadium, Khettarama",2018,03,India_Bangladesh_2018-03-14,India,Bangladesh,India,159
4,Liton Das,Mohammed Siraj,Tamim Iqbal,2,0,2,7,169,2,1,0,5,1,,0,,,-,field,Bangladesh,2,"R.Premadasa Stadium, Khettarama",2018,03,India_Bangladesh_2018-03-14,India,Bangladesh,India,159
5,Liton Das,Mohammed Siraj,Tamim Iqbal,1,0,1,8,168,3,2,0,6,1,,0,,,-,field,Bangladesh,2,"R.Premadasa Stadium, Khettarama",2018,03,India_Bangladesh_2018-03-14,India,Bangladesh,India,159
6,Liton Das,Washington Sundar,Tamim Iqbal,0,0,0,8,168,3,3,0,1,2,"{'by': 'India', 'batter': 'Liton Das', 'decision': 'struck down'}",0,,,-,field,Bangladesh,2,"R.Premadasa Stadium, Khettarama",2018,03,India_Bangladesh_2018-03-14,India,Bangladesh,India,159
7,Liton Das,Washington Sundar,Tamim Iqbal,0,0,0,8,168,3,4,0,2,2,,0,,,-,field,Bangladesh,2,"R.Premadasa Stadium, Khettarama",2018,03,India_Bangladesh_2018-03-14,India,Bangladesh,India,159
8,Liton Das,Washington Sundar,Tamim Iqbal,0,0,0,8,168,3,5,0,3,2,,0,,,-,field,Bangladesh,2,"R.Premadasa Stadium, Khettarama",2018,03,India_Bangladesh_2018-03-14,India,Bangladesh,India,159
9,Liton Das,Washington Sundar,Tamim Iqbal,4,0,4,12,164,7,6,0,4,2,,0,,,-,field,Bangladesh,2,"R.Premadasa Stadium, Khettarama",2018,03,India_Bangladesh_2018-03-14,India,Bangladesh,India,159
