,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,Ahmed Shehzad,DJ Willey,Rafatullah Mohmand,4,0,4,4,150,4,1,0,1,-,0,,,1,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
1,Ahmed Shehzad,DJ Willey,Rafatullah Mohmand,0,0,0,4,150,4,2,0,2,-,0,,,1,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
2,Ahmed Shehzad,DJ Willey,Rafatullah Mohmand,0,0,0,4,150,4,3,0,3,-,0,,,1,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
3,Ahmed Shehzad,DJ Willey,Rafatullah Mohmand,0,1,1,5,149,4,4,0,4,wides,0,,,1,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
4,Ahmed Shehzad,DJ Willey,Rafatullah Mohmand,0,0,0,5,149,4,5,0,5,-,0,,,1,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
5,Ahmed Shehzad,DJ Willey,Rafatullah Mohmand,0,0,0,5,149,4,6,1,6,-,bowled,Ahmed Shehzad,,1,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
6,Mohammad Hafeez,DJ Willey,Rafatullah Mohmand,0,1,1,6,148,0,1,1,7,wides,0,,,1,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
7,Mohammad Hafeez,DJ Willey,Rafatullah Mohmand,0,1,1,7,147,0,2,1,8,wides,0,,,1,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
8,Mohammad Hafeez,DJ Willey,Rafatullah Mohmand,0,1,1,8,146,0,3,1,9,wides,0,,,1,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
9,Mohammad Hafeez,DJ Willey,Rafatullah Mohmand,1,0,1,9,145,1,4,2,10,-,run out,Mohammad Hafeez,JM Vince;EJG Morgan,1,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
10,Shoaib Malik,CR Woakes,Rafatullah Mohmand,0,0,0,9,145,0,1,2,1,-,0,,,2,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
11,Shoaib Malik,CR Woakes,Rafatullah Mohmand,0,0,0,9,145,0,2,2,2,-,0,,,2,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
12,Shoaib Malik,CR Woakes,Rafatullah Mohmand,0,0,0,9,145,0,3,2,3,-,0,,,2,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
13,Shoaib Malik,CR Woakes,Rafatullah Mohmand,0,0,0,9,145,0,4,2,4,-,0,,,2,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
14,Shoaib Malik,CR Woakes,Rafatullah Mohmand,0,0,0,9,145,0,5,2,5,-,0,,,2,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
15,Shoaib Malik,CR Woakes,Rafatullah Mohmand,1,0,1,10,144,1,6,2,6,-,0,,,2,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
16,Shoaib Malik,DJ Willey,Rafatullah Mohmand,1,0,1,11,143,2,7,2,1,-,0,,,3,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
17,Rafatullah Mohmand,DJ Willey,Shoaib Malik,0,0,0,11,143,0,1,3,2,-,lbw,Rafatullah Mohmand,,3,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
18,Mohammad Rizwan,DJ Willey,Shoaib Malik,4,0,4,15,139,4,1,3,3,-,0,,,3,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
19,Mohammad Rizwan,DJ Willey,Shoaib Malik,0,0,0,15,139,4,2,3,4,-,0,,,3,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
20,Mohammad Rizwan,DJ Willey,Shoaib Malik,0,0,0,15,139,4,3,3,5,-,0,,,3,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
21,Mohammad Rizwan,DJ Willey,Shoaib Malik,0,0,0,15,139,4,4,3,6,-,0,,,3,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
22,Shoaib Malik,CJ Jordan,Mohammad Rizwan,0,0,0,15,139,2,8,3,1,-,0,,,4,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
23,Shoaib Malik,CJ Jordan,Mohammad Rizwan,0,0,0,15,139,2,9,3,2,-,0,,,4,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
24,Shoaib Malik,CJ Jordan,Mohammad Rizwan,0,0,0,15,139,2,10,3,3,-,0,,,4,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
25,Shoaib Malik,CJ Jordan,Mohammad Rizwan,4,0,4,19,135,6,11,3,4,-,0,,,4,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
26,Shoaib Malik,CJ Jordan,Mohammad Rizwan,1,0,1,20,134,7,12,3,5,-,0,,,4,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
27,Mohammad Rizwan,CJ Jordan,Shoaib Malik,1,0,1,21,133,5,5,3,6,-,0,,,4,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
28,Mohammad Rizwan,CR Woakes,Shoaib Malik,0,0,0,21,133,5,6,3,1,-,0,,,5,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
29,Mohammad Rizwan,CR Woakes,Shoaib Malik,1,0,1,22,132,6,7,3,2,-,0,,,5,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
30,Shoaib Malik,CR Woakes,Mohammad Rizwan,1,0,1,23,131,8,13,3,3,-,0,,,5,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
31,Mohammad Rizwan,CR Woakes,Shoaib Malik,0,0,0,23,131,6,8,3,4,-,0,,,5,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
32,Mohammad Rizwan,CR Woakes,Shoaib Malik,1,0,1,24,130,7,9,3,5,-,0,,,5,bat,England,2,Sharjah Cricket Stadium,2015,11,England_Pakistan_2015-11-30,tie,Pakistan,England,154
