,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,TWM Latham,Shaheen Shah Afridi,CJ Bowes,2,0,2,2,190,2,1,0,1,1,-,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-15,Pakistan,New Zealand,Pakistan,154
1,TWM Latham,Shaheen Shah Afridi,CJ Bowes,1,0,1,3,189,3,2,0,2,1,-,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-15,Pakistan,New Zealand,Pakistan,154
2,CJ Bowes,Shaheen Shah Afridi,TWM Latham,4,0,4,7,185,4,1,0,3,1,-,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-15,Pakistan,New Zealand,Pakistan,154
3,CJ Bowes,Shaheen Shah Afridi,TWM Latham,1,0,1,8,184,5,2,0,4,1,-,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-15,Pakistan,New Zealand,Pakistan,154
4,TWM Latham,Shaheen Shah Afridi,CJ Bowes,1,0,1,9,183,4,3,0,5,1,-,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-15,Pakistan,New Zealand,Pakistan,154
5,CJ Bowes,Shaheen Shah Afridi,TWM Latham,1,0,1,10,182,6,3,0,6,1,-,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-15,Pakistan,New Zealand,Pakistan,154
6,CJ Bowes,Imad Wasim,TWM Latham,0,0,0,10,182,6,4,0,1,2,-,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-15,Pakistan,New Zealand,Pakistan,154
7,CJ Bowes,Imad Wasim,TWM Latham,2,0,2,12,180,8,5,0,2,2,-,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-15,Pakistan,New Zealand,Pakistan,154
8,CJ Bowes,Imad Wasim,TWM Latham,1,0,1,13,179,9,6,0,3,2,-,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-15,Pakistan,New Zealand,Pakistan,154
9,TWM Latham,Imad Wasim,CJ Bowes,0,0,0,13,179,4,4,0,4,2,-,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-15,Pakistan,New Zealand,Pakistan,154
10,TWM Latham,Imad Wasim,CJ Bowes,0,1,1,14,178,4,5,0,5,2,wides,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-15,Pakistan,New Zealand,Pakistan,154
11,TWM Latham,Imad Wasim,CJ Bowes,0,0,0,14,178,4,6,0,6,2,-,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-15,Pakistan,New Zealand,Pakistan,154
12,TWM Latham,Imad Wasim,CJ Bowes,1,0,1,15,177,5,7,0,7,2,-,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-15,Pakistan,New Zealand,Pakistan,154
13,TWM Latham,Shaheen Shah Afridi,CJ Bowes,0,0,0,15,177,5,8,0,1,3,-,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-15,Pakistan,New Zealand,Pakistan,154
14,TWM Latham,Shaheen Shah Afridi,CJ Bowes,0,0,0,15,177,5,9,0,2,3,-,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-15,Pakistan,New Zealand,Pakistan,154
15,TWM Latham,Shaheen Shah Afridi,CJ Bowes,1,0,1,16,176,6,10,0,3,3,-,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-15,Pakistan,New Zealand,Pakistan,154
16,CJ Bowes,Shaheen Shah Afridi,TWM Latham,1,0,1,17,175,10,7,0,4,3,-,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-15,Pakistan,New Zealand,Pakistan,154
17,TWM Latham,Shaheen Shah Afridi,CJ Bowes,1,0,1,18,174,7,11,0,5,3,-,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-15,Pakistan,New Zealand,Pakistan,154
18,CJ Bowes,Shaheen Shah Afridi,TWM Latham,0,1,1,19,173,10,8,0,6,3,legbyes,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-15,Pakistan,New Zealand,Pakistan,154
19,CJ Bowes,Zaman Khan,TWM Latham,0,0,0,19,173,10,9,0,1,4,-,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-15,Pakistan,New Zealand,Pakistan,154
20,CJ Bowes,Zaman Khan,TWM Latham,0,1,1,20,172,10,10,0,2,4,noballs,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-15,Pakistan,New Zealand,Pakistan,154
21,CJ Bowes,Zaman Khan,TWM Latham,0,0,0,20,172,10,11,0,3,4,-,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-15,Pakistan,New Zealand,Pakistan,154
22,CJ Bowes,Zaman Khan,TWM Latham,1,0,1,21,171,11,12,0,4,4,-,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-15,Pakistan,New Zealand,Pakistan,154
