,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,H Masakadza,WD Parnell,BRM Taylor,0,0,0,0,194,0,1,0,1,1,0,,,-,bat,South Africa,2,De Beers Diamond Oval,2010,10,South Africa_Zimbabwe_2010-10-10,South Africa,Zimbabwe,South Africa,186
1,H Masakadza,WD Parnell,BRM Taylor,1,0,1,1,193,1,2,0,2,1,0,,,-,bat,South Africa,2,De Beers Diamond Oval,2010,10,South Africa_Zimbabwe_2010-10-10,South Africa,Zimbabwe,South Africa,186
2,BRM Taylor,WD Parnell,H Masakadza,0,0,0,1,193,0,1,0,3,1,0,,,-,bat,South Africa,2,De Beers Diamond Oval,2010,10,South Africa_Zimbabwe_2010-10-10,South Africa,Zimbabwe,South Africa,186
3,BRM Taylor,WD Parnell,H Masakadza,1,0,1,2,192,1,2,0,4,1,0,,,-,bat,South Africa,2,De Beers Diamond Oval,2010,10,South Africa_Zimbabwe_2010-10-10,South Africa,Zimbabwe,South Africa,186
4,H Masakadza,WD Parnell,BRM Taylor,1,0,1,3,191,2,3,0,5,1,0,,,-,bat,South Africa,2,De Beers Diamond Oval,2010,10,South Africa_Zimbabwe_2010-10-10,South Africa,Zimbabwe,South Africa,186
5,BRM Taylor,WD Parnell,H Masakadza,4,0,4,7,187,5,3,0,6,1,0,,,-,bat,South Africa,2,De Beers Diamond Oval,2010,10,South Africa_Zimbabwe_2010-10-10,South Africa,Zimbabwe,South Africa,186
6,H Masakadza,LL Tsotsobe,BRM Taylor,4,0,4,11,183,6,4,0,1,2,0,,,-,bat,South Africa,2,De Beers Diamond Oval,2010,10,South Africa_Zimbabwe_2010-10-10,South Africa,Zimbabwe,South Africa,186
7,H Masakadza,LL Tsotsobe,BRM Taylor,0,0,0,11,183,6,5,0,2,2,0,,,-,bat,South Africa,2,De Beers Diamond Oval,2010,10,South Africa_Zimbabwe_2010-10-10,South Africa,Zimbabwe,South Africa,186
8,H Masakadza,LL Tsotsobe,BRM Taylor,4,0,4,15,179,10,6,0,3,2,0,,,-,bat,South Africa,2,De Beers Diamond Oval,2010,10,South Africa_Zimbabwe_2010-10-10,South Africa,Zimbabwe,South Africa,186
9,H Masakadza,LL Tsotsobe,BRM Taylor,0,0,0,15,179,10,7,1,4,2,caught,H Masakadza,J Botha,-,bat,South Africa,2,De Beers Diamond Oval,2010,10,South Africa_Zimbabwe_2010-10-10,South Africa,Zimbabwe,South Africa,186
