,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,Soumya Sarkar,A Nehra,Mohammad Mithun,0,0,0,0,166,0,1,0,1,0,0,,,-,field,Bangladesh,2,Shere Bangla National Stadium,2016,02,India_Bangladesh_2016-02-24,India,Bangladesh,India,False,121
1,Soumya Sarkar,A Nehra,Mohammad Mithun,0,0,0,0,166,0,2,0,2,0,0,,,-,field,Bangladesh,2,Shere Bangla National Stadium,2016,02,India_Bangladesh_2016-02-24,India,Bangladesh,India,False,121
2,Soumya Sarkar,A Nehra,Mohammad Mithun,0,0,0,0,166,0,3,0,3,0,0,,,-,field,Bangladesh,2,Shere Bangla National Stadium,2016,02,India_Bangladesh_2016-02-24,India,Bangladesh,India,False,121
3,Soumya Sarkar,A Nehra,Mohammad Mithun,0,0,0,0,166,0,4,0,4,0,0,,,-,field,Bangladesh,2,Shere Bangla National Stadium,2016,02,India_Bangladesh_2016-02-24,India,Bangladesh,India,False,121
4,Soumya Sarkar,A Nehra,Mohammad Mithun,0,0,0,0,166,0,5,0,5,0,0,,,-,field,Bangladesh,2,Shere Bangla National Stadium,2016,02,India_Bangladesh_2016-02-24,India,Bangladesh,India,False,121
5,Soumya Sarkar,A Nehra,Mohammad Mithun,3,0,3,3,163,3,6,0,6,0,0,,,-,field,Bangladesh,2,Shere Bangla National Stadium,2016,02,India_Bangladesh_2016-02-24,India,Bangladesh,India,False,121
6,Soumya Sarkar,JJ Bumrah,Mohammad Mithun,4,0,4,7,159,7,7,0,1,1,0,,,-,field,Bangladesh,2,Shere Bangla National Stadium,2016,02,India_Bangladesh_2016-02-24,India,Bangladesh,India,False,121
7,Soumya Sarkar,JJ Bumrah,Mohammad Mithun,1,0,1,8,158,8,8,0,2,1,0,,,-,field,Bangladesh,2,Shere Bangla National Stadium,2016,02,India_Bangladesh_2016-02-24,India,Bangladesh,India,False,121
8,Mohammad Mithun,JJ Bumrah,Soumya Sarkar,1,0,1,9,157,1,1,0,3,1,0,,,-,field,Bangladesh,2,Shere Bangla National Stadium,2016,02,India_Bangladesh_2016-02-24,India,Bangladesh,India,False,121
9,Soumya Sarkar,JJ Bumrah,Mohammad Mithun,0,0,0,9,157,8,9,0,4,1,0,,,-,field,Bangladesh,2,Shere Bangla National Stadium,2016,02,India_Bangladesh_2016-02-24,India,Bangladesh,India,False,121
