,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,DA Warner,K Rabada,AJ Finch,1,0,1,1,157,1,1,0,1,-,1,0,,,,field,South Africa,1,Newlands,2020,02,South Africa_Australia_2020-02-26,Australia,Australia,South Africa
1,AJ Finch,K Rabada,DA Warner,0,1,1,2,156,0,1,0,2,wides,1,0,,,,field,South Africa,1,Newlands,2020,02,South Africa_Australia_2020-02-26,Australia,Australia,South Africa
2,AJ Finch,K Rabada,DA Warner,4,0,4,6,152,4,2,0,3,-,1,0,,,,field,South Africa,1,Newlands,2020,02,South Africa_Australia_2020-02-26,Australia,Australia,South Africa
3,AJ Finch,K Rabada,DA Warner,0,2,2,8,150,4,3,0,4,legbyes,1,0,,,,field,South Africa,1,Newlands,2020,02,South Africa_Australia_2020-02-26,Australia,Australia,South Africa
4,AJ Finch,K Rabada,DA Warner,0,0,0,8,150,4,4,0,5,-,1,0,,,,field,South Africa,1,Newlands,2020,02,South Africa_Australia_2020-02-26,Australia,Australia,South Africa
5,AJ Finch,K Rabada,DA Warner,1,0,1,9,149,5,5,0,6,-,1,0,,,,field,South Africa,1,Newlands,2020,02,South Africa_Australia_2020-02-26,Australia,Australia,South Africa
6,DA Warner,K Rabada,AJ Finch,0,0,0,9,149,1,2,0,7,-,1,0,,,,field,South Africa,1,Newlands,2020,02,South Africa_Australia_2020-02-26,Australia,Australia,South Africa
7,AJ Finch,A Nortje,DA Warner,3,0,3,12,146,8,6,0,1,-,2,0,,,,field,South Africa,1,Newlands,2020,02,South Africa_Australia_2020-02-26,Australia,Australia,South Africa
8,DA Warner,A Nortje,AJ Finch,1,0,1,13,145,2,3,0,2,-,2,0,,,,field,South Africa,1,Newlands,2020,02,South Africa_Australia_2020-02-26,Australia,Australia,South Africa
9,AJ Finch,A Nortje,DA Warner,0,0,0,13,145,8,7,0,3,-,2,0,,,,field,South Africa,1,Newlands,2020,02,South Africa_Australia_2020-02-26,Australia,Australia,South Africa
10,AJ Finch,A Nortje,DA Warner,1,0,1,14,144,9,8,0,4,-,2,0,,,,field,South Africa,1,Newlands,2020,02,South Africa_Australia_2020-02-26,Australia,Australia,South Africa
11,DA Warner,A Nortje,AJ Finch,1,0,1,15,143,3,4,0,5,-,2,0,,,,field,South Africa,1,Newlands,2020,02,South Africa_Australia_2020-02-26,Australia,Australia,South Africa
12,AJ Finch,A Nortje,DA Warner,0,0,0,15,143,9,9,0,6,-,2,0,,,,field,South Africa,1,Newlands,2020,02,South Africa_Australia_2020-02-26,Australia,Australia,South Africa
13,DA Warner,K Rabada,AJ Finch,1,0,1,16,142,4,5,0,1,-,3,0,,,,field,South Africa,1,Newlands,2020,02,South Africa_Australia_2020-02-26,Australia,Australia,South Africa
14,AJ Finch,K Rabada,DA Warner,4,0,4,20,138,13,10,0,2,-,3,0,,,,field,South Africa,1,Newlands,2020,02,South Africa_Australia_2020-02-26,Australia,Australia,South Africa
15,AJ Finch,K Rabada,DA Warner,6,0,6,26,132,19,11,0,3,-,3,0,,,,field,South Africa,1,Newlands,2020,02,South Africa_Australia_2020-02-26,Australia,Australia,South Africa
